date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2014,3172311,117702,3908535,-88148,664497,82752,0,544,,-76570,,151415,151415,5990,5990,97556,284052,283194,11578,7436,858,657578,2502214,0.0,355732,11501,250990,0,59064,1184,1201144,0.0,7079,22006,190.0,90120.0,1504406,402853,3423000,2014年03月31日,739703,,,5173087,5164959,58646089,,2447932,2936850,,3827,,283260.0,,3168832,25555.0,,54118.0,34.0,1476175,3423000,,5001,,3272444.0,412208,2127,,410081,,8445531.0,726956,23530.0,8128,824512,5508681,68973,0
2013-05-10,1,2013,3187564,98202,3649009,-158339,609369,72369,0,796,,-158364,,259410,259410,2755,2755,101123,10431,8459,-25,7511,1972,769227,2502214,,187905,15351,148380,509978,58946,7180,804796,0.0,46265,57236,,93612.0,1514451,404912,3423000,2013年03月31日,2148473,,,4831736,4823639,58646089,,1972548,2391926,,646,,25753.0,0.0,1500536,,18341.0,10273.0,1545.0,696101,3423000,,6655,,2776396.0,412208,2127,,410081,,7608132.0,702725,,8097,803848,5216206,55843,0
2013-08-09,2,2013,3183038,98202,3731999,-168402,608909,84257,4682,2939,,-174379,-7896.0,143865,143865,4611,4611,94195,9821,8942,1919,7530,879,747400,2502214,,197093,19205,163360,509978,46238,9797,786559,17.0,47459,58299,0.0,86665.0,1512723,404872,3423000,2013年06月30日,2231463,,,4898696,4890614,58646089,,1902555,2389810,,564,,40762.0,0.0,1500536,,21868.0,11704.0,1538.0,705694,3423000,,6682,,2700334.0,412208,2127,,410081,,7599030.0,703584,,8082,797779,5209220,69449,0
2013-11-12,3,2013,3178417,98202,3802678,-141752,636237,85545,4640,3129,,-140849,,146333,146333,3090,3090,91892,9936,8580,903,7565,1356,767600,2502214,,170229,12717,194175,199984,51380,5454,823722,0.0,57824,35776,,84327.0,1510031,403476,3423000,2013年09月30日,2302142,,,5002945,4994823,58646089,,1943501,2543508,,482,,125551.0,0.0,1500536,,52457.0,23228.0,7.0,1042872,3423000,,6944,,2741107.0,412208,2127,,410081,,7744052.0,705714,,8122,797606,5200544,38115,0
2014-03-26,4,2013,3176032,98202,3874761,-88443,665211,97600,0,387,,-82449,,266482,266482,4069,4069,98998,278756,277394,5994,7441,1362,775567,2502214,,262670,24808,210259,479913,82994,20119,1154216,256.0,106604,133629,33.0,91557.0,1506889,402965,3423000,2013年12月31日,734126,,,5133438,5125306,58646089,,2594018,3062991,,4238,,175563.0,0.0,3140635,,29107.0,43455.0,0.0,1100895,3423000,,4823,,3396635.0,412208,2127,,410081,,8530073.0,703619,,8132,802617,5467082,18349,0
2014-08-12,2,2014,3166600,117702,3967299,-57065,672527,82244,2742,736,,-53160,,177420,177420,4506,4506,94878,9360,8283,3905,7357,1077,654851,2502214,0.0,317357,10698,199867,0,64861,8380,1106656,0.0,11700,29884,0.0,87521.0,1770988,400395,3423000,2014年06月30日,75467,,,5255304,5247133,58646089,24572.0,2322554,2909995,,3416,,333244.0,,3867260,22233.0,,52422.0,55.0,1399865,3423000,,6698,,3144388.0,412208,2127,,410081,,8399692.0,726956,21236.0,8171,821834,5489697,73603,0
2014-11-10,3,2014,3161325,117702,4006839,-62846,668734,100548,8463,3390,,-50952,,176100,176100,2185,2185,91695,10196,9111,11894,6778,1085,806666,2502214,0.0,252218,7218,172409,299889,65148,5989,951485,0.0,12593,51440,0.0,84917.0,1774665,400255,3423000,2014年09月30日,174221,,,5297060,5288881,58646089,24572.0,2277566,2904865,,3033,,335249.0,,3808046,20113.0,,62704.0,90.0,1119170,3423000,,7710,,3096217.0,412208,2127,,410081,,8393277.0,726956,21236.0,8179,818651,5488412,52920,0
2015-03-26,4,2014,3157785,153702,4118555,8169,690068,104928,2902,726,,35051,,178226,178226,3448,3448,97286,12157,10185,26882,6773,1972,958411,2502214,0.0,268658,10070,179562,414964,49854,16064,890672,0.0,29564,69138,0.0,90513.0,1627643,399730,3423000,2014年12月31日,206985,,,5494775,5486600,58646089,24572.0,2122173,3062687,,2609,,367279.0,,3886998,19691.0,,84343.0,,807852,3423000,,4750,,2946415.0,412208,2127,,410081,,8441190.0,726956,24877.0,8175,824242,5378503,33690,0
2015-05-14,1,2015,3153023,153702,4230416,22207,704110,101352,2875,777,,44753,,103200,103200,4340,4340,94604,38307,9795,22546,6855,28512,915075,2502214,0.0,265714,11866,168255,464929,62887,4619,913234,,35808,41451,0.0,,1537918,399645,3423000,2015年03月31日,318846,84343.0,106.0,5616343,5608163,58646089,24572.0,1937047,3067756,87749.0,2213,370681.0,,,3886998,,29489.0,,,662519,3423000,8374950.0,4488,2758607.0,,412208,2127,,410081,8374950.0,,726956,22386.0,8180,821560,5307194,52685,0
2015-08-12,2,2015,3153350,153702,4278339,23743,706397,100965,2337,634,,40613,,177000,177000,8897,8897,91767,20955,9243,16870,6837,11712,777296,2502214,0.0,196192,19355,178897,299981,73238,16676,1197520,,40864,51160,,,1531045,396666,3423000,2015年06月30日,341711,47359.0,211.0,5660121,5651946,58646089,49630.0,2066681,3264297,84930.0,1991,385688.0,,,3886998,,16433.0,,,950269,3423000,8545525.0,4412,2885404.0,,412208,2127,,410081,8545525.0,,726956,23519.0,8175,818723,5281228,79197,0
2015-11-12,3,2015,3156434,153702,4425600,-115638,308372,681494,2433,7583,93.0,-75573,,150161,150161,23230,23230,88945,26938,10631,40065,6889,16307,751239,2384922,0.0,194614,23372,169807,509878,48443,12355,1293073,,85198,31995,,,1509470,396597,2738400,2015年09月30日,488972,53851.0,276.0,5123833,5115713,58646089,49630.0,2886315,3554974,82056.0,1604,788942.0,,,3886998,,224260.0,,,1035241,2738400,8826049.0,4666,3702216.0,,412208,2127,,410081,8826049.0,,726956,26330.0,8120,815901,5271075,40713,0
2016-03-25,4,2015,3153499,153702,4551197,-65817,406424,109387,2348,135107,,-30249,,264875,264875,7648,7648,101644,26667,9303,35568,6820,17364,776261,2384922,0.0,256689,29248,173768,159982,76447,44179,1237941,,174490,131489,,,1442416,396052,2738400,2015年12月31日,589191,37383.0,,5294829,5286634,46916871,49630.0,2407642,3330767,94824.0,1217,292508.0,,,3912376,,140946.0,,,1248286,2738400,8531071.0,5050,3236242.0,,412208,2127,,410081,8531071.0,,726956,26751.0,8195,828600,5200304,27953,0
2016-05-11,1,2016,3147642,173202,4627598,-62962,435349,92112,4089,2411,,-33834,,443387,443387,6177,6177,60977,20875,9093,29128,6743,11782,879429,2384922,,184476,15099,200995,609718,66228,11036,1128643,,164640,86044,,,1371263,389950,2738400,2016年03月31日,665592,40679.0,63.0,5367454,5359450,46916871,49630.0,2661734,3694262,54234.0,880,934165.0,,,3912376,,17317.0,,,988849,2738400,8817121.0,5066,3449667.0,,412208,2127,,410081,8817121.0,,726956,19047.0,8004,787933,5122859,40024,0
2016-08-10,2,2016,3143284,173202,4563502,-59695,443869,239740,2277,2711,,-58519,,122461,122461,5330,5330,57361,9058,8149,1176,6599,909,913475,2384922,0.0,176161,26500,221277,509792,101871,15887,1076546,,154594,44913,,,1077342,389968,2738400,2016年06月30日,556915,39144.0,167.0,5278643,5270669,46916871,94211.0,2367857,3620334,50762.0,687,295159.0,,,3912376,,651570.0,,,907817,2738400,8430817.0,4930,3152174.0,,412208,2127,,410081,8430817.0,,726956,16942.0,7974,784317,4810483,32000,0
2016-11-10,3,2016,3141599,173202,4745873,-47768,397417,793814,2447,2287,0.0,-49990,,187194,187194,4824,4824,53656,31532,7034,-2222,6457,24498,744419,2244172,,181598,16951,230877,609702,118909,0,1316847,,171091,79493,,,1031912,389904,1916880,2016年09月30日,739286,40686.0,234.0,4812859,4803356,46916871,94211.0,3054416,3864204,47199.0,320,274087.0,,,3912376,,862216.0,,,867527,1916880,8647887.0,4711,3835028.0,,434765,2127,22557.0,410081,8647887.0,,726956,15214.0,9503,780612,4783683,11289,0
