date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-06,1,2013,33481.0,-7260,-362,-173,40565,-12074,,,,88,,4087,-18438,-13223,,,,,,0.0,-2037,,-2.0,0.0,48050,-3128,0,-13838,-1540,-5300.0,-13087,34804,547,,,258,-4082,,,,2013年01月01日至2013年03月31日,93195,87434,-3259,-5761,-23671,,58475,62557,,,-25451.0,,-32711,-23671,,,32322,20425,52747,138,,,-68,,,,-547,,86228,87434,0,155,,,0.0
2013-08-05,2,2013,56963.0,-14526,5851,-9495,2040,-14928,,-8817.0,,162,-472.0,7751,-1064,-23635,,,,,,0.0,-2038,-1600.0,5998.0,,30835,30035,0,-30518,-38019,-10513.0,138142,68376,863,,,519,-7740,472.0,,,2013年01月01日至2013年06月30日,93195,166106,-2954,72911,-26092,,-18481,-2978,,,-29560.0,,-45686,-26092,,,28276,-62125,-33849,806,,,3991,,163790.0,-17569.0,-863,,23114,166106,-8235,60,,,0.0
2013-11-04,3,2013,103066.0,-21774,-4730,-17695,5565,-7957,,-8224.0,,266,-594.0,12532,-11611,-51592,,,,0.0,,0.0,-2038,-1600.0,,6118.0,39023,44048,0,-30046,-9520,-15680.0,122819,100860,1101,,,772,-12483,594.0,,,2013年01月01日至2013年09月30日,93195,175916,-18,82721,-34059,,52676,73116,,,-57789.0,,-81163,-34059,,,30304,-26195,4109,769,11958.0,,1937,,163790.0,-17569.0,-1877,,107175,175916,-8551,-151,0.0,,8946.0
2014-03-19,4,2013,166315.0,-28965,-10470,11093,2713,-16948,,-15523.0,,350,-858.0,29088,-11847,-61109,,,0.0,0.0,,-1614.0,-2037,-1600.0,,13608.0,45867,39329,0,-51504,18666,-20842.0,112574,135021,1058,,,1447,-29053,858.0,,,2013年01月01日至2013年12月31日,93195,141530,-5949,48335,-92902,,56046,92375,0.0,,-55281.0,,-108438,-92902,0.0,,11788,7174,18962,1499,11923.0,,3516,,163790.0,-17569.0,-1799,,185277,141530,-8134,105,-22592.0,50017.0,-25017.0
2014-05-07,1,2014,35864.0,-7245,-6454,-18652,-1052,-4696,,,671.0,89,-65.0,3366,3989,-16378,,,,,,,0,,-634.0,,-7468,-40679,2063,38004,-21177,-4705.0,-16202,33386,464,,,400,-3355,65.0,,,2014年01月01日至2014年03月31日,141530,98797,-866,-42733,-7950,,-39734,-36438,,,16459.0,,9214,-7950,,,-50363,-13989,-64352,139,,,-87,,,,-359,,-28488,98797,-6,0,,,
2014-08-13,2,2014,74923.0,-14425,13443,-7596,-3011,-236,,-66.0,,2173,-161.0,6476,4765,-48621,,,,,,-102.0,0,0.0,,-634.0,-20233,33014,1805,-6618,-74735,-9420.0,-22149,64007,464,1557.0,,732,-6552,161.0,,,2014年01月01日至2014年06月30日,141530,82432,1729,-59098,-2955,,-6246,402,,,-21043.0,,-35468,-2955,,,36295,-107861,-71566,25434,,,1398,,0.0,0.0,-1431,1840.0,3357,82432,-257,0,,,
2014-11-13,3,2014,117627.0,-21605,11579,807,3206,-19577,,1268.0,,2226,-520.0,11617,6040,-64666,,,,,,-1058.0,0,0.0,,-805.0,-54064,57251,1547,-33906,-43306,-14219.0,-35058,95672,281,1557.0,,1145,-11662,520.0,,,2014年01月01日至2014年09月30日,141530,160918,1540,19388,8609,,25865,37392,,,44146.0,,22541,8609,,,59645,-148489,-88844,21321,0.0,,7151,,0.0,0.0,-1458,8882.0,28783,160918,-385,254,,,0.0
2015-03-23,4,2014,160505.0,-28718,16637,21716,9459,-16240,-17327.0,-1719.0,,2249,-739.0,15529,6523,-104331,-30346.0,,,,,-1056.0,455,0.0,-10782.0,0.0,-66342,36082,1289,-32445,-36435,-19328.0,-119382,128774,981,1594.0,,1541,-15563,739.0,,,2014年度,141530,83558,-4259,-57972,9151,,54386,69297,,,29219.0,,501,9151,,,45120,-145479,-100359,19963,0.0,,14353,,0.0,0.0,-2182,8889.0,60146,83558,-87,304,0.0,4480.0,0.0
2015-05-08,1,2015,,-35898,-33866,-1332,3549,-4244,17327.0,-9341.0,0.0,52,-25.0,4430,-15813,-28832,,-11586.0,,,,-1230.0,-387,,0.0,1.0,-11134,21735,1494,43189,-70624,,-50470,28512,307,,,461,-1371,25.0,,38746.0,2015年01月01日至2015年03月31日,83558,358380,4245,274822,7475,-4896.0,3540,7726,,684567.0,0.0,-308207.0,337565,7475,,,-11677,-26818,-38495,0,,518.0,30,,,,-298,,251,358380,-2840,1726,-2897.0,,
2015-08-12,2,2015,,-35898,-31050,-2590,4513,-14273,14327.0,-17740.0,,103,-220.0,10602,-23753,-58049,,-20995.0,,,,-1831.0,-791,,-90.0,,-19835,37552,-356,-4364,-40266,,-80336,57777,307,0.0,,903,-2753,220.0,,75411.0,2015年01月01日至2015年06月30日,83558,364944,4620,281386,11014,-9792.0,12597,20598,,684567.0,-272894.0,,372878,11014,,1200.0,1174,-67001,-65827,5851,12000.0,518.0,-115,,,,-2745,0.0,9584,364944,-5468,3807,-2897.0,270.0,
2015-11-11,3,2015,,-35898,-40689,765,-3440,-8099,17327.0,-17254.0,,155,-287.0,15834,-27260,-82025,,-70750.0,,,,-1831.0,-818,,,83.0,-29287,-22880,-641,37355,-52492,,-158673,87856,489,0.0,,1195,-3230,287.0,1200.0,99563.0,2015年01月01日至2015年09月30日,83558,316124,-1332,232566,38127,-14613.0,13281,21485,,684567.0,-240554.0,,405218,38127,,-1200.0,-81774,-34431,-116205,586,12000.0,518.0,-142,,,,-2926,0.0,-16642,316124,-6461,1085,-2897.0,143.0,
2016-03-25,4,2015,,-35898,-16893,-3336,11708,-20749,17327.0,-21643.0,,203,-1912.0,23121,-34731,-109665,0.0,-80252.0,,,-48634.0,-1798.0,2084,,-810.0,,-6385,-14718,-713,-2729,-13398,,-247234,122006,1510,0.0,1.0,2606,-5816,1912.0,1200.0,145279.0,2015年度,83558,355370,1742,271812,23531,-20185.0,89286,100249,,684567.0,0.0,-184178.0,464491,23531,412.0,-1200.0,-39291,-29270,-68561,5947,12000.0,518.0,-2002,-2897.0,,,-3947,0.0,76718,355370,-8259,-3237,,5402.0,
2016-05-03,1,2016,,0,-35955,3215,-14857,12848,0.0,-6453.0,,52,-160.0,5939,9829,7099,,0.0,,,,0.0,0,,-304.0,0.0,-29398,19869,-376,25816,-48393,,399,27483,0,,13.0,162,-1151,160.0,,42198.0,2016年01月01日至2016年03月31日,355370,364366,4454,8996,10619,-4980.0,-22053,-19394,,0.0,20821.0,0.0,20821,10619,755.0,,-36299,-35912,-72211,57,,0.0,-27,,,,0,,-30013,364366,-1668,2274,0.0,1253.0,
2016-08-05,2,2016,,0,-4092,-3026,-13955,2851,0.0,-17780.0,,104,-1008.0,11876,-1320,-23319,,-22322.0,,,,0.0,3448,,0.0,50.0,1188,-407,-376,-23188,9052,,-62382,54570,0,,13.0,323,-2391,1008.0,,79775.0,2016年01月01日至2016年06月30日,355370,298788,2907,-56582,17976,-10604.0,48286,55194,,0.0,,-41166.0,-41166,17976,1177.0,-7200.0,-29434,-13123,-42557,989,0.0,0.0,-488,,,,0,,37218,298788,-5525,10791,0.0,3262.0,
2016-11-04,3,2016,,0,-22769,-387,-15958,-9177,0.0,-30461.0,,152,-1650.0,18100,-23761,-27432,,-22322.0,,,,0.0,3317,,,-212.0,-5225,-14699,-376,65478,-20300,,-77785,81105,0,,-7.0,645,-4017,1650.0,7193.0,113841.0,2016年01月01日至2016年09月30日,355370,306337,4641,-49033,22982,-17907.0,93792,95503,,0.0,,-41279.0,-41279,22982,1800.0,-7193.0,-71709,30389,-41320,2642,0.0,0.0,-886,,,,0,,72521,306337,-6537,7437,0.0,6380.0,
