date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,121549,6656,2928,121136,0.11,,-1596,,-413.0,-1355,,2501,2013年01月01日至2013年03月31日,61097,182233,60801,181938,51795,7706,393630,460227,66597,66597,14802,12301,61097,59501,0.0,523,296,295
2013-08-02,2,2013,,,-47381,-55892,7911,-45821,0.03,,-10181,,1560.0,869,,2366,2013年04月01日至2013年06月30日,17151,-28670,16990,-28834,54482,-47512,419977,487650,67673,67673,13191,10825,17151,6970,0.0,400,161,164
2013-11-08,3,2013,,,54389,1494,52836,54664,0.19,,-3720,,275.0,545,,1605,2013年07月01日至2013年09月30日,109032,163696,108815,163478,50826,54486,436469,500996,64527,64527,13701,12096,109032,105312,,389,217,218
2014-03-26,4,2013,,,212690,-153204,70117,216128,0.26,,-34930,,3473.0,2287,,8637,2013年01月01日至2013年12月31日,146860,362988,146033,362154,194430,-82500,1766933,2024604,257671,257671,63241,54604,146860,111930,35.0,1700,827,834
2014-05-12,1,2014,,0.0,84007,7858,2673,83549,0.12,,-6483,,-458.0,-3372,,2260,2014年01月01日至2014年03月31日,68173,151722,67967,151517,54922,6768,423693,495721,72028,72028,17106,14846,68173,61690,,391,206,205
2014-08-12,2,2014,,,82470,5252,4445,81277,0.06,,5825,,-1193.0,-5393,,1259,2014年第2季,36589,117866,36509,117787,38582,3832,454883,508589,53706,53706,15124,13865,36589,42414,0.0,472,80,79
2014-11-10,3,2014,,,-32549,11827,53374,-31586,0.11,,2139,,963.0,-1074,,1351,2014年第3季,63447,31861,63250,31662,1871,63715,453290,481447,28157,28157,26286,24935,63447,65586,,412,197,199
2015-03-23,4,2014,,,117243,-71952,66614,116800,0.25,,-11396,,-443.0,5971,,6662,2014年度,142301,259101,141765,258565,131940,-1035,1865890,2078224,212334,212334,80394,73732,142301,130905,0.0,1668,536,536
2015-05-07,1,2015,,0.0,60155,518,1628,59880,0.06,59880.0,-4546,,,-3057,-275.0,2334,2015年01月01日至2015年03月31日,35987,95867,35833,95714,32740,-1299,428669,475433,46764,46764,14024,11690,35987,31441,,388,154,153
2015-08-11,2,2015,,,-50123,-3815,6802,-51655,0.04,-51655.0,1566,,,-637,-1532.0,1258,2015年第2季,24910,-26745,24796,-26856,24169,2307,444616,483408,38792,38792,14623,13365,24910,26476,,43,114,111
2015-11-10,3,2015,,,-277837,-11691,62421,-277773,0.1,-277773.0,3104,,,1588,64.0,1307,2015年第3季,61391,-216382,61269,-216504,12226,52269,386050,413010,26960,26960,14734,13427,61391,64495,,49,122,122
2016-03-28,4,2015,-225.0,,-247829,-18650,98155,-249155,0.25,-248930.0,-507,-225.0,,-6290,-1101.0,7311,2015年度,144466,-104689,143995,-105156,71282,72677,1718202,1857289,139087,139087,67805,60494,144466,143959,,538,471,467
2016-05-05,1,2016,,,60931,176851,3931,60334,0.21,60334.0,-19341,,,759,-597.0,3407,2016年01月01日至2016年03月31日,216613,276947,117463,177798,15784,181488,347147,383670,36523,36523,20739,17332,216613,197272,,53,99150,99149
2016-08-10,2,2016,,,-88062,10696,2924,-88015,0.03,-88015.0,697,,,1211,47.0,2347,2016年第2季,18707,-69308,18208,-69807,4709,14695,384500,403918,19418,19418,14709,12362,18707,19404,,136,499,499
2016-11-08,3,2016,,,-22370,-1813,54130,-22095,-0.02,-22095.0,-780,,,3285,275.0,2608,2016年第3季,-8727,-30822,-8980,-31075,-65089,55582,345881,300124,-45757,-45757,19332,16724,-8727,-9507,,20,253,253
