date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-03,1,2013,,1914500,593758,233493,4611640,1875202,0.9,0.9,,147177,,1022953.0,4655861,,1301737,2013年01月01日至2013年03月31日,,5500227,10111867,5500227,10111867,539429,5107975,46944695,50044541,3099846,3099846,2560417,193921,,1064759,5500227,5647404,,201015.0,,375137
2013-08-12,2,2013,,15846898,683758,200367,19630919,814905,0.49,0.49,,1065832,,3040661.0,2358661,,1506950,2013年04月01日至2013年06月30日,,3102603,22733522,3102603,22733522,1277183,2891252,52035614,56289780,4254166,4254166,2976983,223680,,1246353,3102603,4168435,,71545.0,,351534
2013-11-12,3,2013,,-3900325,175966,798659,-5899660,-976076,1.02,1.02,,480071,,-1161829.0,5505969,,1417593,2013年07月01日至2013年09月30日,,6484094,584434,6484094,584434,858752,6105413,49456084,53144687,3688603,3688603,2829851,233773,,1178485,6484094,6964165,,-138570.0,,375181
2014-03-24,4,2013,,18364002,2034874,1392257,23865505,2792876,3.25,3.25,,2448657,,2934708.0,16639868,,5548405,2013年01月01日至2013年12月31日,,20715841,44581346,20715841,44581346,4580331,18584167,199760375,215424768,15664393,15664393,11084062,892277,,4643380,20715841,23164498,,226081.0,,1482832
2014-05-13,1,2014,,-5359605,2925497,155642,-4910077,1356292,1.13,1.13,,790637,,-722480.0,4211868,,1249892,2014年01月01日至2014年03月31日,,7212609,2302532,7212609,2302532,1089904,6913342,48208250,51989871,3781621,3781621,2691717,220729,,1221096,7212609,8003246,,184284.0,,379665
2014-08-11,2,2014,,19738440,-206627,142677,22975641,-1746617,0.59,0.59,,1030553,,4777757.0,3803688,,1339023,2014年第2季,,3764915,26740556,3764915,26740556,1450030,3345438,54868556,59028979,4160423,4160423,2710393,233747,,1137623,3764915,4795468,,-206061.0,,394300
2014-11-11,3,2014,,-11346590,514339,2500004,-12401557,1564369,1.19,1.19,,540633,,-2428140.0,4055533,,1306027,2014年第3季,,7517384,-4884173,7517384,-4884173,1382591,6675426,51192709,55340879,4148170,4148170,2765579,221013,,1238539,7517384,8058017,,191196.0,,394450
2015-03-24,4,2014,,9144815,4408900,2960516,17554521,5503175,2.83,2.83,,2558119,,3551838.0,9232820,,5173862,2014年度,,17993434,35547955,17993434,35547955,5514853,15036700,200036215,216589040,16552825,16552825,11037972,918041,,4946069,17993434,20551553,,645307.0,,1565536
2015-05-08,1,2015,,3211590,-139201,111009,2874768,-1059813,0.57,0.57,2874768.0,808299,,,1902405,601755.0,1370949,2015年01月01日至2015年03月31日,808299.0,3643685,6518453,3643685,6518453,2938983,1513001,42125233,47697112,5571879,5571879,2632896,200024,,1061923,3643685,4451984,,,-121236.0,361212
2015-08-11,2,2015,,-7285063,-3331,105382,-11130934,-922179,1.71,1.71,-11130934.0,1368173,,,9066220,-3051343.0,1379502,2015年第2季,1368173.0,10861107,-269827,10861107,-269827,3394528,8834752,44948926,51007365,6058439,6058439,2663911,195014,,1089395,10861107,12229280,,,-127651.0,333519
2015-11-10,3,2015,,-20217676,1633304,3303900,-18965805,4845686,1.65,1.65,-18965805.0,1215226,,,4363623,-2760473.0,1325871,2015年第3季,1215226.0,10530079,-8435726,10530079,-8435726,2771467,8973838,41560996,46995229,5434233,5434233,2662766,209962,,1126933,10530079,11745305,,,833342.0,326989
2016-03-17,4,2015,-889578.0,-15248717,2296734,3627780,-17936543,2327662,4.85,4.85,-17046965.0,4217039,-147202.0,,20023445,-3564002.0,5509128,2015年度,,30877269,12940726,30877269,12940726,10501161,24593147,169720286,191545395,21825109,21825109,11323948,853485,-894428.0,4961335,30877269,35094308,-152052.0,,561908.0,1354812
2016-05-09,1,2016,,4220102,-715526,104111,2103355,-2391609,0.9,0.9,2103355.0,940337,,,4710296,-80850.0,1289725,2016年01月01日至2016年03月31日,940337.0,5712824,7816179,5712824,7816179,2879464,3773697,37333517,42782369,5448852,5448852,2569388,173391,,1106272,5712824,6653161,,,-355712.0,325184
2016-08-09,2,2016,,-5210541,-435535,123980,-6591505,-847512,1.6,1.6,-6591505.0,1425571,,,9332262,-534201.0,1364255,2016年第2季,1425571.0,10228536,3637031,10228536,3637031,2964273,8689834,39189689,44799034,5609345,5609345,2645072,180545,,1100272,10228536,11654107,,,-749.0,330873
2016-11-08,3,2016,,1256390,-749945,4902621,-1470761,-3189107,1.79,1.79,-1470761.0,733143,,,6618516,27818.0,1250219,2016年第3季,733143.0,11395381,9924620,11395381,9924620,1707945,10420579,37572809,42144696,4571887,4571887,2863942,205299,,1408424,11395381,12128524,,,-434138.0,350613
