date,season,year,不重分類至損益之項目總額,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,-2197339,903362,334583,457303,1648106,1.43,1.43,,864303,,1135157.0,2446049,,1862782,2013年01月01日至2013年03月31日,8533076,8990379,8096038,10112798,6385215,3012164,95567101,105123051,9555950,9555950,3170735,,1307953,8533076,9397379,128621.0,,671830,437038,-1122419
2013-08-09,2,2013,,,11602752,961164,638052,14622421,739017,0.7,0.7,,1535207,,2411326.0,960955,,2028782,2013年04月01日至2013年06月30日,4592073,19214494,4087093,18741314,4228008,1899272,105255208,112980396,7725188,7725188,3497180,,1468398,4592073,6127280,130674.0,,660899,504980,473180
2013-11-08,3,2013,,0.0,-3248991,-5278,1481507,-5146325,-865047,1.61,1.61,,606115,,-1129047.0,3319592,,1934059,2013年07月01日至2013年09月30日,9768118,4621793,9438638,4275195,6257792,4116441,98684474,108316274,9631800,9631800,3374008,,1439949,9768118,10374233,-96760.0,,679380,329480,346598
2014-03-21,4,2013,,0.0,12786383,1998590,2834028,17610959,2582805,4.25,4.25,,3628303,,2552268.0,9116739,,7858437,2013年01月01日至2013年12月31日,26678524,44289483,24863645,42928742,18978236,11328591,395440460,427999934,32559474,32559474,13581238,,5722801,26678524,30306827,310497.0,,2620766,1814879,1360741
2014-05-12,1,2014,,0.0,-5651147,3071900,413524,-4970086,1205938,0.97,0.97,,731562,,-388967.0,2520457,,1949065,2014年01月01日至2014年03月31日,6316904,1346818,5679397,1465677,1688584,5359882,95975080,100960296,4985216,4985216,3296632,,1347567,6316904,7048466,135910.0,,645999,637507,-118859
2014-08-08,2,2014,,-0.12,19125040,133953,453291,21412481,-1876921,0.6,0.72,,410101,,3950182.0,2063189,,2191681,2014年第2季,4226679,25639160,3470077,24893708,2656163,1980617,104304267,110381586,6077319,6077319,3421156,,1229475,4226679,4636780,-214180.0,,669816,756602,745452
2014-11-07,3,2014,,-0.22,-13920066,311732,3670233,-14600716,1511695,1.27,1.49,,298306,,-2012331.0,2430249,,2167903,2014年第3季,8738400,-5862316,7441997,-6388446,3277218,5759488,93950172,100725009,6774837,6774837,3497619,,1329716,8738400,9036706,180014.0,,652726,1296403,526130
2015-03-20,4,2014,,0.0,5170789,4806423,4894649,12852455,4356765,1.8,1.8,,1673291,,3867126.0,4532308,,8468032,2014年度,14021141,26873596,10530288,25182244,4045747,11648685,383655665,401453739,17798074,17798074,13752327,,5284295,14021141,15694432,542225.0,,2584695,3490853,1691352
2015-05-05,1,2015,,,2789591,-225575,372501,1912574,-1229904,0.25,0.25,1912574.0,474331,,,282616,216843.0,2221659,2015年第1季,2057091,3969665,1486545,3758256,2667270,-135848,74716000,80909048,6193048,6193048,3525778,,1304119,2057091,2531422,,-136044.0,565390,570546,211409
2015-08-07,2,2015,,,-7370469,-371633,523721,-11044279,-991419,2.09,2.09,-11044279.0,1774731,,,6140965,-2780391.0,2192963,2015年第2季,13474924,2430645,12202306,-647264,9554641,5695014,77409221,90568175,13158954,13158954,3604313,,1411350,13474924,15249655,,-98000.0,598039,1272618,3077909
2015-11-06,3,2015,0.0,,-14902813,1186031,3851944,-14136417,2411471,1.34,1.34,-14136417.0,1281742,,,3074784,-1203065.0,2144380,2015年第3季,8971723,-5164694,7804936,-6775544,2690298,7563167,72911380,79201681,6290301,6290301,3600003,0.0,1455623,8971723,10253465,,442010.0,549592,1166787,1610850
2016-03-16,4,2015,-852393.0,,-9601819,1418928,5306716,-13282810,-756536,4.72,4.72,-12430417.0,4371618,-278660.0,,12194766,-2088004.0,8831840,2015年度,31617547,18334737,27578193,12247215,19374126,16615039,295636411,329349307,33712896,33712896,14338770,-573733.0,5506930,31617547,35989165,,-15942.0,2305371,4039354,6087522
2016-05-06,1,2016,,,7206589,-476616,469290,5199717,-1872285,1.16,1.16,5199717.0,1278555,,,2610406,-300106.0,2137302,2016年01月01日至2016年03月31日,7819137,13018854,6756946,9377051,6997823,2099869,65209128,75799504,10590376,10590376,3592553,,1455251,7819137,9097692,,-165519.0,503211,1062191,3641803
2016-08-05,2,2016,,,-5985733,-1073884,398084,-7269888,-1001100,2.27,2.27,-7269888.0,2045445,,,6351315,-438102.0,2090926,2016年第2季,14305132,7035244,13285183,7253004,11167607,5182970,66613495,81274530,14661035,14661035,3493428,,1402502,14305132,16350577,,-155047.0,492545,1019949,-217760
2016-11-04,3,2016,,,2912140,-1064707,6667901,506453,-2473613,2.56,2.56,506453.0,1093410,,,4465784,-242590.0,2144534,2016年第3季,16753073,17259526,14942090,14352410,8251391,9595092,68133370,79939487,11806117,11806117,3554726,,1410192,16753073,17846483,,-310516.0,473886,1810983,2907116
