date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-10-23,2,2013,,,-8423,2236,96825,96825.0,4.36,4.36,58273,8376,2013年01月01日至2013年06月30日,291243,388068,291243,388068,359400,-9884,743463,1152083,408620,408620,49220,6604,4.35,4.35,34240,291243,349516,3697,0.0,0.0
2013-11-06,3,2013,,,-1285,1561,-40153,-40153.0,2.82,2.82,39823,4291,2013年07月01日至2013年09月30日,203903,163750,203903,163750,245445,-1719,446344,721971,275627,275627,30182,4644,2.81,2.81,21247,203903,243726,1995,0.0,0.0
2014-03-14,4,2013,,,-12747,6480,117772,117772.0,10.08,10.08,138556,20885,2013年01月01日至2013年12月31日,701379,819151,701379,819151,853708,-13773,1701150,2673657,972507,972507,118799,15471,10.04,10.04,82443,701379,839935,7506,0.0,0.0
2014-05-06,1,2014,,,73841,2117,-9930,-9930.0,2.39,2.39,32697,3637,2014年01月01日至2014年03月31日,189937,180007,189937,180007,148118,74516,337070,517764,180694,180694,32576,5290,2.39,2.39,23649,189937,222634,1442,,
2014-07-31,2,2014,,,-2464,2508,-83082,-83082.0,2.83,2.83,45041,5917,2014年第2季,227248,144166,227248,144166,273548,-1259,504497,807863,303366,303366,29818,4089,2.82,2.82,19812,227248,272289,1303,,
2014-10-30,3,2014,,,-1410,2636,112770,112770.0,2.76,2.76,46941,5824,2014年第3季,244269,357039,244269,357039,291259,-49,520072,840208,320136,320136,28877,4174,2.76,2.76,18879,244269,291210,1275,,
2015-03-12,4,2014,,,74653,10148,173623,173623.0,10.6,10.6,174324,27901,2014年度,934256,1107879,934256,1107879,1028906,79674,1935442,3094505,1159063,1159063,130157,18515,10.57,10.57,83741,934256,1108580,5127,,
2015-05-04,1,2015,-47866.0,-47866.0,-385,9247,-47866,,1.74,1.74,30155,4725,2015年01月01日至2015年03月31日,153403,105537,153403,105537,175635,7923,387515,592056,204541,204541,28906,5612,1.73,1.73,18569,153403,183558,939,,
2015-08-03,2,2015,-72829.0,-72829.0,-8081,25141,-72829,,2.51,2.51,47409,6926,2015年第2季,221916,149087,221916,149087,253210,16115,549540,834023,284483,284483,31273,5508,2.5,2.5,18839,221916,269325,945,,
2015-11-04,3,2015,217402.0,217402.0,35671,19808,217402,,2.3,2.3,43223,5701,2015年第3季,264154,481556,264154,481556,252700,54677,573376,852023,278647,278647,25947,6263,2.3,2.3,13983,264154,307377,802,,
2016-03-03,4,2015,-103459.0,-103459.0,12505,70612,-103459,,7.51,7.51,167324,28471,2015年度,862813,759354,862813,759354,950461,79676,2132310,3198020,1065710,1065710,115249,22934,7.5,7.5,63844,862813,1030137,3441,,
2016-05-09,1,2016,-28676.0,-28676.0,-630,10224,-28676,,1.51,1.51,32552,4899,2016年01月01日至2016年03月31日,173201,144525,173201,144525,196831,8922,446205,666825,220620,220620,23789,6039,0.0,0.0,12851,173201,205753,672,,
2016-08-04,2,2016,-153761.0,-153761.0,13517,9880,-153761,,2.37,2.37,51196,6538,2016年第2季,272597,118836,272597,118836,300396,23397,591534,916238,324704,324704,24308,5285,0.0,0.0,12485,272597,323793,0,,
2016-11-04,3,2016,-186151.0,-186151.0,1413,9421,-186151,,2.18,2.18,46858,5969,2016年第3季,250532,64381,250532,64381,286556,10834,553300,864278,310978,310978,24422,6126,0.0,0.0,12327,250532,297390,0,,
