date,season,year,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,17773,2828,1543,32440,14667,-0.66,-0.66,,0,,-102,,12266,2013年01月01日至2013年03月31日,-58305,-25865,,-58030,-25590,-61382,3077,109704,117900,8196,8196,69578,-0.66,-0.66,57312,-58305,-58305,1192,-275,-275
2013-08-13,2,2013,,-17076,138,956,-7777,9299,-0.05,-0.05,,2916,,-125,,10292,2013年04月01日至2013年06月30日,-4516,-12293,,-4744,-12521,6807,-8407,310333,367865,57532,57532,50725,-0.05,-0.05,40433,-4516,-1600,9376,228,228
2013-11-11,3,2013,,-2230,4215,6042,-8389,-6159,-0.11,-0.11,,-1498,,-117,,14974,2013年07月01日至2013年09月30日,-13022,-21411,,-14157,-22546,-21502,6982,255203,304989,49786,49786,71288,-0.11,-0.11,56314,-13022,-14520,3158,1135,1135
2014-03-19,4,2013,,-28688,49521,23283,-1675,27013,-0.87,-0.87,,4774,,-453,,51729,2013年01月01日至2013年12月31日,-113973,-115648,,-114414,-116089,-157208,48009,758995,897937,138942,138942,296150,-0.87,-0.87,244421,-113973,-109199,24342,441,441
2014-05-09,1,2014,,2644,9890,18803,520,-1369,-0.37,-0.37,,3594,-755.0,-719,,9584,2014年01月01日至2014年03月31日,-60630,-60110,,-60763,-60243,-83152,26116,163375,147495,-15880,-15880,67272,-0.37,-0.37,57688,-60630,-57036,1858,133,133
2014-08-11,2,2014,,478,-2064,5741,-7744,-9609,-0.29,-0.29,,-1584,1387.0,-3147,,13345,2014年第2季,-46774,-54518,,-47305,-55049,-45521,-2837,247549,282330,34781,34781,80302,-0.29,-0.29,66957,-46774,-48358,3367,531,531
2014-11-11,3,2014,,3538,87078,5775,17431,15255,0.29,0.29,,6972,-1362.0,-3882,,13334,2014年第3季,46457,63888,0.0,46812,64243,-33033,86462,217881,242020,24139,24139,57172,0.29,0.29,43838,46457,53429,2509,-355,-355
2015-03-24,4,2014,-74669.0,63406,104490,19561,81240,19006,-0.87,-0.41,,9480,-1172.0,-11455,,19632,2014年度,-145804,-64564,,-142195,-60955,-167118,105463,69385,131832,62447,62447,229565,-0.87,-0.41,209933,-71135,-61655,7133,-3609,-3609
2015-05-05,1,2015,-30962.0,22676,5442,789,16659,-5495,-0.48,-0.29,16659.0,0,,-3136,-522.0,6924,2015年01月01日至2015年03月31日,-79840,-63181,,-76944,-60285,-48269,-609,52317,60945,8628,8628,56897,-0.48,-0.29,49973,-48878,-48878,3704,-2896,-2896
2015-08-11,2,2015,110607.0,-23385,2843,872,-54366,-30654,0.28,-0.4,-54366.0,2614,,-3207,-327.0,7312,2015年第2季,43860,-10506,,45953,-8413,-60352,-3781,43904,54533,10629,10629,70981,0.28,-0.4,63669,-66747,-64133,4289,-2093,-2093
2015-11-10,3,2015,0.0,-4089,75325,7297,6242,11663,-0.02,-0.02,6242.0,9248,,-5712,-1332.0,6376,2015年第3季,-5533,709,,-2996,3246,-67521,71236,57169,136770,79601,79601,147122,-0.02,-0.02,140746,-5533,3715,5674,-2537,-2537
2016-03-25,4,2015,65083.0,6103,89958,7333,-25308,-29707,-0.74,-1.14,-25308.0,8755,,-4408,-1704.0,58626,2015年度,-137939,-163247,,-120212,-145520,-266704,72437,161154,385865,224711,224711,491415,-0.74,-1.14,432789,-203022,-194267,20446,-17727,-17727
2016-05-06,1,2016,0.0,-3673,186475,4176,-5352,-4117,0.59,0.59,-5352.0,0,,-13145,2438.0,31720,2016年01月01日至2016年03月31日,89289,83937,,98890,93538,-80653,169942,47035,136443,89408,89408,170061,0.5,0.5,138341,89289,89289,7564,-9601,-9601
2016-08-11,2,2016,71059.0,7787,577,4344,2410,-5377,-0.28,-0.7,2410.0,1788,,-15631,0.0,47623,2016年第2季,-58369,-55959,,-46889,-44479,-93391,-34249,44226,249463,205237,205237,298628,-0.28,-0.7,251005,-129428,-127640,23539,-11480,-11480
2016-11-13,3,2016,0.0,-20607,-1720,6379,-29303,-8696,-0.89,-0.89,-29303.0,0,,-24246,0.0,48212,2016年第3季,-168319,-197622,,-150125,-179428,-120639,-47680,49177,300918,251741,251741,372380,-0.89,-0.89,324168,-168319,-168319,28093,-18194,-18194
