date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,26,5041,220,26,1.54,,20959,,,51197,2013年01月01日至2013年03月31日,318438,318464,318438,318464,337790,1607,570944,974123,403179,403179,65389,1.32,14192,318438,339397,0.0,,3654,,,,974123.0,974123.0,0,0
2013-08-12,2,2013,-46,1916,662,-46,3.28,,51654,,,85607,2013年04月01日至2013年06月30日,676168,676122,676168,676122,729503,-1681,1136944,1973173,836229,836229,106726,2.81,21119,676168,727822,0.0,,4259,,,,,,0,0
2013-11-12,3,2013,14,3881,1304,14,1.29,,21070,,,34619,2013年07月01日至2013年09月30日,265361,265375,265361,265375,281404,5027,365200,696989,331789,331789,50385,1.08,15766,265361,286431,0.0,,158,,,,,,0,0
2014-03-26,4,2013,-38,10265,3024,-38,6.3,,97426,0.0,0.0,242820,2013年01月01日至2013年12月31日,1302208,1302170,1302208,1302170,1394579,5055,2272353,3996935,1724582,1724582,330003,5.41,87183,1302208,1399634,0.0,,8234,,,,,,0,0
2014-05-07,1,2014,-44,-1084,85,-44,0.6,,43950,,,19868,2014年01月01日至2014年03月31日,126044,126000,126044,126000,171415,-1421,181645,390271,208626,208626,37211,0.55,17343,126044,169994,0.0,,422,,,,390271.0,390271.0,0,0
2014-08-12,2,2014,31,9441,607,31,0.46,,10766,,,20078,2014年第2季,97263,97294,97263,97294,98138,9891,178773,321437,142664,142664,44526,0.43,24448,97263,108029,0.0,,157,,,,,,0,0
2014-11-11,3,2014,7965,16896,265,7965,0.23,,2816,,,22414,2014年第3季,47680,55645,47680,55645,33483,17013,90567,168173,77606,77606,44123,0.14,21709,47680,50496,0.0,,148,,,,,,0,0
2015-03-24,4,2014,7888,17843,3125,7888,1.96,,69489,,,79901,2014年度,415104,422992,415104,422992,464506,20087,827137,1455970,628833,628833,164327,1.74,84426,415104,484593,0.0,,881,,,,,,0,0
2015-05-06,1,2015,-1455,-877,1346,-1455,0.18,-1455.0,4037,,,13636,2015年01月01日至2015年03月31日,37761,36306,37761,36306,41475,323,121917,195506,73589,73589,32114,0.18,18478,37761,41798,,0.0,146,,,,195506.0,195506.0,0,0
2015-08-11,2,2015,-890,-17,1486,-890,1.4,-890.0,35773,,,39294,2015年第2季,306433,305543,306433,305543,340879,1327,450251,859288,409037,409037,68158,1.28,28864,306433,342206,,0.0,142,450251.0,450251.0,859288.0,859288.0,859288.0,0,0
2015-11-11,3,2015,-1178,-1387,413,-1178,0.43,-1178.0,-2071,,,17538,2015年第3季,96607,95429,96607,95429,95648,-1112,237335,376087,138752,138752,43104,0.4,25566,96607,94536,,0.0,138,,,,,,0,0
2016-03-23,4,2015,-2520,-3332,4435,-2520,2.44,-2520.0,57247,,,99881,2015年度,562658,560138,562658,560138,620907,-1002,1273905,2105216,831311,831311,210404,2.36,110523,562658,619905,,0.0,2105,,,,,,0,0
2016-05-04,1,2016,-408,4720,512,-408,0.03,-408.0,5579,,,13145,2016年01月01日至2016年03月31日,8212,7804,8212,7804,10136,3655,142310,191135,48825,48825,38689,0.02,25544,8212,13791,,0.0,1577,,,,191135.0,191135.0,0,0
2016-08-08,2,2016,-182,-55038,4403,-182,0.49,-182.0,7769,,,30483,2016年第2季,119352,119170,119352,119170,189662,-62541,858748,1112311,253563,253563,63901,0.41,33418,119352,127121,,0.0,11906,858748.0,858748.0,1112311.0,1112311.0,1112311.0,0,0
2016-11-04,3,2016,-164,-70630,764,-164,1.54,-164.0,85725,,,28208,2016年第3季,414242,414078,414242,414078,575224,-75257,2791909,3434797,642888,642888,67664,1.3,39456,414242,499967,,0.0,5391,,,,,,0,0
