date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,1251,26992,3424,35458,40918,2.24,2.24,,46524,52840,2013年01月01日至2013年03月31日,184443,219901,182505,216525,202008,28959,1050552,1349625,299073,299073,97065,6660,,,2.23,2.23,37565,184443,230967,,6711.0,,1457,1938,3376
2013-08-09,2,2013,,13972,4448,1672,22657,10400,1.61,1.61,,41592,50713,2013年04月01日至2013年06月30日,131405,154062,131369,153710,168402,4595,1054012,1317300,263288,263288,94886,7220,,,1.61,1.61,36953,131405,172997,,1715.0,,1525,36,352
2013-11-12,3,2013,,4277,2617,2653,-17759,-26382,1.55,1.55,,41100,55652,2013年07月01日至2013年09月30日,128473,110714,126255,109316,167052,2521,1266148,1534336,268188,268188,101136,9658,,,1.54,1.54,35826,128473,169573,,-4346.0,,2749,2218,1398
2014-03-21,4,2013,,23009,36554,12882,53582,36266,7.02,7.02,,173324,213617,2013年01月01日至2013年12月31日,579339,632921,572911,630283,710597,42066,4585880,5694779,1108899,1108899,398302,32200,,1347.0,7.0,7.0,152485,579339,752663,,7040.0,,7370,6428,2638
2014-05-03,1,2014,,16560,15183,4341,54171,45059,1.81,1.81,,44272,52362,2014年01月01日至2014年03月31日,150901,205072,147897,200821,177084,18089,1290317,1564275,273958,273958,96874,10432,,,1.81,1.81,34080,150901,195173,,7448.0,,1435,3004,4251
2014-08-13,2,2014,,-7019,-4204,1569,-30558,-29245,1.7,1.7,,74531,58476,2014年第2季,143400,112842,138953,104074,222173,-4242,1357958,1680190,322232,322232,100059,7566,,,1.7,1.7,34017,143400,217931,,-5706.0,,1607,4447,8768
2014-11-06,3,2014,,-7676,12605,5485,28522,43372,2.24,2.24,,52736,70516,2014年第3季,186294,214816,182461,209813,222700,16330,1414778,1752461,337683,337683,114983,9874,,,2.24,2.24,34593,186294,239030,,7174.0,,1760,3833,5003
2015-03-25,4,2014,,-1426,49112,14228,120851,145687,8.09,8.09,,221190,253210,2014年度,676493,797344,659721,781158,840972,56711,5467278,6765833,1298555,1298555,457583,36626,,1754.0,8.05,8.05,167747,676493,897683,,25164.0,,6629,16772,16186
2015-04-29,1,2015,,5703,-9946,10879,-16485,-26576,1.89,1.89,-16485.0,46175,62840,2015年01月01日至2015年03月31日,163903,147418,154564,138845,210532,-454,1394235,1716957,322722,322722,112190,9032,,,1.89,1.89,40318,163903,210078,,,-4388.0,1387,9339,8573
2015-08-07,2,2015,,-4387,-4172,4652,-36615,-38284,1.94,1.94,-36615.0,63288,62938,2015年第2季,166886,130271,158624,124668,230750,-576,1392035,1736867,344832,344832,114082,9113,,,1.94,1.94,42031,166886,230174,,,-6056.0,1056,8262,5603
2015-10-31,3,2015,,-8992,67898,5035,123391,158778,3.08,3.08,123391.0,78103,63912,2015年第3季,259137,382528,251192,371070,265385,71855,1404172,1785281,381109,381109,115724,9409,,,3.07,3.07,42403,259137,337240,,,26395.0,1078,7945,11458
2016-03-26,4,2015,233.0,-7676,62505,26032,66079,88557,9.42,9.42,65846.0,250732,249568,2015年度,801605,867684,768824,834786,968421,83916,5514093,6943871,1429778,1429778,461357,37791,280.0,,9.37,9.37,173998,801605,1052337,47.0,,15035.0,4621,32781,32898
2016-04-27,1,2016,,4386,-16592,4261,-50310,-64592,2.29,2.29,-50310.0,64507,52783,2016年01月01日至2016年03月31日,192160,141850,186511,142580,269482,-12815,1221413,1601714,380301,380301,110819,12460,,,2.28,2.28,45576,192160,256667,,,-9896.0,484,5649,-730
2016-08-05,2,2016,,-1754,6782,4686,5016,7977,2.96,2.96,5016.0,87975,59244,2016年第2季,246644,251660,241859,245997,323383,11236,1305270,1746101,440831,440831,117448,10489,,,2.96,2.96,47715,246644,334619,,,1207.0,232,4785,5663
2016-11-05,3,2016,,767,-32084,4609,-66851,-80896,2.76,2.76,-66851.0,80036,68987,2016年第3季,232806,165955,225368,161314,340987,-28145,1378041,1845830,467789,467789,126802,11995,,,2.76,2.76,45820,232806,312842,,,-13278.0,670,7438,4641
