date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,6769,77976,35170,42374,0.41,,24737,763302,2013年01月01日至2013年03月31日,80303,115473,82610,117780,45449,59591,1657320,3317348,1660028,1660028,1614579,100752,,,0.41,750525,80303,105040,7204.0,,25154,3317348.0,-2307,-2307
2013-08-12,2,2013,,-72327,53888,170149,204998,-0.75,,13321,651080,2013年04月01日至2013年06月30日,-152005,18144,-150122,20027,-97629,-41055,1667641,2924232,1256591,1256591,1354220,103180,,,-0.75,599960,-152005,-138684,34849.0,,22616,2924232.0,-1883,-1883
2013-11-11,3,2013,,-9171,46175,-52128,-30240,0.73,,67796,586523,2013年07月01日至2013年09月30日,148562,96434,146282,94154,193743,22615,2177477,3737448,1559971,1559971,1366228,89425,,,0.73,690280,148562,216358,21888.0,,14389,,2280,2280
2014-03-26,4,2013,,18911,278057,245417,326470,4.25,,65311,2795065,2013年01月01日至2013年12月31日,856940,1102357,856968,1102385,710892,211359,8473741,15071154,6597413,6597413,5886521,402869,,1777.0,4.25,2688587,856940,922251,82830.0,,85609,,-28,-28
2014-05-12,1,2014,,75635,65189,65242,78605,1.41,,63934,681085,2014年01月01日至2014年03月31日,284002,349244,283890,349132,226813,121123,2028261,3662531,1634270,1634270,1407457,66065,,,1.41,660307,284002,347936,13363.0,,19701,3662531.0,112,112
2014-08-11,2,2014,,-33937,118308,-140262,-168991,0.52,,28455,665399,2014年第2季,157941,17679,157945,17683,122389,64007,1848813,3447269,1598456,1598456,1476067,79473,,,0.52,731195,157941,186396,-28729.0,,20364,3447269.0,-4,-4
2014-11-11,3,2014,,-104847,41803,40592,48907,0.85,,52870,530417,2014年第3季,257308,297900,256899,297491,395833,-85655,2101699,4060000,1958301,1958301,1562468,94320,,,0.85,937731,257308,310178,8315.0,,22611,,409,409
2015-03-24,4,2014,,-169460,2194562,156589,188365,8.73,,639597,2919435,2014年度,2637645,2794234,2637700,2794289,1341628,1935614,8906290,16551036,7644746,7644746,6303118,392790,,297.0,8.72,2990893,2637645,3277242,32073.0,,89488,,-55,-55
2015-05-12,1,2015,,-173157,109268,-437809,-527480,-0.19,-437809.0,6211,768374,2015年01月01日至2015年03月31日,-58060,-495869,-58167,-495976,33342,-85191,1796979,3424578,1627599,1627599,1594257,90665,,,-0.19,735218,-58060,-51849,,-89671.0,21302,,107,107
2015-08-11,2,2015,,-48680,89587,-16072,-19364,-0.53,-16072.0,164094,700262,2015年第2季,-161732,-177804,-161821,-177893,-18697,21059,1977714,3478883,1501169,1501169,1519866,95477,,,-0.53,724127,-161732,2362,,-3292.0,19848,,89,89
2015-11-11,3,2015,,32001,122863,455841,549206,0.73,455841.0,48919,709797,2015年第3季,220763,676604,221472,677313,135465,134217,2379110,4234941,1855831,1855831,1720366,104320,,,0.73,906249,220763,269682,,93365.0,20647,,-709,-709
2016-03-18,4,2015,-13273.0,-176958,468593,-291566,-338012,1.85,-278293.0,304907,3081190,2015年度,564080,272514,563605,272039,660027,208960,9153723,16974930,7821207,7821207,7161180,445348,-13273.0,,1.85,3634642,564080,868987,,-59719.0,82675,,475,475
2016-05-12,1,2016,,19101,107844,-33050,-39819,-0.19,-33050.0,-16890,956796,2016年01月01日至2016年03月31日,-58572,-91622,-58916,-91966,-172034,96572,2472330,4412638,1940308,1940308,2112342,115886,,,-0.19,1039660,-58572,-75462,,-6769.0,30373,,344,344
2016-08-11,2,2016,,56606,98276,-158746,-191260,0.14,-158746.0,87857,760395,2016年第2季,44000,-114746,44000,-114746,6084,125773,2275264,4280071,2004807,2004807,1998723,110532,,,0.14,1127796,44000,131857,,-32514.0,29109,,0,0
2016-11-10,3,2016,,-14289,92292,-323582,-389858,0.54,-323582.0,26355,848935,2016年第3季,163389,-160193,163286,-160296,138184,51560,2904853,5129342,2224489,2224489,2086305,110648,,,0.54,1126722,163389,189744,,-66276.0,26443,,103,103
