date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,19740,-11522,1940,,22453,2713.0,-0.29,-0.29,,0.0,9959,2013年01月01日至2013年03月31日,-81335,-58882,-81334,-58881,-66709,-14626,1067374,1020692,-46682,-46682,20027,,,10068,-81335,-81335,,,,5044,-1,-1
2013-08-12,2,2013,,,-6014,-5013,1869,,-5430,584.0,-0.47,-0.47,,0.0,10651,2013年04月01日至2013年06月30日,-130877,-136307,-130878,-136308,-121910,-8967,1024943,925270,-99673,-99673,22237,,,11586,-130877,-130877,,,,5823,1,1
2013-11-08,3,2013,,,36949,24850,12604,,35452,-1497.0,-0.24,-0.24,,0.0,10657,2013年07月01日至2013年09月30日,-68617,-33165,-68619,-33167,-100496,31879,1085463,1006786,-78677,-78677,21819,,,11162,-68617,-68617,,,,5575,2,2
2014-03-25,4,2013,,,30766,19528,18149,,35042,2640.0,-1.19,-1.19,,5.0,44670,2013年01月01日至2013年12月31日,-334572,-299530,-334575,-299548,-350442,15875,4408889,4148699,-260190,-260190,90252,,1971.0,45582,-334572,-334567,,335.0,,21802,3,18
2014-05-09,1,2014,,,-10626,-8086,1563,,-8320,2306.0,-0.13,-0.13,,,13591,2014年01月01日至2014年03月31日,-37940,-46260,-37941,-46260,-25853,-12087,1092952,1091306,-1646,-1646,24207,,,10616,-37940,-37940,,,,5564,1,0
2014-08-11,2,2014,,,34978,24608,1667,,32809,-2169.0,0.33,0.33,,0.0,17365,2014年第2季,91687,124496,91687,124493,70931,20756,1358857,1459290,100433,100433,29502,,,12137,91687,91687,,,,5519,0,3
2014-11-12,3,2014,,,-2778,-5814,9911,-409.0,-1159,1619.0,-0.06,,,0.0,19097,2014年第3季,-15799,-16958,-15800,-16960,-15284,-515,1430195,1445159,14964,14964,29839,,,10742,-15799,-15799,,0.0,,4612,1,2
2015-03-06,4,2014,,,18031,-11884,14715,-1685.0,20797,1433.0,-0.3,-0.3,,-98.0,64898,2014年度,-85035,-64238,-85038,-64243,-66043,-19090,5104324,5147830,43506,43506,107864,,1606.0,42966,-85035,-85133,,273.0,,21921,3,5
2015-05-12,1,2015,,,-31458,14578,1433,-407.0,-31458,0.0,-0.19,-0.19,-31458.0,0.0,7268,2015年01月01日至2015年03月31日,-53734,-85192,-53734,-85189,-65867,12133,1097923,1048683,-49240,-49240,16220,,,8952,-53734,-53734,,,0.0,3878,0,-3
2015-08-12,2,2015,,,-19695,3467,1358,-435.0,-19695,0.0,-0.31,-0.31,-19695.0,0.0,6681,2015年第2季,-86513,-106208,-86512,-106205,-86621,108,921738,850419,-71319,-71319,14867,,,8186,-86513,-86513,,,,4717,-1,-3
2015-11-10,3,2015,,,-27938,-79764,4249,-408.0,-27938,0.0,-0.56,,-27938.0,0.0,3974,2015年第3季,-156280,-184218,-156277,-184212,-75016,-81264,630770,568060,-62710,-62710,11898,,,7924,-156280,-156280,,,0.0,5749,-3,-6
2016-08-10,4,2015,1992.0,0.0,-57429,-74661,7967,-1685.0,-55437,0.0,-1.45,,-57429.0,353.0,20790,2015年度,-408797,-464234,-408793,-464225,-319689,-88755,3190504,2926372,-264132,-264132,53872,2400.0,,33082,-408797,-408444,408.0,,0.0,22061,-4,-9
2016-08-10,1,2016,,,-5722,24255,1020,-407.0,-5722,,-0.11,-0.11,-5722.0,0.0,5179,2016年01月01日至2016年03月31日,-29818,-35540,-29818,-35540,-47422,17604,767030,734230,-32800,-32800,14215,,,9036,-29818,-29818,,,0.0,7671,0,0
2016-08-10,2,2016,,,-3723,-6973,6686,-435.0,-3723,,0.02,0.02,-3723.0,,4270,2016年第2季,7011,3288,7010,3288,14860,-7849,842149,870491,28342,28342,13047,,,8777,7011,7011,,,,7562,1,0
2016-11-08,3,2016,,,-3917,38406,3510,-408.0,-3917,0.0,0.19,,-3917.0,0.0,4138,2016年第3季,52127,48210,52126,48209,17229,34898,929554,960046,30492,30492,12855,,,8717,52127,52127,,,0.0,7018,1,1
