date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,1165,17912,4421,99650,98485,0.4,0.4,,34972,0.0,100562,2013年01月01日至2013年03月31日,153571,253221,152682,253129,168749,19794,2053025,2432726,379701,379701,210952,24036,,,0.4,0.4,86354,153571,188543,,,2539,889,92
2013-08-09,2,2013,,552,9192,6790,56625,56073,0.23,0.23,,9657,0.0,100543,2013年04月01日至2013年06月30日,89414,146039,89831,146150,84946,14125,1903384,2202762,299378,299378,214432,26410,,,0.23,0.23,87479,89414,99071,,,1857,-417,-111
2013-11-08,3,2013,,1174,-9852,12471,-37361,-38535,0.01,0.01,,2813,0.0,100926,2013年07月01日至2013年09月30日,7065,-30296,5337,-31061,9319,559,1755035,1967791,212756,212756,203437,21430,,,0.01,0.01,81081,7065,9878,,,2060,1728,765
2014-03-20,4,2013,,-12498,23935,35554,181859,176359,0.81,0.81,,71602,,407004,2013年01月01日至2013年12月31日,325468,507327,325038,506545,346214,50856,7346520,8534153,1187633,1187633,841419,96467,,21447.0,0.81,0.81,337948,325468,397070,,3449.0,8633,430,782
2014-05-09,1,2014,,-191,16553,7862,-9535,-9344,0.06,0.06,,4204,,92880,2014年01月01日至2014年03月31日,27050,17515,23907,14372,9681,21573,1559073,1761393,202320,202320,192639,22275,,,0.06,0.06,77484,27050,31254,,,2842,3143,3143
2014-08-07,2,2014,,-767,-11835,10556,-62683,-61916,0.04,0.04,,285,,105595,2014年第2季,21747,-40936,15020,-47644,25830,-3798,1853590,2084088,230498,230498,204668,21951,,,0.04,0.04,77122,21747,22032,,,2519,6727,6708
2014-11-10,3,2014,,-798,13493,11822,81689,82487,0.19,0.19,,37933,,102380,2014年第3季,89377,171066,79594,161426,104175,23135,1866847,2185532,318685,318685,214510,22637,,,0.19,0.19,89493,89377,127310,,,2180,9783,9640
2015-03-19,4,2014,,-1921,46067,45583,126597,123778,0.56,0.56,,77682,,419242,2014年度,257336,383933,230728,356844,252867,82151,7090332,8199173,1108841,1108841,855974,92324,,5492.0,0.56,0.56,344408,257336,335018,,752.0,9499,26608,27089
2015-05-08,1,2015,,1731,-10760,25724,-32432,-34163,0.54,0.54,-32432.0,46528,,102076,2015年01月01日至2015年03月31日,230463,198031,222090,189806,263852,13139,1651111,2130874,479763,479763,215911,19354,,,0.53,0.53,94481,230463,276991,,,1825,8373,8225
2015-08-10,2,2015,,-3351,-14163,17536,-51825,-48474,0.74,0.74,-51825.0,89163,,129520,2015年第2季,324938,273113,313790,262033,411659,2442,1930054,2607986,677932,677932,266273,20777,,,0.74,0.74,115976,324938,414101,,,931,11148,11080
2015-11-09,3,2015,,-7296,77817,11933,134224,141520,0.82,0.82,134224.0,138561,,120080,2015年第3季,358570,492794,347806,498513,408118,89013,1919897,2601254,681357,681357,273239,25215,,,0.82,0.82,127944,358570,497131,,,737,10764,-5719
2016-03-17,4,2015,-28556.0,-4621,56419,67136,-58651,-25474,2.72,2.72,-30095.0,346357,,472138,2015年度,1194261,1135610,1158746,1100929,1421153,119465,7213027,9665791,2452764,2452764,1031611,93304,-34405.0,,2.72,2.72,466169,1194261,1540618,-5849.0,,4090,35515,34681
2016-05-10,1,2016,,-17,-45408,9436,-30128,-30111,0.53,0.53,-30128.0,51241,,115009,2016年01月01日至2016年03月31日,231832,201704,223548,193420,319620,-36547,1654485,2251307,596822,596822,277202,22944,,,0.53,0.53,139249,231832,283073,,,575,8284,8284
2016-08-11,2,2016,,1428,15939,15609,-67918,-69346,0.63,0.63,-67918.0,58136,,105834,2016年第2季,289848,221930,281365,213447,316804,31180,1785895,2351756,565861,565861,249057,21114,,,0.63,0.63,122109,289848,347984,,,368,8483,8483
2016-11-10,3,2016,,-415,-53173,9804,-110588,-110173,0.25,0.25,-110588.0,33810,,106816,2016年第3季,119927,9339,111461,873,197740,-44003,1858952,2309020,450068,450068,252328,21212,,,0.25,0.25,124300,119927,153737,,,634,8466,8466
