date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-08-07,2,2013,,,19356,-757,20635,24860,1.28,1.28,,37410,43305,2013年04月01日至2013年06月30日,82917,103552,82917,103552,101822,18505,510186,718635,208449,208449,106627,8987,,,1.28,1.28,54335,82917,120327,,4225,,94
2013-11-08,3,2013,,,6890,1342,-2668,-3214,1.33,1.33,,26993,38454,2013年07月01日至2013年09月30日,86757,84089,86757,84089,106971,6779,600511,811902,211391,211391,104420,10818,,,1.33,1.33,55148,86757,113750,,-546,,1453
2014-03-18,4,2013,,,62250,2609,77504,71792,5.09,5.09,,123635,163026,2013年01月01日至2013年12月31日,333135,410639,333135,410639,396852,59918,2186128,3020479,834351,834351,437499,53909,,20985,5.09,5.09,220564,333135,456770,,15273,,4941
2014-04-29,1,2014,,,24235,759,14539,17516,1.78,1.78,,39003,44966,2014年01月01日至2014年03月31日,127688,142227,127688,142227,141697,24994,616973,881946,264973,264973,123276,20853,,,1.78,1.78,57457,127688,166691,,2977,,0
2014-08-06,2,2014,,,-5189,1355,-22859,-27540,1.39,1.39,,36754,43285,2014年第2季,99437,76578,99437,76578,140025,-3834,541712,809033,267321,267321,127296,22681,,,1.39,1.39,61330,99437,136191,,-4681,,0
2014-10-29,3,2014,,,16698,2772,4883,5883,1.90,1.90,,43355,47950,2014年第3季,136565,141448,136565,141448,160450,19470,692513,989613,297100,297100,136650,23200,,,1.90,1.90,65500,136565,179920,,1000,,0
2015-05-04,1,2015,,-16000,21919,2120,-63828,-57624,1.96,1.96,-63828,39279,51284,2015年01月01日至2015年03月31日,140323,76495,140323,76495,155630,23972,654609,940162,285553,285553,129923,23343,,,1.96,1.96,55296,140323,179602,,,-9796,67
2015-08-06,2,2015,,-2000,29501,2978,-10418,-10142,1.57,1.57,-10418,54774,46564,2015年第2季,113043,102625,113043,102625,135587,32230,634073,901856,267783,267783,132196,28783,,,1.53,1.53,56849,113043,167817,,,-1724,249
2015-11-09,3,2015,,-7000,40677,4233,47033,65100,2.70,2.70,47033,58476,49302,2015年第3季,194344,241377,194344,241377,210477,42343,748184,1099670,351486,351486,141009,27749,,,2.69,2.69,63958,194344,252820,,,11067,2567
2016-03-14,4,2015,-3475,-22000,110821,12304,-64356,-46845,8.55,8.55,-60881,204057,190467,2015年度,620043,555687,620043,555687,704555,119545,2697479,3944842,1247363,1247363,542808,116364,-4187,,8.44,8.44,235977,620043,824100,-712,,-7964,3580
2016-08-05,2,2016,,-1000,20767,2005,-43691,-51435,2.29,2.29,-43691,72068,45747,2016年第2季,173209,129518,173209,129518,222759,22518,777523,1130310,352787,352787,130028,22455,,,2.29,2.29,61826,173209,245277,,,-8744,254
2016-11-04,3,2016,,89754,-14289,3549,21931,-81714,2.17,2.17,21931,58597,50486,2016年第3季,164214,186145,164214,186145,233693,-10882,772404,1142159,369755,369755,136062,30656,,,2.17,2.17,54920,164214,222811,,,-13891,142
