date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,-151356,-866,3474,-148366,2990,-0.24,,24.0,-28044,9506,2013年01月01日至2013年03月31日,-145266,-293632,-145266,-293632,-119806,-25436,85920,111733,25813,25813,145619,97807,,,-0.24,38306,-145266,-145242,0.0,0.0
2013-08-05,2,2013,,1046840,52266,3817,1050696,3856,-0.11,,0.0,-29837,6088,2013年04月01日至2013年06月30日,-67965,982731,-67965,982731,-94211,26246,104992,116220,11228,11228,105439,71270,,,-0.11,28081,-67965,-67965,0.0,0.0
2013-11-12,3,2013,,-581722,-380,134632,-581968,-246,0.06,,117.0,-26770,5750,2013年07月01日至2013年09月30日,34188,-547780,34188,-547780,-73177,107482,98152,127534,29382,29382,102559,69214,,,0.06,27595,34188,34305,0.0,0.0
2014-03-10,4,2013,,215889,35587,179226,229332,7311,-0.47,,9950.0,-110285,26529,2013年01月01日至2013年12月31日,-286116,-56784,-286116,-56784,-380694,104528,393480,450746,57266,57266,437960,297341,,6132.0,-0.47,114090,-286116,-276166,0.0,0.0
2014-04-29,1,2014,,222527,802,4517,222684,157,-0.14,,0.0,-20988,5404,2014年01月01日至2014年03月31日,-85273,137411,-85273,137411,-69604,-15669,59799,77755,17956,17956,87560,59415,,,-0.14,22741,-85273,-85273,0.0,0.0
2014-08-06,2,2014,,558193,100410,3933,557782,-411,-0.05,,0.0,-37941,66285,2014年第2季,-33101,524681,-33101,524681,-99503,66402,115549,167407,51858,51858,151361,63631,,,-0.05,21445,-33101,-33101,0.0,0.0
2014-11-07,3,2014,,-741143,817,163373,-741180,-37,0.13,,0.0,-31744,7811,2014年第3季,78566,-662614,78566,-662614,-53880,132446,70391,116223,45832,45832,99712,68155,,,0.13,23746,78566,78566,,
2015-03-25,4,2014,,717645,98546,183152,719286,236,-0.19,,2274.0,-110535,85403,2014年度,-117283,602003,-117283,602003,-286172,171163,285159,432323,147164,147164,433336,256962,,1405.0,-0.19,90971,-117283,-115009,0.0,0.0
2015-05-06,1,2015,,236535,-103,6167,235994,-541,-0.09,235994.0,,3424,3188,2015年01月01日至2015年03月31日,-55047,180947,-55047,180947,-64535,9488,28998,49643,20645,20645,85180,64020,,,-0.09,17972,-55047,-55047,0.0,0.0
2015-08-05,2,2015,,-772682,-264,4251,-773154,-472,-0.12,-773154.0,,-18405,4916,2015年第2季,-72667,-845821,-72667,-845821,-58249,-14418,25968,62445,36477,36477,94726,67239,,,-0.12,22571,-72667,-72667,,
2015-11-04,3,2015,,-709605,2529,179680,-708231,1374,0.17,-708231.0,,6129,4819,2015年第3季,102462,-605769,102462,-605769,-85876,188338,34948,53590,18642,18642,104518,74613,,,0.17,25086,102462,102462,,
2016-03-18,4,2015,-4943.0,-833856,-48681,197396,-839922,-1123,0.02,-834979.0,50000.0,215350,16155,2015年度,10263,-829659,10263,-829659,-303802,364065,138864,227138,88274,88274,392076,285586,-4943.0,,0.02,90335,10263,60263,0.0,0.0
2016-05-04,1,2016,,369784,-308,19322,369635,-149,-0.09,369635.0,,-676,9361,2016年01月01日至2016年03月31日,-52575,317060,-52575,317060,-70913,18338,20830,45643,24813,24813,95726,65293,,,-0.09,21072,-52575,-52575,0.0,0.0
2016-08-05,2,2016,,-246884,-288,5086,-247739,-855,-0.12,-247739.0,121.0,-6259,8723,2016年第2季,-74065,-321804,-74065,-321804,-72483,-1461,21749,47807,26058,26058,98541,64996,,,-0.12,24822,-74065,-73944,,
2016-11-08,3,2016,,-332017,-1321,190280,-332121,-104,0.17,-332121.0,7.0,-6857,7603,2016年第3季,94714,-237407,94714,-237407,-87381,182102,17984,33990,16006,16006,103387,72854,,,0.17,22930,94714,94721,,
