date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,-5841,44095,79741,1939,288255,293465,1.46,,,85000,631.0,22689,,401003,2013年01月01日至2013年03月31日,730563,1018818,730588,1018843,674177,141386,3718502,6743689,3025187,3025187,2352949,1540973,,1.44,,410973,730563,815563,5139,-25,-25
2013-08-12,2,2013,79733,55356,114491,1757,188967,109449,1.56,1.56,,73089,-215.0,28253,,406211,2013年04月01日至2013年06月30日,778592,967559,778592,967559,662949,188732,3974478,6956161,2981683,2981683,2320491,1614515,,1.54,1.54,299765,778592,851681,9368,0,0
2013-11-12,3,2013,-49029,-7286,147139,1241,-236631,-187382,1.64,1.64,,31084,-220.0,21951,,392341,2013年07月01日至2013年09月30日,827206,590575,827207,590576,708534,149756,4142512,7176916,3034404,3034404,2327111,1632896,,1.63,1.63,301874,827206,858290,12048,-1,-1
2014-03-25,4,2013,33879,208295,489498,6526,408717,373687,6.02,6.02,,222203,1151.0,90117,,1641999,2013年01月01日至2013年12月31日,3035329,3444046,3035427,3444144,2511069,746463,16008088,28180010,12171922,12171922,9667379,6659885,0.0,5.88,5.88,1365495,3035329,3257532,41447,-98,-98
2014-05-05,1,2014,55281,20451,147791,1656,317522,260694,1.62,1.62,,91725,1547.0,-18340,,416992,2014年01月01日至2014年03月31日,820013,1137535,820022,1137544,789669,122069,4112823,7325508,3212685,3212685,2424672,1736850,,1.59,1.59,270830,820013,911738,27833,-9,-9
2014-08-08,2,2014,81420,47250,175094,1831,-262133,-344112,2.01,2.01,,118314,559.0,22446,,439247,2014年第2季,1013555,751422,1013649,751516,904280,227589,4450786,8075002,3624216,3624216,2721767,1999629,0.0,1.97,1.97,282891,1013555,1131869,17201,-94,-94
2014-11-11,3,2014,-59281,779823,227862,1626,309851,369493,2.98,2.98,,183506,-361.0,-1126,,492478,2014年第3季,1503962,1813813,1503985,1813836,700626,986842,4686633,8300440,3613807,3613807,2914807,2080511,0.0,2.93,2.93,341818,1503962,1687468,19717,-23,-23
2015-03-16,4,2014,52315,836860,725212,6834,1216490,1162734,7.71,7.71,,393791,1441.0,-5284,,1805815,2014年度,3892351,5108841,3892502,5108992,2817465,1468677,17611437,31263298,13651861,13651861,10841230,7857955,,7.46,7.46,1177460,3892351,4286142,88111,-151,-151
2015-04-27,1,2015,15246,307,207203,1753,-242569,-258009,1.47,1.47,-242569.0,64698,,-7162,194.0,385944,2015年01月01日至2015年03月31日,741110,498541,741195,498626,634198,171610,4158585,7446052,3287467,3287467,2655022,1988304,,1.43,1.43,280774,741110,805808,28738,-85,-85
2015-07-31,2,2015,24096,-18666,190062,1728,-222542,-247439,0.72,0.72,-222542.0,33423,,-6904,801.0,379198,2015年第2季,364871,142329,364896,142354,264625,133669,4167059,7148073,2981014,2981014,2718117,2013505,,0.7,0.7,325414,364871,398294,30823,-25,-25
2015-11-09,3,2015,-68291,206102,229643,1769,1269963,1341954,1.19,1.19,1269963.0,33326,,-5214,-3700.0,426036,2015年第3季,599903,1869866,599924,1869887,232213,401016,4583276,7911458,3328182,3328182,3097738,2323046,,1.13,1.13,348656,599903,633229,29515,-21,-21
2016-03-18,4,2015,85973,107619,839519,7076,785560,701306,4.81,4.81,785560.0,194861,,-21209,-1719.0,1647352,2015年度,2427873,3213433,2427999,3213559,1820105,802629,18155444,31745809,13590365,13590365,11777336,8901884,,4.6,4.6,1228100,2427873,2622734,123300,-126,-126
2016-04-25,1,2016,-9675,-318869,172423,1833,-419341,-409501,1.17,1.17,-419341.0,50138,,-6500,-165.0,431151,2016年01月01日至2016年03月31日,590892,171551,590908,171567,824468,-183438,5036626,8987184,3950558,3950558,3127923,2479318,,1.15,1.15,217454,590892,641030,30492,-16,-16
2016-07-29,2,2016,-40126,-115328,197382,1554,-81735,-41158,2.02,2.02,-81735.0,93198,,-11629,-451.0,504531,2016年第2季,1017762,936027,1017772,936037,1080423,30537,5452358,9846807,4394449,4394449,3315580,2579521,,1.98,1.98,231528,1017762,1110960,39888,-10,-10
2016-10-28,3,2016,24954,-333006,215799,1800,-597044,-622198,1.48,1.48,-597044.0,64267,,-8744,200.0,475085,2016年第3季,748968,151924,748984,151940,976206,-162971,5981487,10279361,4297874,4297874,3323468,2633775,,1.47,1.47,214608,748968,813235,37020,-16,-16
