date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-09,1,2013,,-221,17428,8109,30148,30369,0.59,0.59,,10401,-1081,35716,2013年01月01日至2013年03月31日,51461,81609,51461,81609,39464,22398,910051,1048303,138252,138252,98788,5550,,,0.59,0.59,57522,51461,61862,,,,2058
2013-08-09,2,2013,,-112,-5634,4974,14081,14193,0.21,0.21,,25679,-2913,41466,2013年04月01日至2013年06月30日,18151,32232,18151,32232,49421,-5591,933186,1082284,149098,149098,99677,4901,,,0.21,0.21,53310,18151,43830,,,,2018
2013-11-08,3,2013,,1212,-10639,6708,-10934,-12146,0.74,0.74,,19028,179,38498,2013年07月01日至2013年09月30日,64491,53557,64491,53557,89556,-6037,987777,1179747,191970,191970,102414,6629,,,0.65,0.65,57287,64491,83519,,,,2285
2014-03-25,4,2013,,829,4944,40952,54333,60039,2.21,2.21,,82673,-2911,180116,2013年01月01日至2013年12月31日,192528,246861,192528,246861,241517,33684,3841221,4521609,680388,680388,438871,28248,,4423.0,1.91,1.91,230507,192528,275201,,10958.0,,9301
2014-04-30,1,2014,,-704,41010,14127,13826,17506,0.74,0.74,,12641,-509,40768,2014年01月01日至2014年03月31日,67097,80923,67097,80923,27887,51851,825578,953195,127617,127617,99730,6888,,,0.63,0.63,52074,67097,79738,,2976.0,,2777
2014-08-13,2,2014,,-158,-13615,4995,-25113,-30066,0.08,0.08,,7702,-695,43931,2014年第2季,8060,-17053,8060,-17053,26849,-11087,1022215,1142929,120714,120714,93865,4074,,0.0,0.08,0.08,45860,8060,15762,,-5111.0,,1772
2014-11-07,3,2014,,-333,9409,7192,24991,30511,0.56,0.56,,19517,-270,43728,2014年第3季,56037,81028,56037,81028,60461,15093,1062957,1223260,160303,160303,99842,5807,,0.0,0.55,0.55,50307,56037,75554,,5187.0,,1238
2015-03-13,4,2014,,812,60839,31944,69070,81423,1.48,1.48,,46997,-2763,168956,2014年度,151029,220099,151029,220099,115059,82967,3982284,4496149,513865,513865,398806,20316,,816.0,1.34,1.34,209534,151029,198026,,13981.0,,7053
2015-05-12,1,2015,,-629,1670,12781,-16810,-19495,0.33,0.33,-16810.0,8220,-436,41520,2015年01月01日至2015年03月31日,34493,17683,34493,17683,30324,12389,890510,1006173,115663,115663,85339,6216,,,0.32,0.32,37603,34493,42713,,,-3314.0,1626
2015-08-14,2,2015,,-667,-16017,3826,-16243,-18767,0.02,0.02,-16243.0,16001,909,43100,2015年第2季,2546,-13697,2546,-13697,31326,-12779,917645,1034833,117188,117188,85862,2309,,,0.02,0.02,40453,2546,18547,,,-3191.0,1497
2015-11-12,3,2015,,-396,70998,7419,49460,60068,0.82,0.82,49460.0,19178,2346,39394,2015年第3季,86254,135714,86254,135714,27344,78088,926645,1051333,124688,124688,97344,4321,,,0.81,0.81,53629,86254,105432,,,10212.0,2675
2016-03-08,4,2015,98.0,-2033,63021,31849,-11912,-12021,1.67,1.67,-12010.0,53664,2962,164626,2015年度,176238,164326,176238,164326,140053,89849,3671075,4169757,498682,498682,358629,16896,118.0,,1.64,1.64,177107,176238,229902,20.0,,-2044.0,7983
2016-05-13,1,2016,,-380,-20884,12082,-21648,-25623,0.01,0.01,-21648.0,427,63,36691,2016年01月01日至2016年03月31日,710,-20938,710,-20938,12206,-11069,769464,862505,93041,93041,80835,7312,,,0.01,0.01,36832,710,1137,,,-4355.0,2330
2016-08-12,2,2016,0.0,-208,-1568,5372,-24108,-28797,0.15,0.15,-24108.0,19779,-888,40848,2016年第2季,17114,-6994,17114,-6994,35775,1118,870140,993999,123859,123859,88084,4466,0.0,,0.15,0.15,42770,17114,36893,0.0,,-4897.0,1798
2016-11-02,3,2016,,704,-26041,9271,-40873,-50093,0.28,0.28,-40873.0,10834,1796,43050,2016年第3季,39838,-1035,39838,-1035,66947,-16275,1031757,1190618,158861,158861,91914,4771,,,0.28,0.28,44093,39838,50672,,,-8516.0,1301
