date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,73099,19213,47890,53165.0,0.51,,40722,55712,2013年01月01日至2013年03月31日,96659,144549,77967,103720,54340,83041,1025357,1232224,206867,206867,152527,19366,,,0.51,77449,96659,,137381,,5275.0,,9271,1025357,1232224,18692,40829
2013-08-12,2,2013,,53906,2162,38313,42900.0,0.62,,66336,70303,2013年04月01日至2013年06月30日,115763,154076,94783,117182,132044,50055,1253430,1559269,305839,305839,173795,19553,,,0.62,83939,115763,0.62,182099,,4587.0,,6013,1253430,1559269,20980,36894
2013-11-08,3,2013,,-75775,13077,-23721,-31461.0,0.48,,3143,70386,2013年07月01日至2013年09月30日,49024,25303,74009,62078,124193,-72026,1160312,1453335,293023,293023,168830,23124,,,0.48,75320,49024,0.48,52167,,-7740.0,,9328,1160312,1453335,-24985,-36775
2014-03-20,4,2013,,126540,44539,104171,101841.0,2.42,,148775,268825,2013年01月01日至2013年12月31日,415396,519567,371426,434034,423362,140809,4599702,5710586,1110884,1110884,687522,86828,,6617.0,2.41,331869,415396,2.42,564171,,4287.0,,30270,4599702,5710586,43970,85533
2014-05-06,1,2014,,-2915,23370,-8568,-8751.0,0.71,,35575,62600,2014年01月01日至2014年03月31日,109557,100989,109986,104201,131213,13919,1065470,1365448,299978,299978,168765,18946,,,0.71,87219,109557,,145132,,-183.0,,6536,1065470,1365448,-429,-3212
2014-08-07,2,2014,,-15784,8915,-40985,-42084.0,0.89,,42580,69641,2014年第2季,161400,120415,137114,111144,220419,-16439,1211491,1606324,394833,394833,174414,18841,,,0.89,85932,161400,0.89,203980,,-1099.0,,9570,1211491,1606324,24286,9271
2014-11-10,3,2014,,77831,10018,60895,62414.0,1.06,,62912,75137,2014年第3季,205468,266363,163742,203195,189648,78732,1230520,1603741,373221,373221,183573,21460,,,1.06,86976,205468,1.06,268380,,1519.0,,9117,1230520,1603741,41726,63168
2015-03-19,4,2014,,136362,71405,89380,92847.0,3.6,,203449,281806,2014年度,640907,730287,555045,613892,671942,172414,4673639,6071950,1398311,1398311,726369,80214,,-1470.0,3.59,364349,640907,3.6,844356,,1997.0,,35353,4673639,6071950,85862,116395
2015-05-05,1,2015,,-15331,12959,-23969,-24526.0,0.58,-23969.0,40455,72078,2015年01月01日至2015年03月31日,101054,77085,90161,74520,152247,-10738,1106360,1443030,336670,336670,184423,20418,,,0.58,91927,101054,,141509,,,-557.0,8366,1106360,1443030,10893,2565
2015-08-10,2,2015,-41865.0,-28436,19401,-40851,,0.47,1014.0,47268,67951,2015年第2季,88494,47643,72293,45701,154811,-19049,1177709,1512878,335169,335169,180358,21302,,,0.47,91105,88494,0.47,135762,41865.0,,-1014.0,10014,1177709,1512878,16201,1942
2015-11-11,3,2015,,85514,25531,129368,131755.0,1.2,129368.0,44553,70697,2015年第3季,204282,333650,168813,244120,148022,100813,1078542,1418880,340338,340338,192316,20884,,,1.19,100735,204282,1.2,248835,,,2387.0,10232,1078542,1418880,35469,89530
2016-03-21,4,2015,-5024.0,-13813,73209,-64710,-61651.0,2.83,-59686.0,168335,279677,2015年度,477499,412789,408525,362932,624774,21060,4417168,5802398,1385230,1385230,760456,84715,-6052.0,,2.82,396064,477499,2.83,645834,-1028.0,,-1965.0,38336,4417168,5802398,68974,49857
2016-05-11,1,2016,,40514,12137,-19573,-20096.0,1.16,-19573.0,31863,70292,2016年01月01日至2016年03月31日,170270,150697,149550,138974,158852,43281,1056518,1407346,350828,350828,191976,20013,,,1.16,101671,170270,,202133,,,-523.0,9370,1056518,1407346,20720,11723
2016-08-10,2,2016,,-62371,10899,-93810,-95936.0,0.56,-93810.0,40618,70967,2016年第2季,85372,-8438,72563,19861,186368,-60378,1156194,1530369,374175,374175,187807,24303,,,0.56,92537,85372,0.56,125990,,,-2126.0,8906,1156194,1530369,12809,-28299
2016-11-09,3,2016,,-62398,18018,-121722,-124512.0,0.64,-121722.0,41274,74271,2016年第3季,113389,-8333,83012,14176,206285,-51622,1154243,1549218,394975,394975,188690,22567,,,0.64,91852,113389,0.64,154663,,,-2790.0,7242,1154243,1549218,30377,-22509
