date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,5706,8106,1066,,14544,,8838,-0.14,,12590,10260,136875,2013年01月01日至2013年03月31日,-50915,-36371,-54131,-42088,-7148,-31177,328363,608916,280553,280553,287701,,,,150826,-50915,-38325,,50609,3216,5717
2013-08-13,2,2013,,-5281,119181,3996,,26217,3996.0,31498,0.41,,49133,19354,188563,2013年04月01日至2013年06月30日,200669,226886,156263,184420,158182,91620,975905,1522451,546546,546546,388364,,,,199801,200669,249802,,50911,44406,42466
2013-11-13,3,2013,,4059,35781,4308,,43147,4308.0,39088,-0.05,,859,7595,78622,2013年07月01日至2013年09月30日,-26591,16556,-17739,23616,-23820,-1912,268072,483724,215652,215652,239472,,,0.0,160850,-26591,-25732,,49596,-8852,-7060
2014-03-28,4,2013,,3664,1062800,11839,,83361,11839.0,86657,1.76,,105251,53930,556295,2013年01月01日至2013年12月31日,721762,805123,674180,759116,-63995,891008,1996702,3357187,1360485,1360485,1424480,,-6960.0,1.75,868185,721762,827013,,237561,47582,46007
2014-05-05,1,2014,,3623,7087,1785,,-9748,1785.0,-13371,0.04,,5429,20878,64370,2014年01月01日至2014年03月31日,19806,10058,16246,7915,43856,-18621,231768,481846,250078,250078,206222,,,0.04,141852,19806,25235,,48371,3560,2143
2014-08-08,2,2014,,-2292,-3538,3119,,-19226,3119.0,-16934,-0.25,,79772,29544,81937,2014年第2季,-85453,-104679,-90769,-109475,12412,-18093,398657,641741,243084,243084,230672,,,-0.25,148735,-85453,-5681,,47218,5316,4796
2014-11-12,3,2014,,-1250,131304,2578,0.0,19191,2578.0,20441,0.83,,66576,13087,140396,2014年第3季,362217,381408,306072,325628,332281,96512,809605,1457063,647458,647458,315177,,,0.82,174781,362217,428793,,50457,56145,55780
2015-03-26,4,2014,,-2963,152016,10758,-21037.0,54011,10758.0,49118,0.88,,203899,86930,432570,2014年度,400279,454290,325464,376162,550741,53437,2196631,3875117,1678486,1678486,1106708,,7856.0,0.87,674138,400279,604178,,196267,74815,78128
2015-05-13,1,2015,,6943,12283,1721,,50644,1721.0,43701,0.31,50644.0,12410,11011,95188,2015年01月01日至2015年03月31日,122302,172946,113561,162553,154479,-19767,351672,745246,393574,393574,239095,,,0.31,143907,122302,134712,,44782,8741,10393
2015-08-10,2,2015,,-1238,18995,3135,,23279,3135.0,24517,0.04,23279.0,30742,42892,76255,2015年第2季,28189,51468,16318,39891,37944,20987,199787,445804,246017,246017,208073,,,0.04,131818,28189,58931,,44035,11871,11577
2015-11-11,3,2015,,-4785,98224,1866,0.0,111279,1866.0,116064,0.05,111279.0,18865,22913,70098,2015年第3季,62943,174222,18691,131105,-876,82684,130463,344226,213763,213763,214639,,,0.05,144541,62943,81808,,40319,44252,43117
2016-03-25,4,2015,-7085.0,-1982,179767,9414,0.0,133170,9414.0,142237,0.32,140255.0,72809,86428,357128,2015年度,196756,329926,116767,255004,169409,100156,939619,2087067,1147448,1147448,978039,-7085.0,,0.32,620911,196756,269565,0.0,175453,79989,74922
2016-05-04,1,2016,,16350,21340,1200,2687.0,-34418,1200.0,-50768,0.05,-34418.0,15752,21101,75519,2016年01月01日至2016年03月31日,34987,569,19276,-18424,44621,6118,105552,350435,244883,244883,202949,,,0.05,127430,34987,50739,,37523,15711,18993
2016-08-04,2,2016,,3283,2868,2409,0.0,4803,2409.0,1520,0.18,4803.0,54836,7839,98662,2016年第2季,85257,90060,66228,68547,165275,-25182,203179,629217,426038,426038,260763,,,0.18,162101,85257,140093,,38298,19029,21513
2016-11-02,3,2016,,18414,135114,1646,0.0,17537,1646.0,-877,0.42,17537.0,25514,15547,64079,2016年第3季,159881,177418,150944,164113,70139,115256,234632,526073,291441,291441,221302,,,0.42,157223,159881,185395,,37051,8937,13305
