date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,6145,45775,,212,212,-0.32,,,8050,126799,2013年01月01日至2013年03月31日,-257466,-257254,-258136,-257924,-78664,-170752,136256,449618,313362,313362,392026,,,,,,265227,-257466,-249416,222672,670,670
2013-08-13,2,2013,,-7285,65331,,377,377,-0.41,,,14956,158848,2013年04月01日至2013年06月30日,-334592,-334215,-334918,-334541,-135056,-184580,145000,442517,297517,297517,432573,,,,,,273725,-334592,-319636,242626,326,326
2013-11-08,3,2013,,3220,49716,,-437,-437,10.34,10.34,,13138,138621,2013年07月01日至2013年09月30日,8732455,8732018,8730495,8730058,8879530,-133937,14061428,23372420,9310992,9310992,431462,,,,9.65,9.65,292841,8732455,8745593,186873,1960,1960
2014-03-24,4,2013,,-26900,225088,,-678,733,12.01,12.01,,85342,620030,2013年01月01日至2013年12月31日,10146954,10146276,10139438,10138760,10782649,-550353,17832896,30391438,12558542,12558542,1775893,,,-1411.0,11.24,11.24,1155863,10146954,10232296,748541,7516,7516
2014-05-13,1,2014,,-730,45643,,-108,-108,-0.05,-0.05,,24130,98898,2014年01月01日至2014年03月31日,-36057,-36165,-39986,-40094,30886,-42813,313808,735629,421821,421821,390935,,,,,,292037,-36057,-11927,87726,3929,3929
2014-08-11,2,2014,,-9234,59677,,-484,-484,-0.18,-0.18,,46811,201850,2014年第2季,-154932,-155416,-158000,-158484,-69812,-38309,477345,820016,342671,342671,412483,,,,,,210633,-154932,-108121,88752,3068,3068
2014-11-12,3,2014,,-9895,47554,,653,653,-0.13,,,51028,159568,2014年第3季,-107417,-106764,-110899,-110246,6193,-62582,566061,964258,398197,398197,392004,249.0,,,0.0,,232187,-107417,-56389,100241,3482,3482
2015-03-24,4,2014,,-27928,167946,,-490,960,-0.48,,,184994,611505,2014年度,-411424,-411914,-425307,-425797,9529,-235959,2007732,3785421,1777689,1777689,1768160,928.0,,-1450.0,0.0,,1155727,-411424,-226430,375977,13883,13883
2015-05-13,1,2015,,-1862,56671,,-324,-324,-0.1,,-324.0,30115,138352,2015年01月01日至2015年03月31日,-89458,-89782,-90838,-91162,-11882,-47461,507084,928682,421598,421598,433480,545.0,,,,,294583,-89458,-59343,102270,1380,1380
2015-08-13,2,2015,,-2135,63966,,-378,-378,-0.2,,-378.0,24555,181443,2015年第2季,-173939,-174317,-175968,-176346,-87951,-61433,510296,895039,384743,384743,472694,493.0,,,,,290758,-173939,-149384,123264,2029,2029
2015-11-12,3,2015,,-22370,49488,,994,994,-0.82,,994.0,29176,388655,2015年第3季,-728449,-727455,-730834,-729840,-601912,-97361,558930,948530,389600,389600,991512,534.0,,,,,602323,-728449,-699273,124479,2385,2385
2016-03-25,4,2015,-968.0,-82153,266684,,-1510,-542,-1.54,,-542.0,128094,976367,2015年度,-1365291,-1366801,-1375709,-1377219,-940125,-297072,1978620,3586213,1607593,1607593,2547718,2148.0,-968.0,,,,1569203,-1365291,-1237197,481603,10418,10418
2016-05-11,1,2016,,-33778,74764,,-78,-78,-0.28,,-78.0,23585,221156,2016年01月01日至2016年03月31日,-245645,-245723,-248612,-248690,-130357,-91703,284855,714866,430011,430011,560368,514.0,,,,,338698,-245645,-222060,132689,2967,2967
2016-08-08,2,2016,,377,420509,-3350884.0,-515,-515,-3.7,,-515.0,24699,244597,2016年第2季,-3304836,-3305351,-3308950,-3309465,-3570914,290777,376016,777951,401935,401935,621965,841.0,,,,,376527,-3304836,-3280137,130109,4114,4114
2016-11-11,3,2016,,-1589,66133,-516192.0,-607,-607,-0.99,,-607.0,24442,243021,2016年第3季,-883950,-884557,-888841,-889448,-782887,-76621,447727,825983,378256,378256,644951,1078.0,,,,,400852,-883950,-859508,141165,4891,4891
