date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,748.0,1162,36412,43759,51821,11.32,11.32,,49253,672,12949,2013年01月01日至2013年03月31日,3129806,3173565,3132486,3167643,3151177,27882,4914798,8214878,3300080,3300080,148903,,,11.27,11.27,135954,3129806,3179059,,8810.0,,10364,-2680,5922
2013-08-07,2,2013,,-620.0,3958,4709,25414,31365,-0.4,-0.4,,26600,50,8856,2013年04月01日至2013年06月30日,-111996,-86582,-109567,-89360,-85327,-69,141558,205645,64087,64087,149414,,,-0.4,-0.4,140558,-111996,-85396,,5331.0,,8786,-2429,2778
2013-11-06,3,2013,,-69.0,-2080,9572,-17240,-20687,-0.31,-0.31,,-264,177,75536,2013年07月01日至2013年09月30日,-86901,-104141,-84775,-98581,-82456,-4709,71331,108277,36946,36946,119402,,,-0.31,-0.31,43866,-86901,-87165,,-3516.0,,12378,-2126,-5560
2014-03-12,4,2013,,-512.0,12406,101857,90495,102979,11.08,11.08,,194357,4205,239466,2013年01月01日至2013年12月31日,3130838,3221333,3065541,3135440,3254703,70492,6370890,10269414,3898524,3898524,643821,,2395.0,11.04,11.04,404355,3130838,3325195,,14367.0,,47976,65297,85893
2014-04-30,1,2014,,778.0,11485,3181,-8867,-11163,-0.29,-0.29,,25935,-1,42435,2014年01月01日至2014年03月31日,-64170,-73037,-79678,-86313,-31290,-6945,275129,392832,117703,117703,148993,,,-0.29,-0.29,106558,-64170,-38235,,-1518.0,,21610,15508,13276
2014-08-06,2,2014,,1843.0,4781,7088,-34110,-41613,-0.95,-0.95,,160078,-299,84227,2014年第2季,-249307,-283417,-262045,-287832,-80860,-8369,240343,328757,88414,88414,169274,,,-0.95,-0.95,85047,-249307,-89229,,-5660.0,,19939,12738,4415
2014-11-05,3,2014,,-996.0,-9455,9158,50018,59044,0.51,0.51,,26096,917,57501,2014年第3季,143376,193394,139934,178143,181709,-12237,380368,711728,331360,331360,149651,,,0.51,0.51,92150,143376,169472,,8030.0,,12857,3442,15251
2015-03-11,4,2014,,1625.0,11548,78101,54265,61373,5.08,5.08,,275547,1913,272366,2014年度,1438939,1493204,1406208,1448198,1696197,18289,4066682,6441828,2375146,2375146,678949,,-1665.0,5.06,5.06,406583,1438939,1714486,,7068.0,,73273,32731,45006
2015-05-06,1,2015,,0.0,5680,7373,-14722,-17040,4.22,4.22,-14722.0,34356,382,47047,2015年01月01日至2015年03月31日,1169817,1155095,1167052,1155738,1203225,948,1221630,2585117,1363487,1363487,160262,,,4.2,4.2,113215,1169817,1204173,,,-2318.0,12487,2765,-643
2015-08-05,2,2015,,0.0,1328,16618,-21879,-25322,2.6,2.6,-21879.0,20792,747,44371,2015年第2季,719666,697787,718243,701428,737560,2898,798187,1690567,892380,892380,154820,,,2.59,2.59,110449,719666,740458,,,-3443.0,15795,1423,-3641
2015-11-05,3,2015,,0.0,20794,33028,63349,73320,1.3,1.3,63349.0,10632,973,32884,2015年第3季,363598,426947,360384,409070,331008,43222,618478,1087118,468640,468640,137632,,,1.3,1.3,104748,363598,374230,,,9971.0,11573,3214,17877
2016-03-09,4,2015,-3832.0,0.0,21390,90699,-41501,-43598,9.59,9.59,-37669.0,118731,497,227691,2015年度,2662058,2620557,2651634,2618852,2722596,58193,4155130,7546149,3391019,3391019,668423,-4481.0,,9.53,9.53,440732,2662058,2780789,-649.0,,-5929.0,54393,10424,1705
2016-05-04,1,2016,-705.0,,-1390,16935,2650,3883,-0.13,-0.13,3355.0,23416,-488,23030,2016年01月01日至2016年03月31日,-35078,-32428,-36820,-24100,-15430,3768,174311,252661,78350,78350,93780,-705.0,,-0.13,-0.13,70750,-35078,-11662,,,528.0,11289,1742,-8328
2016-08-03,2,2016,0.0,0.0,-30322,13829,-35504,-41092,-0.16,-0.16,-35504.0,114017,303,30676,2016年第2季,-37687,-73191,-44672,-82804,103913,-27583,578401,802566,224165,224165,120252,0.0,,-0.16,-0.16,89576,-37687,76330,,,-5588.0,11393,6985,9613
2016-10-26,3,2016,0.0,0.0,-15872,83748,-42864,-49612,4.09,4.09,-42864.0,153268,-174,136275,2016年第3季,1134041,1091177,1130954,1098012,1229759,57550,3571625,5099361,1527736,1527736,297977,0.0,,4.08,4.08,161702,1134041,1287309,,,-6748.0,10152,3087,-6835
