date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,3732,-5887,14926,4878,1146,1.45,,,20324,2013年01月01日至2013年03月31日,88829,93707,88778,93555,100899,8254,2657146,3198284,541138,541138,440239,,,1.45,,88829,109153,,,785,3198284.0,51,152
2013-08-09,2,2013,,-4746,492,19131,-6331,-1585,1.2,1.2,,14234,2013年04月01日至2013年06月30日,74133,67802,73283,67050,69483,18884,3430380,3994102,563722,563722,494239,,,1.19,1.19,74133,88367,,,739,,850,752
2013-11-12,3,2013,,1556,17424,12352,865,-691,2.21,2.21,,29675,2013年07月01日至2013年09月30日,137523,138388,137635,138554,138058,29140,4352898,4999738,646840,646840,508782,,,2.2,2.2,137523,167198,,,636,,-112,-166
2014-03-27,4,2013,,-1812,28397,79605,-6249,-2186,5.85,,,80699,2013年01月01日至2013年12月31日,372534,366285,372046,365948,347918,105315,13575074,15854268,2279194,2279194,1931276,,-2712.0,5.83,,372534,453233,,-461.0,2687,15854268.0,488,337
2014-05-06,1,2014,,2128,16507,13309,3883,1755,1.19,,,15732,2014年01月01日至2014年03月31日,82235,86118,83054,86758,68634,29333,2891330,3425934,534604,534604,465970,,,1.18,,82235,97967,,,483,3425934.0,-819,-640
2014-08-07,2,2014,,5208,7218,12040,3931,-1277,1.55,1.55,,29642,2014年第2季,108260,112191,108183,112231,119085,18817,3954220,4598322,644102,644102,525017,,,1.54,1.54,108260,137902,,,441,,77,-40
2014-11-06,3,2014,,-3592,5852,20137,-4125,-533,1.98,1.98,,27250,2014年第3季,138194,134069,138425,134178,139849,25595,4823456,5495882,672426,672426,532577,,,1.97,1.97,138194,165444,,,394,,-231,-109
2015-03-24,4,2014,,1020,44991,79123,-23704,2453,5.48,,,86790,2014年度,383025,359321,383910,359884,347368,122447,15238617,17689512,2450895,2450895,2103527,,-32743.0,5.46,,383025,469815,,-5566.0,1667,17689512.0,-885,-563
2015-05-05,1,2015,,-732,-150,21857,-3331,-2599,1.92,,-3331.0,27172,2015年01月01日至2015年03月31日,135047,131716,134696,131379,140818,21401,3581678,4295957,714279,714279,573461,,,1.92,,135047,162219,,,306,4295957.0,351,337
2015-08-05,2,2015,,-2220,9696,14072,-8799,-6579,2.5,2.5,-8799.0,40647,2015年第2季,175040,166241,174776,166299,192178,23509,5047182,5868084,820902,820902,628724,,,2.49,2.49,175040,215687,,,259,,264,-58
2015-11-10,3,2015,,-3192,18769,24401,14406,17598,1.45,1.45,14406.0,23602,2015年第3季,97829,112235,101165,115556,78498,42933,5450401,6130994,680593,680593,602095,,,1.44,1.44,97829,121431,,,237,,-3336,-3321
2016-03-24,4,2015,-20783.0,-7888,45892,84868,-35459,-6788,6.43,,-14676.0,100980,2015年度,445586,410127,450156,415202,416831,129735,18161226,21004847,2843621,2843621,2426790,-25040.0,,6.4,,445586,546566,-4257.0,,1025,21004847.0,-4570,-5075
2016-05-09,1,2016,,-956,17204,14403,-698,258,1.08,,-698.0,15359,2016年01月01日至2016年03月31日,75525,74827,75759,75044,59485,31399,3941049,4584814,643765,643765,584280,,,1.08,,75525,90884,,,208,4584814.0,-234,-217
2016-11-10,3,2016,,-1638,23755,20333,-17956,-16318,0.89,0.89,-17956.0,17229,2016年第3季,58810,40854,62323,44454,31989,44050,5565875,6258735,692860,692860,660871,,,0.89,0.89,58810,76039,,,38,,-3513,-3600
2017-08-04,2,2016,,-358,22103,23749,-9856,-9498,1.4,1.4,-9856.0,28773,2016年第2季,95636,85780,97976,88300,78639,45770,5175089,5859888,684799,684799,606160,,,1.4,1.4,95636,124409,,,82,,-2340,-2520
