date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,8037,154,268,323,1.21,,11718,3131,2013年01月01日至2013年03月31日,50070,50338,50070,50338,58587,3201,202184,299701,97517,97517,38930,8712,,,1.18,27087,50070,61788,,55.0,,4990,,,,0,0
2013-08-07,2,2013,,2299,242,1442,1677,0.43,,5689,14336,2013年04月01日至2013年06月30日,17826,19268,17826,19268,25886,-2371,176586,250265,73679,73679,47793,12085,,,0.42,21372,17826,23515,,235.0,,4912,,,,0,0
2013-11-08,3,2013,,-2457,191,-720,-807,0.27,,3691,7371,2013年07月01日至2013年09月30日,11361,10641,11361,10641,22037,-6985,174026,238190,64164,64164,42127,11790,,,0.27,22966,11361,15052,,-87.0,,4719,,,,0,0
2014-03-12,4,2013,,13940,1170,2424,2051,2.66,,28595,31546,2013年01月01日至2013年12月31日,110751,113175,110751,113175,144452,-5106,733184,1064425,331241,331241,186789,44732,,869.0,2.6,110511,110751,139346,,496.0,,20216,,,,0,0
2014-05-07,1,2014,,6419,303,509,613,1.43,,14686,8497,2014年01月01日至2014年03月31日,59777,60286,59777,60286,72859,1604,217405,348161,130756,130756,57897,13502,,,1.41,35898,59777,74463,,104.0,,5118,,,,0,0
2014-08-12,2,2014,,-6501,357,-997,-1200,0.82,,11142,7396,2014年第2季,34449,33452,34449,33452,56277,-10686,218013,334646,116633,116633,60356,14958,,,0.81,38002,34449,45591,,-203.0,,4542,,,,0,0
2014-11-10,3,2014,,-192792,374,833,1003,-3.79,,7437,7926,2014年第3季,-160465,-159632,-160465,-159632,43612,-196640,239465,347819,108354,108354,64742,19640,,0.0,-3.79,37176,-160465,-153028,,170.0,,4222,,,,0,0
2015-03-13,4,2014,,-208128,1477,-5341,2977,-1.32,,39247,32164,2014年度,-55736,-61077,-55736,-61077,208422,-224911,908324,1376535,468211,468211,259789,66707,,-9412.0,-1.32,160918,-55736,-16489,,-1094.0,,18260,,,,0,0
2015-05-12,1,2015,,-6411,263,-1065,-1283,0.88,-1065.0,9479,8290,2015年01月01日至2015年03月31日,46502,45437,46502,45437,65473,-9492,230831,355036,124205,124205,58732,14361,,,0.88,36081,46502,55981,,,-218.0,3344,355036.0,355036.0,355036.0,0,0
2015-08-04,2,2015,,-4084,200,-643,-775,0.91,-643.0,10545,7304,2015年第2季,47795,47152,47795,47152,64940,-6600,248929,370496,121567,121567,56627,14550,,,0.91,34773,47795,58340,,,-132.0,2716,370496.0,370496.0,370496.0,0,0
2015-11-06,3,2015,,16644,211,2824,3403,1.32,2824.0,12121,8103,2015年第3季,69493,72317,69493,72317,67200,14414,244111,373920,129809,129809,62609,15309,,,1.32,39197,69493,81614,,,579.0,2441,373920.0,373920.0,373920.0,0,0
2016-03-11,4,2015,3482.0,5305,921,-947,-5335,4.53,-4429.0,37675,32133,2015年度,238228,237281,238228,237281,280355,-4452,1013152,1542597,529445,529445,249090,59546,4194.0,,4.52,157411,238228,275903,712.0,,-906.0,10678,1542597.0,1542597.0,1542597.0,0,0
2016-05-10,1,2016,,-11145,311,-2766,-3333,1.05,-2766.0,13353,8917,2016年01月01日至2016年03月31日,55300,52534,55300,52534,81291,-12638,272077,413771,141694,141694,60403,14902,,,1.05,36584,55300,68653,,,-567.0,1804,413771.0,413771.0,413771.0,0,0
2016-08-09,2,2016,,1070,367,-4072,-4906,1.08,-4072.0,11879,8738,2016年第2季,56952,52880,56952,52880,69085,-254,271638,401276,129638,129638,60553,14610,,,1.08,37205,56952,68831,,,-834.0,1691,401276.0,401276.0,401276.0,0,0
2016-11-03,3,2016,,-4543,281,-8398,-10119,0.89,-8398.0,14756,9076,2016年第3季,46703,38305,46703,38305,67430,-5971,284178,411596,127418,127418,59988,11949,,,0.89,38963,46703,61459,,,-1721.0,1709,411596.0,411596.0,411596.0,0,0
