date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,0.0,-6972,20379,42066,-3805,3167,1.75,,191119,61489,2013年01月01日至2013年03月31日,1061336,1057531,1061336,1057531,1200641,51814,6732460,9338200,2605740,2605740,1405099,1113828,,,1.72,229782,1061336,1252455,10631,45408,9407844,9338200,24236,0,0
2013-07-29,2,2013,,0.0,-9561,18318,40593,-8170,1391,2.07,,290159,63066,2013年04月01日至2013年06月30日,1253352,1245182,1253352,1245182,1494450,49061,7900027,10927619,3027592,3027592,1533142,1210190,,,2.04,259886,1253352,1543511,9850,54358,11034698,10927619,52721,0,0
2013-10-30,3,2013,,,-2789,12879,62117,-4380,-1591,2.04,,222446,66778,2013年07月01日至2013年09月30日,1239346,1234966,1239346,1234966,1397794,63998,7616301,10573578,2957277,2957277,1559483,1252826,,,2.02,239879,1239346,1461792,10998,48680,10670219,10573578,47961,0,0
2014-02-24,4,2013,,,-27423,110071,184198,-402,4449,7.81,,938328,262884,2013年01月01日至2013年12月31日,4744958,4744556,4744958,4744556,5431374,251912,29956555,41449654,11493099,11493099,6061725,4799354,,22572.0,7.68,999487,4744958,5683286,42357,204904,41832199,41449654,177641,0,0
2014-04-23,1,2014,,0.0,51343,25059,42938,52072,729,2.08,,177463,65212,2014年01月01日至2014年03月31日,1266946,1319018,1266946,1319018,1389268,55141,7622341,10593171,2970830,2970830,1581562,1260456,,,2.06,255894,1266946,1444409,12856,71418,10708366,10593171,43777,0,0
2014-07-28,2,2014,,0.0,17424,16144,47508,14754,-2670,2.9,,238700,80202,2014年第2季,1767290,1782044,1767290,1782044,1955183,50807,9307533,13083176,3775643,3775643,1820460,1436713,,,2.88,303545,1767290,2005990,12845,67073,13183383,13083176,33134,0,0
2014-10-30,3,2014,,,1301,61703,60435,4302,3001,3.43,,321695,98349,2014年第3季,2087768,2092070,2087768,2092070,2301478,107985,10946825,15281654,4334829,4334829,2033351,1623514,,,3.43,311488,2087768,2409463,14153,68460,15384361,15281654,34247,0,0
2015-03-06,4,2014,,,55990,213636,208575,50233,6929,11.85,,1068094,332448,2014年度,7209383,7259616,7209383,7259616,7907111,370366,38678267,54066982,15388715,15388715,7481604,5950910,,-12686.0,11.79,1198246,7209383,8277477,51845,324559,54551249,54066982,159708,0,0
2015-04-27,1,2015,,0.0,82850,-15731,41879,79943,-2907,2.79,79943.0,235596,72173,2015年01月01日至2015年03月31日,1699681,1779624,1699681,1779624,1917485,17792,9000129,12697879,3697750,3697750,1780265,1416527,,,2.79,291565,1699681,1935277,8356,101627,12824702,12697879,25196,0,0
2015-07-30,2,2015,,0.0,-6280,15636,42241,-19171,-12891,2.44,-19171.0,225139,66142,2015年第2季,1485241,1466070,1485241,1466070,1660347,50033,8962544,12456260,3493716,3493716,1833369,1456043,,,2.44,311184,1485241,1710380,7844,93712,12561771,12456260,11799,0,0
2015-10-30,3,2015,,,-89451,226377,47409,-52788,36663,2.79,-52788.0,256175,68012,2015年第3季,1698112,1645324,1698112,1645324,1687909,266378,9414517,13084076,3669559,3669559,1981650,1648885,,,2.79,264753,1698112,1954287,7408,80207,13167729,13084076,3446,0,0
2016-03-14,4,2015,-28117.0,,12244,248341,184357,-23399,-7526,10.52,4718.0,946987,248460,2015年度,6399087,6375688,6399087,6375688,6942956,403118,36415188,50870127,14454939,14454939,7511983,6133327,-28117.0,,10.5,1130196,6399087,7346074,29580,320404,51239870,50870127,49339,0,0
2016-04-25,1,2016,,0.0,2346,-60380,40588,-2387,-4733,2.01,-2387.0,172587,58201,2016年01月01日至2016年03月31日,1221237,1218850,1221237,1218850,1419021,-25197,7743572,10970044,3226472,3226472,1807451,1463304,,,2.01,285946,1221237,1393824,5405,53399,11032189,10970044,8746,0,0
2016-08-03,2,2016,,0.0,-28770,54902,30688,-51337,-22567,2.14,-51337.0,212221,32720,2016年第2季,1299953,1248616,1299953,1248616,1430819,81355,8215482,11440074,3224592,3224592,1793773,1514304,,,2.14,246749,1299953,1512174,4235,95506,11543258,11440074,7678,0,0
2016-10-26,3,2016,,,4600,-67809,33072,-24575,-29175,2.02,-24575.0,195415,63685,2016年第3季,1227239,1202664,1227239,1202664,1462079,-39425,8690281,12021342,3331061,3331061,1868982,1537161,,,2.02,268136,1227239,1422654,4688,73063,12109484,12021342,15079,0,0
