date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,72929,16514,3804,81696,8767,0.51,0.51,,10859,-778.0,59555,2013年01月01日至2013年03月31日,60839,142535,57045,137347,55748,15950,819717,965117,145400,145400,89652,,,0.5,0.5,30097,60839,71698,,,3590,3794,5188
2013-08-08,2,2013,,5118,31511,6831,10942,5824,0.57,0.57,,11467,-2093.0,103867,2013年04月01日至2013年06月30日,74204,85146,71497,82037,59318,26353,1409151,1625484,216333,216333,157015,,,0.56,0.56,53148,74204,85671,,,9896,2707,3109
2013-11-12,3,2013,,-81276,68334,44705,-87454,-6178,0.98,0.98,,8345,-3334.0,117411,2013年07月01日至2013年09月30日,129458,42004,124445,38648,38448,99355,1679312,1908294,228982,228982,190534,,,0.97,0.97,73123,129458,137803,,,10350,5013,3356
2014-03-25,4,2013,,-13498,149387,63242,1101,15545,2.52,2.52,,54479,-5629.0,397728,2013年01月01日至2013年12月31日,332535,333636,320425,319693,213625,173389,5541392,6377856,836464,836464,622839,,-1140.0,2.49,2.49,225111,332535,387014,,-194.0,33611,12110,13943
2014-05-13,1,2014,,20577,23223,7002,23902,3325,0.62,0.62,,16735,0.0,116904,2014年01月01日至2014年03月31日,90038,113940,79584,101457,85320,21453,1597151,1866098,268947,268947,183627,,,0.61,0.61,66723,90038,106773,,,8772,10454,12483
2014-08-12,2,2014,,-21639,-12206,6029,-31790,-10151,0.44,0.44,,15637,0.0,141365,2014年第2季,73773,41983,63947,33770,104611,-15201,1857219,2165511,308292,308292,203681,,,0.44,0.44,62316,73773,89410,,,9024,9826,8213
2014-11-11,3,2014,,-61790,20148,34746,-49719,12071,0.39,0.39,,4250,0.0,131755,2014年第3季,50579,860,56157,5956,9772,45057,2053671,2379534,325863,325863,316091,,,0.39,0.39,184336,50579,54829,,,9837,-5578,-5096
2015-03-20,4,2014,,-82417,61052,55278,-58930,24305,2.44,2.44,,47220,0.0,507956,2014年度,382697,323767,360997,300739,350952,78965,7313644,8543448,1229804,1229804,878852,,-856.0,2.42,2.42,370896,382697,429917,,-38.0,37365,21700,23028
2015-05-13,1,2015,,6349,462,6219,615,-5734,0.65,0.65,615.0,22979,,115926,2015年01月01日至2015年03月31日,107008,107623,103174,103800,132369,-2382,1776874,2095805,318931,318931,186562,,,0.64,0.64,70636,107008,129987,,,9063,3834,3823
2015-08-11,2,2015,,-59883,-12371,8119,-67714,-7831,0.28,0.28,-67714.0,23005,,112542,2015年第2季,48481,-19233,47459,-19640,84524,-13038,1734741,1992005,257264,257264,172740,,,0.28,0.28,60198,48481,71486,,,8786,1022,407
2015-11-10,3,2015,,2915,35461,32444,29424,26509,0.76,0.76,29424.0,20808,,126373,2015年第3季,129207,158631,127676,157019,90056,59959,1798638,2087375,288737,288737,198681,,,0.76,0.76,72308,129207,150015,,,7946,1531,1612
2016-03-22,4,2015,-9968.0,-63599,24527,55898,-73766,-199,2.23,2.23,-63798.0,85230,,456167,2015年度,379077,305311,371707,298696,416829,47478,7105458,8260868,1155410,1155410,738581,-12009.0,,2.21,2.21,282414,379077,464307,-2041.0,,32947,7370,6615
2016-05-10,1,2016,,48617,-1823,3910,43262,-5355,0.46,0.46,43262.0,19217,,134067,2016年01月01日至2016年03月31日,75871,119133,75854,118414,98858,-3770,1614964,1886591,271627,271627,172769,,,0.46,0.46,38702,75871,95088,,,5857,17,719
2016-08-09,2,2016,,24272,-816,11133,14894,-9378,0.62,0.62,14894.0,22100,,142896,2016年第2季,101232,116126,101165,115665,118282,5050,1729757,2029352,299595,299595,181313,,,0.61,0.61,38417,101232,123332,,,5267,67,461
2016-11-08,3,2016,,-6742,-22019,32442,-23045,-16303,0.6,0.6,-23045.0,23963,,144076,2016年第3季,98907,75862,99415,76504,120837,2033,2062269,2386441,324172,324172,203335,,,0.6,0.6,59259,98907,122870,,,8390,-508,-642
