date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,53634,44028,127720,127720,1.21,,,63460,2665.0,43586,2013年01月01日至2013年03月31日,209197,336917,211218,338938,180482,92175,1394496,1776659,382163,382163,201681,35393,,,1.18,,122702,209197,272657,8152,-2021,-2021
2013-08-09,2,2013,,-14169,48630,63651,63651,0.67,,,99683,-1130.0,58384,2013年04月01日至2013年06月30日,114491,178142,116227,179878,187420,26754,1496430,1882668,386238,386238,198818,32292,,,0.65,,108142,114491,214174,6577,-1736,-1736
2013-11-08,3,2013,,-38750,24495,-65437,-65437,1.69,,,90787,0.0,75885,2013年07月01日至2013年09月30日,294867,229430,295900,230463,406069,-20415,1486538,2132102,645564,645564,239495,39095,,,1.65,,124515,294867,385654,6160,-1033,-1033
2014-02-19,4,2013,,-16101,160784,205690,209098,5.0,,,327832,1535.0,271227,2013年01月01日至2013年12月31日,868175,1073865,873976,1079666,1075877,120130,5770550,7767823,1997273,1997273,921396,151709,,-3408.0,4.86,,498460,868175,1196007,26088,-5801,-5801
2014-04-29,1,2014,,46459,27233,12470,12470,1.36,,,63864,0.0,75475,2014年01月01日至2014年03月31日,240672,253142,241500,253970,234959,69577,1321868,1784342,462474,462474,227515,35865,,,1.34,,116175,240672,304536,4115,-828,-828
2014-08-08,2,2014,,-27156,35790,-105305,-105305,1.25,,,85614,0.0,75146,2014年第2季,221680,116375,222564,117259,303090,4204,1421977,1943215,521238,521238,218148,29757,,,1.24,,113245,221680,307294,4430,-884,-884
2014-11-05,3,2014,,38284,21319,114594,114594,1.56,,,74901,0.0,92957,2014年第3季,278086,392680,278184,392778,295628,57359,1525727,2064698,538971,538971,243343,41177,,,1.55,,109209,278086,352987,2244,-98,-98
2015-03-06,4,2014,,125629,162940,177767,182023,6.36,,,327017,0.0,333866,2014年度,1133306,1311073,1135519,1313286,1186910,273413,5754622,7906320,2151698,2151698,964788,151729,,-4256.0,6.28,,479193,1133306,1460323,15156,-2213,-2213
2015-05-05,1,2015,,-39260,37190,-48716,-48716,2.11,,-48716.0,97846,,71177,2015年01月01日至2015年03月31日,376856,328140,376902,328186,479847,-5145,1276175,1974863,698688,698688,218841,37646,,,2.09,,110018,376856,474702,3075,-46,-46
2015-08-07,2,2015,,-58958,30849,-70304,-70304,1.69,,-70304.0,169137,,77963,2015年第2季,302673,232369,302673,232369,503480,-31670,1293546,2015634,722088,722088,218608,32067,,,1.68,,108578,302673,471810,3561,0,0
2015-10-30,3,2015,,114120,33159,220529,220529,2.73,,220529.0,120456,,77736,2015年第3季,487873,708402,487873,708402,464308,144021,1330517,2036422,705905,705905,241597,45184,,,2.71,,118677,487873,608329,3258,0,0
2016-03-07,4,2015,-4450.0,-48145,138317,-55783,-51333,9.02,,-51333.0,496685,,308835,2015年度,1612752,1556969,1612798,1557015,2032642,76795,5481242,8453905,2972663,2972663,940021,175449,-4450.0,,8.96,,455737,1612752,2109437,13377,-46,-46
2016-04-25,1,2016,,-108981,28519,-35703,-35703,1.05,1.05,-35703.0,42863,,54053,2016年01月01日至2016年03月31日,186780,151077,186780,151077,317013,-87370,1170192,1675641,505449,505449,188436,33662,,,1.04,1.04,100721,186780,229643,6908,0,0
2016-08-03,2,2016,,34669,29621,-104915,-104915,1.01,,-104915.0,192166,,47648,2016年第2季,180510,75595,180510,75595,315698,56978,1334678,1843942,509264,509264,193566,37263,,,1.01,,108655,180510,372676,7312,0,0
2016-11-03,3,2016,,-87046,20338,-137326,-137326,1.36,1.36,-137326.0,78008,,66894,2016年第3季,243609,106283,243609,106283,395895,-74278,1588114,2190447,602333,602333,206438,40532,,,1.36,1.36,99012,243609,321617,7570,0,0
