date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-4608,1542,29268,29268,-0.34,,-1279,49365,2013年01月01日至2013年03月31日,-53497,-24229,-47110,-17842,-47072,-7704,407844,501138,93294,93294,140366,32439,,,58562,-53497,-54776,,,,4638,-6387,-6387
2013-08-14,2,2013,,-549,2165,14157,14157,-0.33,,-2721,56126,2013年04月01日至2013年06月30日,-55374,-41217,-46298,-32141,-54968,-3127,382637,474667,92030,92030,146998,30207,,,60665,-55374,-58095,,0.0,,4743,-9076,-9076
2013-11-13,3,2013,,2154,7023,-12309,-12309,0.06,,1185,51054,2013年07月01日至2013年09月30日,5660,-6649,8531,-3778,3456,3389,396829,524261,127432,127432,123976,27610,,0.06,45312,5660,6845,,0.0,,5788,-2871,-2871
2014-03-25,4,2013,,6837,13545,44376,44376,-0.43,,-6591,216263,2013年01月01日至2013年12月31日,-102884,-58508,-63786,-19410,-110083,608,1617608,2063606,445998,445998,556081,124380,,,215438,-102884,-109475,,0.0,,19774,-39098,-39098
2014-05-13,1,2014,,4854,1690,18685,18685,0.1,,11142,49902,2014年01月01日至2014年03月31日,18744,37429,17948,36633,29048,838,407725,564687,156962,156962,127914,29052,,,48960,18744,29886,,,,5706,796,796
2014-08-08,2,2014,,-10494,2886,-21656,-21656,0.03,,6268,56232,2014年第2季,7901,-13755,4918,-16738,26871,-12702,458910,621407,162497,162497,135626,27799,,,51595,7901,14169,,,,5094,2983,2983
2014-08-08,3,2014,,27342,1932,-82707,-82707,0.18,,11824,62008,2014年第3季,23388,-59319,32987,-49720,11148,24064,384093,526637,142544,142544,131396,22453,,0.18,46935,23388,35212,,,,5210,-9599,-9599
2015-03-27,4,2014,,29019,26617,-12140,-12140,0.47,,19793,231419,2014年度,86330,74190,82644,70504,71198,34925,1626316,2237532,611216,611216,540018,113365,,0.46,195234,86330,106123,,0.0,,20711,3686,3686
2015-05-13,1,2015,3263.0,-11700,2540,-5437,-8700,0.01,-8700.0,-395,58056,2015年01月01日至2015年03月31日,1626,-3811,2332,-3105,14538,-13307,313143,458970,145827,145827,131289,28426,3263.0,,44807,1626,1231,0.0,,,4147,-706,-706
2015-08-06,2,2015,0.0,-3727,1926,-11669,-11669,-0.01,-11669.0,3761,49800,2015年第2季,1976,-9693,-1790,-13459,11024,-5287,318918,451095,132177,132177,121153,26699,0.0,,44654,1976,5737,0.0,,,3486,3766,3766
2015-11-12,3,2015,0.0,-719,2582,61215,61215,-0.12,61215.0,3981,54087,2015年第3季,-5229,55986,-21794,39421,602,-1850,272123,401332,129209,129209,128607,29099,0.0,0.0,45421,-5229,-1248,0.0,,0.0,3713,16565,16565
2016-03-30,4,2015,2087.0,-15252,15785,34975,32888,-0.15,32888.0,3699,210849,2015年度,-2281,32694,-26115,8860,17466,-16048,1181622,1700054,518432,518432,500966,113465,2087.0,0.0,176652,-2281,1418,0.0,,0.0,16581,23834,23834
2016-05-12,1,2016,0.0,-9213,1726,-17037,-17037,0.08,-17037.0,1715,47845,2016年01月01日至2016年03月31日,23572,6535,13988,-3049,38100,-12813,298857,463038,164181,164181,126081,32650,0.0,,45586,23572,25287,0.0,,,5326,9584,9584
2016-08-04,2,2016,0.0,1848,1194,-4100,-4100,-0.14,-4100.0,2613,53989,2016年第2季,-22867,-26967,-25377,-29477,-17943,-2311,310345,419766,109421,109421,127364,30001,0.0,,43374,-22867,-20254,,,,5353,2510,2510
2016-11-10,3,2016,0.0,-4963,647,-28742,-28742,-0.39,-28742.0,-2350,48993,2016年第3季,-70798,-99540,-70689,-99431,-64261,-8887,380901,442406,61505,61505,125766,30985,0.0,0.0,45788,-70798,-73148,0.0,,0.0,4571,-109,-109
