date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-10,1,2013,,11169,36780,1655,1985,-0.23,,393,,-696,,40383,2013年01月01日至2013年03月31日,-34054,-32399,-34054,-32399,-77652,43991,876919,951569,74650,74650,152302,81878,,,-0.23,30041,-34054,-33661,330.0,,3262
2013-08-09,2,2013,,14835,3728,1247,1502,-0.48,,15,,-61,,44340,2013年04月01日至2013年06月30日,-69790,-68543,-69790,-68543,-84666,14891,987428,1047237,59809,59809,144475,72506,,,-0.48,27629,-69790,-69775,255.0,,3611
2013-11-13,3,2013,,-9113,3124,-758,-913,0.05,,12,,-182,,43394,2013年07月01日至2013年09月30日,6856,6098,6856,6098,15952,-9084,1120162,1280059,159897,159897,143945,71489,,,0.05,29062,6856,6868,-155.0,,2913
2014-03-19,4,2013,,29773,48008,3593,4221,-0.65,,600,,-1054,,189722,2013年01月01日至2013年12月31日,-95130,-91537,-95130,-91537,-158875,64345,4057403,4510380,452977,452977,611852,302286,,82.0,-0.65,119844,-95130,-94530,710.0,,12382
2014-04-29,1,2014,,13092,3677,-535,-644,0.02,,505,,-823,,37960,2014年01月01日至2014年03月31日,3612,3077,3612,3077,-8894,13011,959192,1106274,147082,147082,155976,82285,,,0.02,35731,3612,4117,-109.0,,2935
2014-08-04,2,2014,,-21836,5893,-1142,-1377,0.01,,13,,-776,,38100,2014年第2季,1189,47,1189,47,21767,-20565,1021218,1199202,177984,177984,156217,83568,,,0.01,34549,1189,1202,-235.0,,3846
2014-11-11,3,2014,,-42109,1775,1941,2195,-0.69,,12,144.0,154,,32822,2014年第3季,-98713,-96772,-98713,-96772,-54915,-43786,1012799,1105923,93124,93124,148039,75778,,,-0.69,39439,-98713,-98701,398.0,,3606
2015-03-24,4,2014,,-19437,21929,4640,2675,-1.96,,910,2526.0,-5309,,149275,2014年度,-280891,-276251,-280891,-276251,-262442,-17539,3734433,4143742,409309,409309,671751,373840,,323.0,-1.96,148636,-280891,-279981,884.0,,14722
2015-05-08,1,2015,,-7542,8302,-866,-686,-0.85,-866.0,12,,-8117,-357.0,38896,2015年01月01日至2015年03月31日,-118027,-118893,-118027,-118893,-106385,-11630,694031,774780,80749,80749,187134,115456,,,-0.85,32782,-118027,-118015,,-177.0,4273
2015-08-03,2,2015,,-12312,6450,-909,-751,-1.4,-909.0,12,,-8969,-345.0,55255,2015年第2季,-190929,-191838,-190929,-191838,-172170,-18747,723218,781024,57806,57806,229976,139480,,,-1.4,35241,-190929,-190917,,-187.0,3916
2015-11-04,3,2015,,136993,11725,3443,2762,0.39,3443.0,7,,-5612,1387.0,28828,2015年第3季,49290,52733,49290,52733,-89309,138606,870063,970217,100154,100154,189463,128144,,,0.39,32491,49290,49297,,706.0,4500
2016-03-04,4,2015,-130.0,107355,38914,69,-167,-2.84,199.0,38,,-29018,406.0,184837,2015年度,-378686,-378617,-378686,-378617,-478270,99622,3117604,3470612,353008,353008,831278,512293,-130.0,,-2.84,134148,-378686,-378648,,40.0,17629
2016-05-11,1,2016,,-27216,15578,-3096,-1039,-0.94,-3096.0,7,,-5223,-2691.0,38961,2016年01月01日至2016年03月31日,-118611,-121707,-118611,-121707,-96670,-21934,753995,854179,100184,100184,196854,125525,,,-0.94,32368,-118611,-118604,,-634.0,5073
