date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-08-14,2,2013,,,-863,5360,49873,49873,0.38,0.38,,,10123,178,70234,2013年04月01日至2013年06月30日,,57737,107610,56330,105632,81704,-13844,1438902,1645778,206876,206876,125172,9159,,,45779,57737,67860,18519,1438902,1645778,1407,1978
2013-11-08,3,2013,,,-6161,5679,-30245,-30245,0.16,0.16,,,-10407,363,71540,2013年07月01日至2013年09月30日,,25765,-4480,24129,-7027,24809,-9451,1500555,1647055,146500,146500,121691,8742,,,41409,25765,15358,9332,1500555,1647055,1636,2547
2014-03-14,4,2013,,,-1928,19175,166264,166264,1.56,1.56,,,51336,829,267466,2013年01月01日至2013年12月31日,,240795,407059,236775,401806,326718,-34587,5430972,6223931,792959,792959,466241,46921,,,151854,240795,292131,52663,5430972,6223931,4020,5253
2014-08-08,2,2014,,,-4554,11679,-61057,-61057,0.89,0.89,,,68267,487,62925,2014年第2季,,149703,88646,149018,88598,224493,-6523,1273060,1620750,347690,347690,123197,14474,,,45798,149703,217970,14135,1273060,1620750,685,48
2014-11-05,3,2014,,,84,8543,84952,84952,1.17,1.17,,,72435,203,62477,2014年第3季,,199117,284069,197268,281294,276585,-5033,1409545,1794860,385315,385315,108730,15794,,,30459,199117,271552,13863,1409545,1794860,1849,2775
2015-03-19,4,2014,,,-3871,47441,123693,123693,3.05,3.05,,,136518,1309,277057,2014年度,,516122,639815,513082,635431,660921,-8281,5282296,6417499,1135203,1135203,474282,36733,3.05,3.05,160492,516122,652640,53160,5282296,6417499,3040,4384
2015-05-08,1,2015,-35224,-35224,1221,8572,-34659,565,0.50,0.50,,565,20963,-267,73477,2015年01月01日至2015年03月31日,,83703,49044,83434,49144,103062,1604,1240972,1476930,235958,235958,132896,11858,0.50,0.50,47561,83703,104666,7922,1240972,1476930,269,-100
2015-08-07,2,2015,-53101,-53101,2116,5319,-53119,-18,0.46,0.46,,-18,33233,436,67683,2015年第2季,,77245,24126,78086,25510,107556,2922,1370250,1597226,226976,226976,119420,15551,0.46,0.46,36186,77245,110478,4949,1370250,1597226,-841,-1384
2015-11-06,3,2015,140952,140952,-8382,9591,143521,2569,0.31,0.31,,2569,13629,310,69671,2015年第3季,,51371,194892,51395,194018,67869,-2869,1338211,1515598,177387,177387,109518,10197,0.31,0.31,29650,51371,65000,4388,1338211,1515598,-24,874
2016-03-14,4,2015,-74641,-74641,-7437,27528,-68065,6576,1.42,1.42,,6576,85827,1262,291313,2015年度,,237283,169218,238387,171676,321117,1993,5204383,6018542,814159,814159,493042,42300,1.42,1.42,159429,237283,323110,19360,5204383,6018542,-1104,-2458
2016-05-13,1,2016,-17389,-17389,726,3658,-17738,-349,0.44,0.44,,-349,18307,215,75775,2016年01月01日至2016年03月31日,,74174,56436,74355,56784,92327,154,1169292,1381124,211832,211832,119505,10644,0.44,0.44,33086,74174,92481,4445,1169292,1381124,-181,-348
2016-08-09,2,2016,-92753,-92753,-4848,8059,-88622,4131,0.59,0.59,0,4131,25738,843,77225,2016年第2季,0,100516,11894,99817,12143,123772,2482,1252784,1512903,260119,260119,136347,7116,0.59,0.59,52006,100516,126254,1572,1252784,1512903,699,-249
2016-11-08,3,2016,-108801,-108801,-21893,3499,-106575,2226,0.59,,,2226,31420,388,72836,2016年第3季,,99534,-7041,99592,-5881,157279,-26325,1252771,1527610,274839,274839,117560,6646,0.59,,38078,99534,130954,8319,1252771,1527610,-58,-1160
