date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,148338,31233,114942,114942,0.49,,22790,59568,2013年01月01日至2013年03月31日,78939,193881,78939,193881,-63587,165316,1650132,1750465,100333,100333,163920,,,0.46,104352,78939,101729,,,,14255,26400.0,1781759.0,1750465.0,4894.0,0.0,0.0
2013-08-09,2,2013,,-91917,11842,55180,55180,0.05,,1118,61202,2013年04月01日至2013年06月30日,8788,63968,8788,63968,105359,-95453,1956364,2230004,273640,273640,168281,,,0.05,107079,8788,9906,,,,15378,,,,,0.0,0.0
2013-11-08,3,2013,,-17792,19621,-48742,-48742,0.4,,34297,65641,2013年07月01日至2013年09月30日,63632,14890,63632,14890,115428,-17499,1753248,2041405,288157,288157,172729,,,0.39,107088,63632,97929,,0.0,,19328,,,,,0.0,0.0
2014-03-17,4,2013,,-46900,135693,145190,195539,0.99,,56162,280543,2013年01月01日至2013年12月31日,158084,303274,158084,303274,181071,33175,7173040,8047121,874081,874081,693010,,-18286.0,0.99,412467,158084,214246,,32063.0,,55618,,,,,,
2014-05-09,1,2014,,33453,25077,5771,5771,0.66,,28362,69470,2014年01月01日至2014年03月31日,106023,111794,106023,111794,101485,32900,1877635,2151994,274359,274359,172874,,,0.64,103404,106023,134385,,,,25630,,,,,,
2014-08-08,2,2014,,-28084,35516,-81864,-81864,0.45,,14470,89293,2014年第2季,71393,-10471,71393,-10471,103856,-17993,2044220,2336443,292223,292223,188367,,,0.43,99074,71393,85863,,,,25425,,,,,,
2014-11-11,3,2014,,12994,18473,106117,106117,0.9,,35642,92359,2014年第3季,143978,250095,143978,250095,174358,5262,1906994,2289375,382381,382381,208023,,,0.89,115664,143978,179620,,,,26205,,,,,,
2015-03-20,4,2014,,-47972,117958,171620,184172,2.07,,79768,351182,2014年度,330578,502198,330578,502198,427303,-16957,7765754,8958933,1193179,1193179,765876,,22599.0,2.04,414694,330578,410346,,35151.0,,86943,,,,,,
2015-05-11,1,2015,,19505,29737,-48057,-48057,-0.3,-48057.0,2717,86446,2015年01月01日至2015年03月31日,-47171,-95228,-47171,-95228,-70206,25752,1684284,1798032,113748,113748,183954,,,-0.3,97508,-47171,-44454,,,0.0,23490,,,,,,
2015-08-10,2,2015,,-139090,30223,-51691,-51691,-0.38,-51691.0,6069,91250,2015年第2季,-60204,-111895,-60204,-111895,81471,-135606,1660435,1938737,278302,278302,196831,,,-0.38,105581,-60204,-54135,,,,26739,,,,,,
2015-11-06,3,2015,,-164810,35017,233028,233028,-0.82,233028.0,41641,88797,2015年第3季,-131506,101522,-131506,101522,68333,-158198,1767084,2023468,256384,256384,188051,,,-0.82,99254,-131506,-89865,,,,28405,,,,,,
2016-03-25,4,2015,-3493.0,-223649,149201,-13026,-11486,0.12,-9533.0,25894,330901,2015年度,19461,6435,19461,6435,200657,-155302,6888341,7814716,926375,926375,725718,-4208.0,,0.12,394817,19461,45355,-715.0,,-1953.0,80854,,,,,,
2016-05-10,1,2016,,36493,15906,-44705,-44705,0.44,-44705.0,18082,82296,2016年01月01日至2016年03月31日,70152,25447,70152,25447,56810,31424,1749676,2004082,254406,254406,197596,,,0.44,115300,70152,88234,,,,20975,,,,,,
2016-08-05,2,2016,,40290,17199,-89647,-89647,0.67,-89647.0,54582,60518,2016年第2季,107346,17699,107346,17699,125890,36038,1806151,2122497,316346,316346,190456,,,0.67,129938,107346,161928,,,,21451,,,,,,
2016-11-08,3,2016,,-3141,12527,-140135,-140135,0.97,-140135.0,56863,80964,2016年第3季,155058,14923,155058,14923,225022,-13101,1860346,2292661,432315,432315,207293,,,0.96,126329,155058,211921,,,,22487,,,,,,
