date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,9544,19898,136827,154934,0.5,,15936,-2238,2013年01月01日至2013年03月31日,83368,220195,94702,185813,79797,19507,2216514,2453397,236883,236883,157086,13673,,,0.46,143413,83368,99304,,18107.0,,7697,-11334,34382
2013-08-07,2,2013,,,11337,27418,83469,92408,0.58,,50514,3649,2013年04月01日至2013年06月30日,118390,201859,108877,154174,134937,33967,3016276,3300803,284527,284527,149590,8851,,,0.52,140739,118390,168904,,8939.0,,8437,9513,47685
2013-11-08,3,2013,,,-513,18471,-47288,-53481,0.09,,18445,-2597,2013年07月01日至2013年09月30日,26967,-20321,17643,-15498,38805,6607,2384946,2573483,188537,188537,149732,4738,,,0.08,144994,26967,45412,,-6193.0,,8754,9324,-4823
2014-03-12,4,2013,,247734.0,22460,84303,512374,285311,2.08,,171774,1277,2013年01月01日至2013年12月31日,455424,967798,391467,804603,553675,73523,11031569,12266048,1234479,1234479,680804,41280,,12856.0,1.86,639524,455424,627198,,33527.0,,34517,63957,163195
2014-05-05,1,2014,,-55345.0,-933,22184,-55834,1517,0.19,,8820,-3276,2014年01月01日至2014年03月31日,21939,-33895,36497,-7972,22386,8373,2415825,2596441,180616,180616,158230,9967,,,0.18,148263,21939,30759,,2006.0,,9602,-14558,-25923
2014-08-05,2,2015,,-70715.0,24550,22112,-145672,-85046,0.16,-145672.0,14710,5508,2015年第2季,36951,-108721,31108,-86760,21073,30588,3846920,4025560,178640,178640,157567,13158,,,0.16,144409,36951,51661,,,-10089.0,21582,5843,-21961
2014-08-11,2,2014,,146175.0,26404,18566,47334,-111438,0.55,,46889,1994,2014年第2季,135101,182435,103427,181273,144944,37046,3263623,3564826,301203,301203,156259,10690,,,0.49,145569,135101,181990,,-12597.0,,9918,31674,1162
2014-11-10,3,2014,,-15568.0,13877,19772,103449,134518,0.12,,14211,1143,2014年第3季,23709,127158,22468,82695,18435,19485,3200774,3355039,154265,154265,135830,9272,,,0.12,126558,23709,37920,,15501.0,,15307,1241,44463
2015-02-13,4,2014,,78745.0,68139,76902,270587,209672,1.32,,117775,9716,2014年度,291841,562428,248144,463242,312313,97303,13540396,14499699,959303,959303,646990,48648,,9225.0,1.2,598342,291841,409616,,27055.0,,57454,43697,99186
2015-04-28,1,2015,,-48420.0,14650,12582,-131065,-95845,0.05,-131065.0,20059,4614,2015年01月01日至2015年03月31日,2627,-128438,9334,-102896,10340,12346,2475987,2646983,170996,170996,160656,10081,,,0.05,150575,2627,22686,,,-13200.0,19500,-6707,-25542
2015-11-05,3,2015,,-11843.0,40289,15235,213025,256145,0.79,213025.0,95495,5086,2015年第3季,190097,403122,147799,288455,246533,39059,4221337,4686690,465353,465353,218820,9067,,,0.73,209753,190097,285592,,,31277.0,21551,42298,114667
2016-03-07,4,2015,386.0,-125056.0,136262,69308,-251505,-143550,1.02,-251891.0,196751,20057,2015年度,279638,28133,191809,-13209,337459,138930,16507994,17495357,987363,987363,649904,46541,466.0,,0.91,603363,279638,476389,80.0,,-16715.0,86697,87829,41342
2016-05-10,1,2016,,-2090.0,22765,16348,-16823,-16240,0.87,-16823.0,168131,-1457,2016年01月01日至2016年03月31日,268664,251841,164814,156274,421183,15612,8357893,9003022,645129,645129,223946,19584,,,0.71,204362,268664,436795,,,-1507.0,22044,103850,95567
2016-08-04,2,2016,,-45285.0,-10620,18924,-192818,-166592,0.82,-192818.0,212708,1304,2016年第2季,298898,106080,172829,36338,526411,-14805,4649858,5354089,704231,704231,177820,18871,,,0.76,158949,298898,511606,,,-19059.0,24413,126069,69742
2016-11-03,3,2016,,33789.0,106,19389,-169898,-232811,0.43,-169898.0,55603,569,2016年第3季,106156,-63742,91242,-15364,164421,-2662,3598896,3955177,356281,356281,191860,16245,,,0.41,175615,106156,161759,,,-29124.0,22726,14914,-48378
