date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,0.0,57024,20879,129574,129574,0.3,,9963,81193,2013年01月01日至2013年03月31日,96375,225949,96375,225949,35325,71013,2519045,2911093,392048,392048,356723,159815,,,0.29,115715,96375,106338,,,6890,0,0
2013-08-13,2,2013,,,-28331,19357,69636,69636,-0.17,,48492,55035,2013年04月01日至2013年06月30日,-55537,14099,-55537,14099,8357,-15402,2068415,2435065,366650,366650,358293,183565,,,-0.17,119693,-55537,-7045,,,6428,0,0
2013-11-13,3,2013,,,-23481,31869,-47734,-47734,0.59,,51409,145410,2013年07月01日至2013年09月30日,193243,145509,193243,145509,239953,4699,2753121,3466539,713418,713418,473465,187205,,,0.58,140850,193243,244652,,,3689,0,0
2014-03-14,4,2013,,,19541,114043,247135,230524,2.02,,250712,384109,2013年01月01日至2013年12月31日,655255,902390,655255,902390,791839,114128,11046965,13509274,2462309,2462309,1670470,719800,,20012.0,2.0,566561,655255,905967,3401.0,,19456,0,0
2014-05-12,1,2014,,0.0,47815,26397,-18703,-18703,0.21,,16770,98894,2014年01月01日至2014年03月31日,67796,49093,67796,49093,13047,71519,2456015,2906058,450043,450043,436996,212373,,,0.21,125729,67796,84566,,,2693,0,0
2014-08-13,2,2014,,,15917,43833,-84513,-84513,0.09,,40154,102064,2014年第2季,30189,-54324,30189,-54324,13388,56955,2750533,3290026,539493,539493,526105,284088,,,0.09,139953,30189,70343,,,2795,0,0
2014-11-11,3,2014,,,41743,53143,119032,119032,0.29,,21736,396946,2014年第3季,93238,212270,93238,212270,22501,92473,3483489,4298568,815079,815079,792578,263817,,,0.29,131815,93238,114974,,,2413,0,0
2015-03-11,4,2014,,,162679,61641,172516,171029,1.25,,133997,723659,2014年度,407196,579712,407196,579712,332173,209020,13483536,16119025,2635489,2635489,2303316,995075,,1793.0,1.24,584582,407196,541193,306.0,,15300,0,0
2015-05-12,1,2015,,0.0,46502,22897,-44271,-44271,-0.26,-44271.0,-9040,87309,2015年01月01日至2015年03月31日,-83059,-127330,-83059,-127330,-153404,61305,3348096,3576719,228623,228623,382027,151969,,,-0.26,142749,-83059,-92099,,,8094,0,0
2015-08-05,2,2015,,,18767,5268,-70348,-70348,-0.16,-70348.0,-7207,72296,2015年第2季,-52233,-122581,-52233,-122581,-75137,15697,3409325,3707084,297759,297759,372896,163229,,,-0.16,137371,-52233,-59440,,,8338,0,0
2015-11-11,3,2015,,,202763,16767,209572,209572,1.43,209572.0,125273,76256,2015年第3季,462428,672000,462428,672000,376747,210954,3329108,4123662,794554,794554,417807,178420,,,1.31,163131,462428,587701,,,8576,0,0
2016-03-25,4,2015,-30662.0,,339372,54051,-121198,-95748,1.91,-90536.0,174701,306408,2015年度,618072,496874,618072,496874,433101,359672,13642026,15714551,2072525,2072525,1639424,714018,-30662.0,,1.78,618998,618072,792773,,-5212.0,33751,0,0
2016-05-10,1,2016,,0.0,-27894,16176,-22720,-22720,-0.36,-22720.0,-4278,73449,2016年01月01日至2016年03月31日,-117181,-139901,-117181,-139901,-100926,-20533,2833728,3132405,298677,298677,399603,183764,,,-0.36,142390,-117181,-121459,,,8815,0,0
2016-08-04,2,2016,,,48527,17085,-134096,-134096,0.12,-134096.0,31643,51812,2016年第2季,38155,-95941,38155,-95941,13215,56583,2759769,3143469,383700,383700,370485,183583,,,0.12,135090,38155,69798,,,9029,0,0
2016-11-10,3,2016,,,-40750,30588,-160919,-160919,0.13,-160919.0,22640,66155,2016年第3季,40850,-120069,40850,-120069,82568,-19078,3066719,3545107,478388,478388,395820,182688,,,0.13,146977,40850,63490,,,8916,0,0
