date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額
2013-04-26,1,2013,,507,10362,,0.0,,46835,221949,221949,46835,1.33,,30826,122574,2013年01月01日至2013年03月31日,157328,204163,157328,204163,178904,9250,1014876,1375548,360672,360672,181768,11925,,,1.31,47269,157328,188154,,1619,917403,1153599
2013-08-14,2,2013,,-3826,4118,4118.0,0.0,,18867,226392,226392,18867,1.24,,70544,156919,2013年04月01日至2013年06月30日,147228,166095,147228,166095,219174,-1402,982508,1416118,433610,433610,214436,13471,,,1.23,44046,147228,217772,,1694,866310,1189726
2013-11-12,3,2013,,-1058,5076,5076.0,,,-24669,213178,213178,-24669,1.38,,48750,131878,2013年07月01日至2013年09月30日,163235,138566,163235,138566,209586,2399,1168202,1603433,435231,435231,225645,13261,,,1.37,80506,163235,211985,,1619,1053251,1390255
2014-03-21,4,2013,,-3667,30642,30642.0,,2922.0,53291,921532,921532,67557,5.38,,197486,546280,2013年01月01日至2013年12月31日,639123,692414,639123,692414,816751,19858,4572750,6240386,1667636,1667636,850885,50598,,-17188.0,5.33,254007,639123,836609,,7117,4092145,5318854
2014-05-09,1,2014,,-4604,6785,,0.0,,15030,226499,226499,15030,1.51,,41635,126777,2014年01月01日至2014年03月31日,178970,194000,178970,194000,220063,542,985296,1399238,413942,413942,193879,13442,,,1.5,53660,178970,220605,,1639,888650,1172739
2014-08-08,2,2014,,-5981,7037,,0.0,,-34274,196999,196999,-34274,1.0,,58146,142571,2014年第2季,118140,83866,118140,83866,177084,-798,1123512,1499336,375824,375824,198740,15360,,,0.99,40809,118140,176286,,1854,1022017,1302337
2014-11-10,3,2014,,-119,8051,,,,44883,171801,171801,44883,1.3,,47311,138289,2014年第3季,154049,198932,154049,198932,194895,6465,1054162,1451643,397481,397481,202586,16242,,,1.29,48055,154049,201360,,1467,966003,1279842
2015-03-20,4,2014,,-9885,30368,30368.0,,3307.0,85671,841182,841182,101819,5.34,,194030,553169,2014年度,634200,719871,634200,719871,814402,13828,4295478,5916400,1620922,1620922,806520,60123,,-19455.0,5.29,193228,634200,828230,,6655,3878113,5075218
2015-05-11,1,2015,,-991,6087,,0.0,,-27241,246927,246927,-27241,0.78,-27241.0,20994,138290,2015年01月01日至2015年03月31日,92075,64834,92075,64834,109413,3656,944150,1258459,314309,314309,204896,15312,,,0.77,51294,92075,113069,,1440,777472,1011532
2015-08-06,2,2015,,-4492,6513,,0.0,,-30910,179715,179715,-30910,0.98,-30910.0,47588,117934,2015年第2季,116809,85899,116809,85899,163562,835,843863,1191697,347834,347834,184272,15863,,,0.97,50475,116809,164397,,1186,756171,1011982
2015-11-09,3,2015,,-1526,11345,,,,115895,140481,140481,115895,1.16,115895.0,42573,128227,2015年第3季,137622,253517,137622,253517,171569,8626,956131,1317927,361796,361796,190227,16151,,,1.15,45849,137622,180195,,1193,888043,1177446
2016-03-25,4,2015,-7780.0,-11325,32599,32599.0,,,9692,839164,839164,17472,4.86,17472.0,160990,506109,2015年度,576729,586421,576729,586421,721297,16422,3837807,5330535,1492728,1492728,771431,62817,-9374.0,,4.79,202505,576729,737719,-1594.0,4852,3391288,4491371
2016-05-10,1,2016,,-626,9541,,,,-29927,260408,260408,-29927,0.92,-29927.0,17709,124112,2016年01月01日至2016年03月31日,109209,79282,109209,79282,118772,8146,873126,1177900,304774,304774,186002,14640,,,0.91,47250,109209,126918,,769,716309,917492
2016-08-10,2,2016,,1666,11715,,0.0,,-23790,235114,235114,-23790,1.1,-23790.0,44770,127633,2016年第2季,130067,106277,130067,106277,162193,12644,806296,1153990,347694,347694,185501,13877,,,1.09,43991,130067,174837,,737,670557,918876
2016-11-07,3,2016,,-11358,7703,,,,-70658,216576,216576,-70658,1.02,-70658.0,23290,126017,2016年第3季,121366,50708,121366,50708,149000,-4344,840648,1176851,336203,336203,187203,14780,,,1.02,46406,121366,144656,,689,750464,960275
