date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額
2013-05-14,1,2013,,-1202,31406,-5720.0,27938,33658,0.14,0.14,,5182,24228,2013年01月01日至2013年03月31日,22233,50171,22233,50171,-322,27737,556186,624199,68013,68013,68335,15952,,,,,28155,22233,27415,,2467,556186,624199
2013-08-08,2,2013,,-1350,7310,-2400.0,11737,14137,-0.19,-0.19,,-2213,21520,2013年04月01日至2013年06月30日,-30989,-19252,-30989,-19252,-37024,3822,510975,539351,28376,28376,65400,14319,,,,,29561,-30989,-33202,,2138,510975,539351
2013-11-11,3,2013,,-16833,12948,2917.0,-14238,-17155,-0.67,-0.67,,374,15791,2013年07月01日至2013年09月30日,-107650,-121888,-107650,-121888,-101396,-5880,484745,457883,-26862,-26862,74534,22389,,,,,36354,-107650,-107276,,1995,484745,457883
2014-03-25,4,2013,,-23022,59104,-7230.0,35384,42578,-0.58,-0.58,,8126,89083,2013年01月01日至2013年12月31日,-94243,-58859,-94243,-58859,-113475,27358,2111060,2291230,180170,180170,293645,67838,,36.0,,,136724,-94243,-86117,,8724,2111060,2291230
2014-05-06,1,2014,,-17464,11053,-2780.0,13538,16318,-0.31,-0.31,,0,22280,2014年01月01日至2014年03月31日,-50466,-36928,-50466,-36928,-41483,-8983,407158,435190,28032,28032,69515,14263,,,,,32972,-50466,-50466,,2572,407158,435190
2014-08-11,2,2014,,-14831,8114,3390.0,-16508,-19898,-0.47,,,0,19652,2014年第2季,-75601,-92109,-75601,-92109,-66396,-9205,278952,272973,-5979,-5979,60417,15788,,,,,24977,-75601,-75601,,2488,278952,272973
2014-11-11,3,2014,,-8442,32562,-2690.0,13106,15796,-0.44,,,0,20623,2014年第3季,-70699,-57593,-70699,-57593,-92793,22094,292530,305300,12770,12770,105563,14611,,,,,70329,-70699,-70699,,2026,292530,305300
2015-03-26,4,2014,,-48925,70510,-9050.0,43847,53223,-1.24,-1.24,,627,72770,2014年度,-200986,-157139,-200986,-157139,-213047,12688,1310219,1397804,87585,87585,300632,60077,,-326.0,,,167785,-200986,-200359,,8897,1310219,1397804
2015-05-07,1,2015,,-8522,10724,,-8696,-10476,-0.08,-0.08,-8696.0,0,18106,2015年01月01日至2015年03月31日,-13049,-21745,-13049,-21745,-13615,566,365851,408503,42652,42652,56267,15059,,,,,23102,-13049,-13049,-1780.0,1636,365851,408503
2015-08-05,2,2015,,-29543,38419,,-7258,-8748,0.12,0.12,-7258.0,0,28432,2015年第2季,18927,11669,18927,11669,11589,7338,314558,384931,70373,70373,58784,17340,,,0.12,0.12,13012,18927,18927,-1490.0,1538,314558,384931
2015-11-09,3,2015,,-8411,17673,,41304,49764,-0.09,-0.09,41304.0,0,31444,2015年第3季,-14033,27271,-14033,27271,-21710,7677,372059,429649,57590,57590,79300,17455,,,-0.09,-0.09,30401,-14033,-14033,8460.0,1585,372059,429649
2016-03-17,4,2015,-74.0,-62781,102345,,11066,13420,0.29,0.29,11140.0,2577,111444,2015年度,47480,58546,47480,58546,16709,33348,1462647,1758584,295937,295937,279228,66020,-74.0,,,,101764,47480,50057,2280.0,6216,1462647,1758584
2016-05-05,1,2016,,-11308,36305,,-15862,-19110,0.23,,-15862.0,12011,31727,2016年01月01日至2016年03月31日,37682,21820,37682,21820,25885,23808,401744,505665,103921,103921,78036,14906,,,,,31403,37682,49693,-3248.0,1189,401744,505665
2016-08-08,2,2016,,-12876,33902,,-8030,-9673,0.21,,-8030.0,12492,36691,2016年第2季,32933,24903,32933,24903,25690,19735,429942,539936,109994,109994,84304,14395,,,0.2,,33218,32933,45425,-1643.0,1291,429942,539936
2016-11-08,3,2016,,-7690,33015,,-28908,-34828,0.19,0.19,-28908.0,10923,31869,2016年第3季,30884,1976,30884,1976,18269,23538,456553,562656,106103,106103,87834,15757,,,0.19,0.19,40208,30884,41807,-5920.0,1787,456553,562656
