date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,2916,18086,776,2916,48,-0.12,,0,-718,24417,2013年01月01日至2013年03月31日,-9902,-6986,-9219,-6303,-27998,18096,131645,172940,41295,41295,69293,25973,,,18903,-9902,-9902,48,172940,172940,-683,-683.0
2013-08-09,2,2013,,,-1338,4503,831,-1338,52,-0.23,,0,-702,19933,2013年04月01日至2013年06月30日,-17650,-18988,-17175,-18513,-22230,4580,139621,184594,44973,44973,67203,28230,,,19040,-17650,-17650,52,184594,184594,-475,-475.0
2013-11-06,3,2013,,0.0,-1146,-8593,1156,-1146,58,-0.23,,0,-562,21868,2013年07月01日至2013年09月30日,-17156,-18302,-17014,-18160,-9099,-8057,151011,209304,58293,58293,67392,27028,,,18496,-17156,-17156,58,209304,209304,-142,-142.0
2014-03-26,4,2013,,,998,1982,3502,1204,211,-0.99,,5222,2734,89116,2013年01月01日至2013年12月31日,-76067,-74863,-73585,-72381,-78852,8007,572591,762503,189912,189912,268764,105069,,206.0,74579,-76067,-70845,211,762503,762503,-2482,-2482.0
2014-04-29,1,2014,,,-1596,12480,620,-1596,50,-0.11,,0,-734,19828,2014年01月01日至2014年03月31日,-8221,-9817,-8221,-9817,-20537,12316,118818,166398,47580,47580,68117,28861,,,19428,-8221,-8221,50,166398,166398,0,0.0
2014-08-08,2,2014,,,561,-7122,784,561,56,-0.6,,0,-472,25751,2014年第2季,-44527,-43966,-44527,-43966,-37661,-6866,136507,187828,51321,51321,88982,37831,,,25400,-44527,-44527,56,187828,187828,0,0.0
2014-11-07,3,2014,,0.0,-632,5598,546,-632,131,-0.27,,0,-419,20265,2014年第3季,-20575,-21207,-20575,-21207,-26169,5594,140771,186618,45847,45847,72016,34403,,,17348,-20575,-20575,131,186618,186618,0,0.0
2015-03-25,4,2014,,,-1866,32380,2541,-675,330,-1.19,,2128,-1994,85950,2014年度,-88447,-89122,-88447,-89122,-118916,32597,524241,705908,181667,181667,300583,134818,,1191.0,79815,-88447,-86319,330,705908,705908,0,0.0
2015-05-07,1,2015,,,661,-4316,1528,661,0,-0.65,661.0,0,-516,18529,2015年01月01日至2015年03月31日,-48946,-48285,-48946,-48285,-45642,-3304,85368,112665,27297,27297,72939,33838,,,20572,-48946,-48946,0,112665,112665,0,0.0
2015-08-07,2,2015,,,-159,-2790,386,-159,0,-0.67,-159.0,0,-524,18926,2015年第2季,-50182,-50341,-50182,-50341,-47254,-2928,70265,93020,22755,22755,70009,31490,,,19593,-50182,-50182,0,93020,93020,0,
2015-11-06,3,2015,,0.0,211,24498,353,211,0,-0.03,211.0,0,-478,18732,2015年第3季,-2433,-2222,-2433,-2222,-26806,24373,98051,137063,39012,39012,65818,30447,,,16639,-2433,-2433,0,137063,137063,0,0.0
2016-03-18,4,2015,-358.0,,326,16089,2699,-32,0,-1.7,326.0,-2550,-2195,76545,2015年度,-127391,-127423,-127391,-127423,-146534,16593,347556,473056,125500,125500,272034,120484,-358.0,,75005,-127391,-129941,0,473056,473056,0,0.0
2016-05-12,1,2016,,,130,1066,316,130,0,-0.31,130.0,0,-561,21199,2016年01月01日至2016年03月31日,-23459,-23329,-23459,-23329,-24280,821,83344,117219,33875,33875,58155,19706,,,17250,-23459,-23459,0,117219,117219,0,0.0
2016-08-05,2,2016,,,-34,-4659,360,-34,0,-0.42,-34.0,96,-546,18006,2016年第2季,-31454,-31488,-31454,-31488,-26513,-4845,81709,110776,29067,29067,55580,19210,,,18364,-31454,-31358,0,110776,110776,0,
2016-11-04,3,2016,,0,-192,-14125,335,-192,0,-0.47,-192,0,-348,18042,2016年第3季,-35471,-35663,-35471,-35663,-21333,-14138,106269,144923,38654,38654,59987,22917,,,19028,-35471,-35471,0,144923,144923,0,0
