date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,919,38880,357161,357161,1.23,1.23,,170083,11178,,45161,2013年01月01日至2013年03月31日,439265,796426,317431,593939,568978,40370,10161441,11093341,931900,931900,362922,108745,,,1.23,1.23,209016,439265,609348,10607,121834,202487
2013-08-12,2,2013,,,52121,39959,89577,89577,0.97,0.97,,116918,18769,,166371,2013年04月01日至2013年06月30日,359044,448621,261072,342841,374232,101730,10344169,11210429,866260,866260,492028,113005,,,0.96,0.96,212652,359044,475962,9119,97972,105780
2013-10-28,3,2013,,,4090,55325,-196440,-196440,1.12,1.12,,180468,27107,,57993,2013年07月01日至2013年09月30日,410632,214192,301519,134141,514630,76470,9092440,9989635,897195,897195,382565,109355,,,1.12,1.12,215217,410632,591100,10052,109113,80051
2014-03-17,4,2013,,5187.0,61410,198351,301973,298228,4.47,4.47,,610755,82503,,321146,2013年01月01日至2013年12月31日,1637555,1939528,1205992,1518009,1946156,302154,37650276,41245336,3595060,3595060,1648904,444731,,-1442.0,4.43,4.43,883027,1637555,2248310,40110,431563,421519
2014-04-29,1,2014,,,-200656,88592,264837,264837,0.39,0.39,,117822,15808,,42601,2014年01月01日至2014年03月31日,129156,393993,106128,309234,354709,-107731,6956798,7673696,716898,716898,362189,107301,,,0.39,0.39,212287,129156,246978,11475,23028,84759
2014-08-11,2,2014,,,-21055,92344,-290552,-290552,0.87,0.87,,208638,26752,,61260,2014年第2季,347363,56811,245360,22905,469657,86344,7862837,8734558,871721,871721,402064,113631,,,0.87,0.87,227173,347363,556001,11697,102003,33906
2014-10-28,3,2014,,0.0,50174,70422,245650,245650,1.21,1.21,,104169,27810,,61872,2014年第3季,372926,618576,341292,592613,345427,131668,8280028,9079059,799031,799031,453604,123639,,0.0,1.21,1.21,268093,372926,477095,16738,31634,25963
2015-03-13,4,2014,,-117390.0,-212685,335750,664600,782656,3.78,3.78,,541223,89087,,231808,2014年度,1224047,1888647,1061754,1739697,1611556,153714,30698825,33961612,3262787,3262787,1651231,464616,,-666.0,3.74,3.74,954807,1224047,1765270,58438,162293,148950
2015-04-28,1,2015,,,-15845,69931,-161533,-161533,0.92,0.92,-161533.0,-37322,16287,,52921,2015年01月01日至2015年03月31日,257184,95651,259739,98095,164631,55231,6632508,7174700,542192,542192,377561,112789,,,0.92,0.92,211851,257184,219862,15142,-2555,-2444
2015-08-10,2,2015,,,-728,48777,-199084,-199084,0.66,0.66,-199084.0,122285,12330,,59842,2015年第2季,190619,-8465,195676,-3045,267505,45399,6524160,7164889,640729,640729,373224,115230,,,0.66,0.66,198152,190619,312904,14980,-5057,-5420
2015-10-30,3,2015,,,-102884,58833,883694,883694,0.78,0.78,883694.0,117483,7977,,52369,2015年第3季,224143,1107837,229849,1113268,393357,-51731,7111567,7903835,792268,792268,398911,126437,,,0.78,0.78,220105,224143,341626,15657,-5706,-5431
2016-03-23,4,2015,-440.0,-64642.0,-172293,246213,363409,413681,3.05,3.05,363849.0,304950,39823,14810.0,233315,2015年度,869138,1232547,898348,1264706,1118680,55408,27445412,30145169,2699757,2699757,1581077,486644,-440.0,,3.03,3.03,861118,869138,1174088,58335,-29210,-32159
2016-04-29,1,2016,,,-40259,50611,-285381,-282481,0.71,0.71,-285381.0,42774,-11525,-2900.0,57149,2016年01月01日至2016年03月31日,203064,-82317,208930,-76435,258910,-13072,6174260,6829218,654958,654958,396048,125750,,,0.71,0.71,213149,203064,245838,11899,-5866,-5882
2016-08-08,2,2016,0.0,0.0,-98602,67667,868,4602,0.14,0.14,868.0,77651,-29139,-3734.0,50430,2016年第2季,31793,32661,42156,43179,179971,-70527,5917818,6440279,522461,522461,342490,122572,0.0,,0.14,0.14,169488,31793,109444,10453,-10363,-10518
2016-10-28,3,2016,,,-80760,53899,-427579,-421710,0.62,0.62,-427579.0,76656,-34683,-5869.0,122465,2016年第3季,172529,-255050,182365,-240479,321402,-72217,7535279,8304281,769002,769002,447600,123349,,,0.62,0.62,201786,172529,249185,10673,-9836,-14571
