date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,3282,16915,4748,3836,554,0.72,0.72,,13326,28645,2013年01月01日至2013年03月31日,73636,77472,85023,88859,65521,21441,1069951,1404609,334658,334658,269137,197778,,,0.71,0.71,42714,73636,86962,222,-11387,-11387
2013-08-07,2,2013,,-9219,5406,4952,-8914,305,0.77,0.77,,17732,25809,2013年04月01日至2013年06月30日,81523,72609,90723,81809,89118,10137,1057595,1421849,364254,364254,275136,208087,,,0.76,0.76,41240,81523,99255,221,-9200,-9200
2013-11-06,3,2013,,-14855,22,17430,-15086,-231,0.99,0.99,,36469,22081,2013年07月01日至2013年09月30日,107960,92874,117140,102054,127758,16671,1297491,1703466,405975,405975,278217,210494,,,0.99,0.99,45642,107960,144429,781,-9180,-9180
2014-03-18,4,2013,,-36747,56946,36945,-18517,1016,3.63,3.63,,106918,101959,2013年01月01日至2013年12月31日,393390,374873,428565,410048,407829,92479,4819826,6337663,1517837,1517837,1110008,832521,,17214.0,3.59,3.59,175528,393390,500308,1412,-35175,-35175
2014-05-06,1,2014,,28609,10619,6117,28525,-84,1.22,1.22,,28998,26615,2014年01月01日至2014年03月31日,139402,167927,143925,172450,152025,16375,1092607,1530254,437647,437647,285622,206081,,,1.2,1.2,52926,139402,168400,361,-4523,-4523
2014-08-05,2,2014,,-8169,-12221,4857,-8550,-381,1.23,1.23,,31379,31087,2014年第2季,146576,138026,145874,137324,185825,-7870,1301452,1798491,497039,497039,311214,224957,,,1.22,1.22,55170,146576,177955,506,702,702
2014-11-05,3,2014,,-33293,18747,9020,-32771,522,1.6,1.6,,36322,32987,2014年第3季,195579,162808,188924,156153,204522,27379,1545101,2085033,539932,539932,335410,234532,,,1.58,1.58,67891,195579,231901,388,6655,6655
2015-03-17,4,2014,,16201,48780,52281,14519,743,6.02,6.02,,129202,124755,2014年度,718574,733093,711517,726036,748494,99282,5529408,7595150,2065742,2065742,1317248,927179,,-2425.0,5.93,5.93,265314,718574,847776,1779,7057,7057
2015-05-07,1,2015,,-10941,-11696,12017,-11116,-175,1.65,1.65,-11116.0,44144,44666,2015年01月01日至2015年03月31日,197709,186593,195722,184606,243172,-1319,1489289,2098675,609386,609386,366214,245454,,,1.63,1.63,76094,197709,241853,1640,1987,1987
2015-08-07,2,2015,,-90091,-12614,18933,-90387,-296,1.33,1.33,-90387.0,26044,37165,2015年第2季,153078,62691,157843,67456,175340,3782,1557089,2082764,525675,525675,350335,250127,,,1.32,1.32,63043,153078,179122,2537,-4765,-4765
2015-11-06,3,2015,,14722,31650,25768,15583,861,1.97,1.97,15583.0,58833,52005,2015年第3季,242063,257646,233418,249001,246033,54863,1822799,2473988,651189,651189,405156,269583,,,1.95,1.95,83568,242063,300896,2555,8645,8645
2016-03-16,4,2015,-6903.0,-94456,-1112,73669,-101788,-429,7.05,,-94885.0,181623,178168,2015年度,845829,744041,835434,733646,963462,63990,6785084,9266108,2481024,2481024,1517562,1041878,-6903.0,,6.95,,297516,845829,1027452,8567,10395,10395
2016-05-06,1,2016,,-16327,-19840,11623,-16406,-79,1.97,1.97,-16406.0,57974,33438,2016年01月01日至2016年03月31日,242994,226588,234061,217655,310083,-9115,1596485,2293837,697352,697352,387269,268082,,,1.95,1.95,85749,242994,300968,898,8933,8933
2016-08-05,2,2016,,21946,-4397,12384,21357,-589,1.87,1.87,21357.0,41153,42023,2016年第2季,235518,256875,221562,242919,268799,7872,1740076,2397574,657498,657498,388699,274439,,,1.85,1.85,72237,235518,276671,115,13956,13956
2016-11-04,3,2016,,-24437,-23345,19071,-25100,-663,2.53,2.53,-25100.0,31369,30671,2016年第3季,317921,292821,299919,274819,353643,-4353,2090902,2875078,784176,784176,430533,294924,,,2.5,2.5,104938,317921,349290,79,18002,18002
