date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,260,24167,6982,,1432,1172,1.47,1.47,,21724,737,66975,2013年01月01日至2013年03月31日,124170,125602,126416,127848,115274,30620,600118,906060,305942,305942,190668,97116,,,1.42,1.42,26577,124170,145894,,1266,-2246,-2246
2013-08-07,2,2013,,557,7454,6463,,-4272,-4829,1.66,1.66,,22293,65,71483,2013年04月01日至2013年06月30日,138580,134308,142145,137873,148233,12640,659486,1016100,356614,356614,208381,107469,,,1.61,1.61,29429,138580,160873,,1342,-3565,-3565
2013-11-06,3,2013,,-888,-942,11301,,-1307,-419,1.81,1.81,,27193,14,66654,2013年07月01日至2013年09月30日,151815,150508,155078,153771,170027,8981,663528,1042582,379054,379054,209027,113516,,,1.78,1.78,28857,151815,179008,,1392,-3263,-3263
2014-03-20,4,2013,,6967,40359,32538,127.0,8325,1970,6.33,6.33,,105173,890,266564,2013年01月01日至2013年12月31日,530338,538663,542562,550887,566953,68558,2520995,3896509,1375514,1375514,808561,430561,,-739.0,6.15,6.15,111436,530338,635511,,5229,-12224,-12224
2014-05-13,1,2014,,-7678,16656,10208,,-7889,-211,1.87,1.87,,23216,9,65710,2014年01月01日至2014年03月31日,157762,149873,160543,152654,155000,25978,599492,959618,360126,360126,205126,108371,,,1.84,1.84,31045,157762,180978,,895,-2781,-2781
2014-08-07,2,2014,,243,-23718,12262,,-636,-879,1.39,1.39,,30339,58,61819,2014年第2季,115961,115325,118831,118195,158967,-12667,618751,974146,355395,355395,196428,107970,,,1.36,1.36,26639,115961,146300,,1269,-2870,-2870
2014-11-11,3,2014,,0,29354,18522,,1168,1168,2.16,2.16,,27514,61,67903,2014年第3季,182324,183492,185236,186404,163160,46678,676311,1049585,373274,373274,210114,112831,,,2.13,2.13,29380,182324,209838,,1259,-2912,-2912
2015-03-18,4,2014,,221,61189,53716,292.0,336,1543,7.09,7.09,,106908,158,270705,2014年度,595286,595622,607660,607996,591763,110431,2531243,3941557,1410314,1410314,818551,432861,,-1720.0,6.91,6.91,114985,595286,702194,,4632,-12374,-12374
2015-05-13,1,2015,,27892,3669,8128,,27406,-486,1.31,1.31,27406.0,20918,53,67755,2015年01月01日至2015年03月31日,111171,138577,112087,139493,121212,10877,574534,889674,315140,315140,193928,96748,,,1.28,1.28,29425,111171,132089,,973,-916,-916
2015-08-12,2,2015,,-100755,-15346,7059,,-101380,-625,0.76,0.76,-101380.0,26872,44,64939,2015年第2季,63987,-37393,65130,-36250,100167,-9308,547834,827251,279417,279417,179250,89967,,,0.74,0.74,24344,63987,90859,,1065,-1143,-1143
2015-11-11,3,2015,,-49340,47613,22125,,-47523,1817,1.77,1.77,-47523.0,25499,46,73756,2015年第3季,150515,102992,151445,103922,107574,68440,563305,876967,313662,313662,206088,105954,,,1.75,1.75,26378,150515,176014,,1344,-930,-930
2016-03-16,4,2015,-3302.0,-74071,33696,44125,,-78196,-823,5.06,5.06,-74894.0,81029,171,272711,2015年度,430732,352536,433924,355728,438536,73225,2267772,3473324,1205552,1205552,767016,391633,-3978.0,,4.92,4.92,102672,430732,511761,-676.0,4767,-3192,-3192
2016-05-11,1,2016,,-1277,-11511,6688,,-1958,-681,1.01,1.01,-1958.0,18300,77,69978,2016年01月01日至2016年03月31日,86538,84580,86539,84581,110840,-6002,542476,846382,303906,303906,193066,99126,,,0.99,0.99,23962,86538,104838,,1256,-1,-1
2016-08-10,2,2016,,5705,2542,7101,,4332,-1373,0.96,0.96,4332.0,30449,136,65602,2016年第2季,82649,86981,82649,86981,104778,8320,573071,860362,287291,287291,182513,93556,,,0.96,0.96,23355,82649,113098,,1459,0,0
2016-11-10,3,2016,,49216,-23326,20691,,46894,-2322,1.17,1.17,46894.0,17800,96,68697,2016年第3季,99986,146880,99986,146880,121572,-3786,642052,957241,315189,315189,193617,102262,,,1.15,1.15,22658,99986,117786,,1247,0,0
