date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-06,1,2013,,1654,12806,38701,46081,0.66,0.66,,43030,53506,2013年01月01日至2013年03月31日,79127,117828,79127,117828,108399,13758,602472,851994,249522,249522,141123,26681,,,0.65,0.65,60936,79127,122157,,7380.0,,702
2013-08-12,2,2013,,-6618,9206,25937,30803,0.77,0.77,,26451,50833,2013年04月01日至2013年06月30日,92492,118429,92492,118429,117134,1809,681177,950948,269771,269771,152637,29573,,,0.76,0.76,72231,92492,118943,,4866.0,,779
2013-11-11,3,2013,,-9014,17701,-17241,-20550,0.67,0.67,,20025,59745,2013年07月01日至2013年09月30日,81017,63776,81017,63776,93440,7602,710796,972326,261530,261530,168090,34172,,,0.67,0.67,74173,81017,101042,,-3309.0,,1085
2014-03-24,4,2013,,-13503,52283,76740,93373,2.85,2.85,,113104,232352,2013年01月01日至2013年12月31日,341832,418572,341832,418572,420930,34006,2675089,3723563,1048474,1048474,627544,121329,,-2344.0,2.81,2.81,273863,341832,454936,,14289.0,,4774
2014-05-07,1,2014,,3598,12602,-3730,-5538,1.14,1.14,,34546,65626,2014年01月01日至2014年03月31日,136370,132640,136370,132640,156735,14181,649708,967984,318276,318276,161541,33177,,,1.12,1.12,62738,136370,170916,,-1808.0,,2019
2014-08-11,2,2014,,-10127,9707,-31405,-36791,1.62,1.62,,37562,77419,2014年第2季,194582,163177,194582,163177,234757,-2613,747923,1167203,419280,419280,184523,34625,,0.0,1.62,1.62,72479,194582,232144,,-5386.0,,2193
2014-11-10,3,2014,,3142,13782,35499,42886,0.8,0.8,,28896,61113,2014年第3季,95470,130969,95470,130969,110287,14079,818326,1093453,275127,275127,164840,39128,,,0.8,0.8,64599,95470,124366,,7387.0,,2845
2015-03-17,4,2014,,24310,43338,49621,58631,4.52,4.52,,168622,276960,2014年度,541272,590893,541272,590893,652376,57518,3109808,4472988,1363180,1363180,710804,151167,,80.0,4.47,4.47,282677,541272,709894,,9090.0,,10130
2015-04-29,1,2015,,-8883,12477,-23254,-26046,0.73,0.73,-23254.0,42364,62505,2015年01月01日至2015年03月31日,87580,64326,87580,64326,128126,1818,722406,1014992,292586,292586,164460,38134,,,0.72,0.72,63821,87580,129944,,,-2792.0,1776
2015-07-28,2,2015,,-7405,9710,-20744,-24812,0.95,0.95,-20744.0,30034,63008,2015年第2季,113365,92621,113365,92621,142835,564,744124,1058692,314568,314568,171733,41927,,,0.94,0.94,66798,113365,143399,,,-4068.0,1741
2015-10-28,3,2015,,47847,7941,80113,93522,1.12,1.12,80113.0,33395,64124,2015年第3季,134065,214178,134065,214178,114818,52642,806037,1093490,287453,287453,172635,41500,,,1.12,1.12,67011,134065,167460,,,13409.0,3146
2016-03-22,4,2015,-2668.0,50403,30395,-36593,-41287,4.22,4.22,-33925.0,160073,256324,2015年度,504834,468241,504834,468241,593209,71698,3148434,4439229,1290795,1290795,697586,162191,-3215.0,,4.15,4.15,279071,504834,664907,-547.0,,-7362.0,9100
2016-05-10,1,2016,,-14585,3397,-3240,-3377,0.93,0.93,-3240.0,56163,69591,2016年01月01日至2016年03月31日,111430,108190,111430,108190,180751,-13158,818501,1175155,356654,356654,175903,39949,,,0.92,0.92,66363,111430,167593,,,-137.0,1970
2016-07-26,2,2016,,21753,3851,-44409,-53259,1.42,1.42,-44409.0,50287,92826,2016年第2季,169569,125160,169569,125160,196142,23714,1021745,1428286,406541,406541,210399,47834,,,1.41,1.41,69739,169569,219856,,,-8850.0,1890
2016-11-08,3,2016,,-16342,2824,-62919,-74473,1.12,1.12,-62919.0,47048,68547,2016年第3季,134007,71088,134007,71088,196673,-15618,890659,1268253,377594,377594,180921,43255,,,1.12,1.12,69119,134007,181055,,,-11554.0,2100
