date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,28853,-28864,58135,69477,40624,0.65,0.65,,87758,23670,2013年01月01日至2013年03月31日,584007,653484,474385,544855,632928,38837,10388802,11426922,1038120,1038120,405192,23287,,0.63,0.63,381905,584007,671765,,14104,109622,108629
2013-08-13,2,2013,,5835,-140682,24634,46473,40638,0.59,0.59,,113676,14403,2013年04月01日至2013年06月30日,501626,548099,427614,470701,732075,-116773,11978899,13153437,1174538,1174538,442463,24536,,0.58,0.58,417927,501626,615302,,15128,74012,77398
2013-11-13,3,2013,,31808,106471,94167,-4184,-35992,0.52,0.52,,136547,10073,2013年07月01日至2013年09月30日,495125,490941,382640,380849,436001,195671,11549596,12505675,956079,956079,520078,31348,,0.51,0.51,488730,495125,631672,,15040,112485,110092
2014-03-28,4,2013,,51916,723,175479,86584,34668,2.22,2.22,,474134,74059,2013年01月01日至2013年12月31日,2035776,2122360,1641730,1729559,2365775,144135,48004905,52221958,4217053,4217053,1851278,107525,,2.17,2.17,1743753,2035776,2509910,,106126,394046,392801
2014-05-14,1,2014,,-13391,-41968,64973,-8488,4903,0.51,0.51,,104677,10412,2014年01月01日至2014年03月31日,481037,472549,384009,376987,569868,15846,11189789,12125362,935573,935573,365705,23176,,0.51,0.51,342529,481037,585714,,17571,97028,95562
2014-08-08,2,2014,,53010,-122761,128745,13126,-39884,0.51,0.51,,126917,13392,2014年第2季,476469,489595,381228,398634,592273,11113,12897093,13884242,987149,987149,394876,26182,,0.5,0.5,368694,476469,603386,,8263,95241,90961
2014-11-07,3,2014,,-56412,85322,99311,-3695,52717,0.62,0.62,,141044,4525,2014年第3季,607319,603624,464941,465787,570349,178014,13537254,14555478,1018224,1018224,447875,23157,,0.61,0.61,424718,607319,748363,,11144,142378,137837
2015-03-19,4,2014,,-86616,167836,352471,583,87199,2.51,2.51,,584468,31199,2014年度,2321728,2322311,1882119,1903144,2443695,462501,53526514,57691937,4165423,4165423,1721728,103994,,2.48,2.48,1617734,2321728,2906196,,89005,439609,419167
2015-05-08,1,2015,0.0,-21982,-80826,53405,-62692,-40710,0.56,0.56,-62692.0,155277,-7873,2015年第1季,533124,470432,422287,363911,746495,-58094,12222546,13378271,1155725,1155725,409230,26117,0.0,0.55,0.55,383113,533124,688401,,22800,110837,106521
2015-08-07,2,2015,0.0,-35366,-66969,51644,-89234,-53868,0.75,0.75,-89234.0,167303,-655,2015年第2季,695024,605790,566360,494067,896036,-33709,15231743,16485313,1253570,1253570,357534,16436,0.0,0.74,0.74,341098,695024,862327,,17729,128664,111723
2015-11-06,3,2015,0.0,-128746,318995,66617,-8299,120447,0.59,0.59,-8299.0,230497,9254,2015年第3季,624808,616509,451780,458670,479804,375501,15083701,16439837,1356136,1356136,876332,31765,0.0,0.59,0.59,844567,624808,855305,,19365,173028,157839
2016-03-18,4,2015,-127022.0,-101322,171698,231356,-393515,-165171,2.69,2.69,-266493.0,750509,5154,2015年度,2570143,2176628,2040610,1695145,3001912,318740,61621562,67057640,5436078,5436078,2434166,104900,-151730.0,2.68,2.68,2329266,2570143,3320652,-24708.0,89468,529533,481483
2016-05-06,1,2016,,-2316,117440,18461,-15436,-13120,0.62,0.62,-15436.0,279818,28341,2016年01月01日至2016年03月31日,857389,841953,467994,453803,1001598,135609,12176474,13633689,1457215,1457215,455617,27328,,0.61,0.61,428289,857389,1137207,,28633,389395,388150
2016-08-05,2,2016,,-2325,-157747,58358,-7371,-5046,0.74,0.74,-7371.0,186047,-9704,2016年第2季,693633,686262,560784,546818,1007595,-127915,16675062,18154909,1479847,1479847,472252,25078,,0.73,0.73,447174,693633,879680,,18822,132849,139444
2016-11-04,3,2016,,-21866,-95057,34970,-123596,-101730,0.92,0.92,-123596.0,246954,4823,2016年第3季,875899,752303,701601,584856,1193882,-71029,16971045,18746192,1775147,1775147,581265,35766,,0.92,0.92,545499,875899,1122853,,15765,174298,167447
