date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,80681,2376,1075,4700,101092,20411,0.31,0.31,,20329,209256,2013年01月01日至2013年03月31日,68825,169917,71984,170827,97982,-8828,3999863,4380233,380370,380370,287088,,,,,77832,68825,89154,,,12279,-3159,-910
2013-08-05,2,2013,,-542199,8769,31389,3200,-533871,8328,0.06,0.06,,18851,202011,2013年04月01日至2013年06月30日,8308,-525563,14782,-520443,-2413,29572,3927994,4203846,275852,275852,281465,,,,,79454,8308,27159,,,10586,-6474,-5120
2013-11-05,3,2013,,-137717,3288,15274,1329,-144321,-6604,0.7,0.7,,32546,222358,2013年07月01日至2013年09月30日,164408,20087,160761,16967,188783,8171,4327202,4820713,493511,493511,306057,,,,,83699,164408,196954,,,10391,3647,3120
2014-02-10,4,2013,,-192085,19676,48105,13443,-148276,28211,1.95,1.95,,112842,834811,2013年01月01日至2013年12月31日,451728,303452,453081,299575,539837,24733,16437261,18122414,1685153,1685153,1158759,,18793.0,,,323948,451728,564570,,3195.0,43048,-1353,3877
2014-05-05,1,2014,,-182184,17977,446,11382,-171560,10624,0.87,0.87,,41867,190457,2014年01月01日至2014年03月31日,206612,35052,202586,30117,239762,8717,3660679,4158339,497660,497660,269280,,,,,78823,206612,248479,,,9706,4026,4935
2014-08-05,2,2014,,-73222,11072,15401,-5003,-84294,-11072,0.78,0.78,,56319,202437,2014年第2季,185966,101672,179473,96502,224898,17387,3797195,4309282,512087,512087,282186,,,,,79749,185966,242285,,,9086,6493,5170
2014-11-03,3,2014,,207668,586,18153,14834,218805,11137,0.69,0.69,,44991,211238,2014年第3季,177734,396539,167949,385203,212203,10522,4048009,4541137,493128,493128,295759,,,,,84521,177734,222725,,,8217,9785,11336
2015-03-23,4,2014,,-289831,21730,34652,8237,-137533,145830,3.21,3.21,,187134,796513,2014年度,808247,670714,782892,640960,973488,21893,15440281,17527760,2087479,2087479,1122228,,7792.0,3.21,3.21,325715,808247,995381,,1324.0,34489,25355,29754
2015-05-04,1,2015,,-277668,12103,684,-12346,-300526,-22858,0.72,0.72,-300526.0,42313,185190,2015年01月01日至2015年03月31日,178703,-121823,174847,-124666,216629,4387,3505592,4008464,502872,502872,273897,,,0.72,0.72,88707,178703,221016,,,8400,3856,2843
2015-08-10,2,2015,,37619,5110,28905,14552,16635,-20984,0.42,0.42,16635.0,54295,187535,2015年第2季,108402,125037,101870,119442,136452,26245,3538463,3929486,391023,391023,269123,,,0.42,0.42,81588,108402,162697,,,7770,6532,5595
2015-11-09,3,2015,,-289822,-20696,17641,-1919,-186013,103809,0.72,0.72,-186013.0,48917,215954,2015年第3季,203281,17268,191655,2009,261965,-9767,3870568,4436577,566009,566009,302125,,,0.71,0.71,86171,203281,252198,,,6712,11626,15259
2016-03-21,4,2015,-18001.0,-658989,9412,49298,-1025,-632175,44815,2.57,2.57,-614174.0,191409,781477,2015年度,721086,88911,687768,56189,884184,28311,14525501,16553896,2028395,2028395,1143186,-21688.0,,2.56,2.56,361709,721086,912495,-3687.0,,30399,33318,32722
2016-04-18,1,2016,,390574,6776,1554,4070,354690,-35884,0.95,0.95,354690.0,57645,193065,2016年01月01日至2016年03月31日,260953,615643,255296,610930,317308,1290,3645938,4255524,609586,609586,296348,,,0.95,0.95,103283,260953,318598,,,7040,5657,4713
2016-07-25,2,2016,,259146,6448,27870,149,249867,-9279,1.08,1.08,249867.0,76172,204550,2016年第2季,297624,547491,289019,541239,346093,27703,3684059,4338177,654118,654118,308174,,,1.08,1.08,103624,297624,373796,,,6615,8605,6252
2016-10-24,3,2016,,200622,7738,30527,-3167,140793,-59829,1.13,1.13,140793.0,70250,225951,2016年第3季,308611,449404,302051,445322,348239,30622,4037895,4734146,696251,696251,344845,,,1.13,1.13,118894,308611,378861,,,7643,6560,4082
