date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨收入淨額
2013-04-27,1,2013,,,20852,11619,53.0,252679,11566.0,252679.0,1.31,1.31,20852.0,75598,16139,2013年01月01日至2013年03月31日,230132,482811,230132,482811,283439,22291,587149,958883,371734,371734,88295,8288,4769,1.28,1.28,63868,230132,305730,10180,954114
2013-08-02,2,2013,,,34957,11592,221.0,125966,11371.0,125966.0,1.89,1.89,34957.0,150532,13222,2013年04月01日至2013年06月30日,377588,503554,377588,503554,491664,36456,1100610,1698782,598172,598172,106508,12462,4818,1.85,1.85,80824,377588,528120,10093,1693964
2013-11-06,3,2013,,,-33757,8463,8463.0,-139670,,-139670.0,2.25,2.25,,157325,24408,2013年07月01日至2013年09月30日,450081,310411,450081,310411,643432,-36026,1083336,1858231,774895,774895,131463,13459,4858,2.25,2.25,93596,450081,607406,10732,1853373
2014-03-17,4,2013,,,-41626,37887,37887.0,437685,,437685.0,6.44,6.44,,618537,79582,2013年01月01日至2013年12月31日,1287222,1724907,1287222,1724907,1951437,-45678,4775649,7180937,2405288,2405288,453851,52093,20048,6.43,6.43,322176,1287222,1905759,41939,7160889
2014-05-10,1,2014,,,32957,35498,35498.0,-40236,,-40236.0,1.53,1.53,,102514,20168,2014年01月01日至2014年03月31日,305947,265711,305947,265711,351819,56642,758476,1220099,461623,461623,109804,10665,7324,1.27,1.27,78971,305947,408461,11813,1212775
2014-08-08,2,2014,,,14008,3663,3663.0,-164185,,-164185.0,1.32,1.32,,120648,14985,2014年第2季,329008,164823,329008,164823,444835,4821,1009383,1566499,557116,557116,112281,13771,7118,1.13,1.13,83525,329008,449656,12850,1559381
2014-10-26,3,2014,,,15571,2833,2833.0,229627,,229627.0,1.13,1.13,,101828,24481,2014年第3季,281747,511374,281747,511374,370927,12648,928203,1420781,492578,492578,121651,15174,7177,1.1,1.1,81996,281747,383575,5756,1413604
2015-03-20,4,2014,,,88524,60651,60651.0,339461,,339461.0,4.54,4.54,,397330,82859,2014年度,1133135,1472596,1133135,1472596,1416900,113565,3519917,5381767,1861850,1861850,444950,53003,29002,4.09,4.09,309088,1133135,1530465,35610,5352765
2015-05-07,1,2015,-99418.0,-99418.0,-7552,39238,39238.0,-99418,,,0.27,0.27,,28893,15616,2015年01月01日至2015年03月31日,68099,-31319,68099,-31319,69429,27563,660739,840612,179873,179873,110444,14719,7442,0.27,0.27,80109,68099,96992,4123,833170
2015-08-11,2,2015,-139995.0,-139995.0,-8973,6331,6331.0,-139995,,,0.13,0.13,,31545,17155,2015年第2季,33531,-106464,33531,-106464,72224,-7148,939713,1120266,180553,180553,108329,22017,6539,0.13,0.13,69157,33531,65076,4506,1113727
2015-11-06,3,2015,424191.0,424191.0,23566,4328,4328.0,424191,,,0.43,0.43,,48067,18795,2015年第3季,111809,536000,111809,536000,137558,22318,1115230,1393315,278085,278085,140527,22122,5037,0.43,0.43,99610,111809,159876,5576,1388278
2016-03-08,4,2015,-182757.0,-182757.0,-5017,52130,52130.0,-182757,,,1.5,1.5,,185698,74533,2015年度,390463,207706,390463,207706,544994,31167,3941545,4984228,1042683,1042683,497689,69598,24097,1.5,1.5,353558,390463,576161,15946,4960131
2016-05-03,1,2016,-63638.0,-63638.0,-4122,1481,1481.0,-63638,,,0.44,0.44,,48253,20644,2016年01月01日至2016年03月31日,113708,50070,113708,50070,166058,-4097,941890,1234329,292439,292439,126381,16205,4683,0.44,0.44,89532,113708,161961,1456,1229646
2016-08-13,2,2016,-250610.0,-250610.0,-4087,1817,1817.0,-250610,,,0.55,0.55,,65446,20760,2016年第2季,142342,-108268,142342,-108268,211658,-3870,1170155,1516407,346252,346252,134594,19705,4670,0.55,0.55,94129,142342,207788,1600,1511737
2016-11-05,3,2016,-337566.0,-337566.0,-2720,1870,,-337566,,,0.51,0.51,,52516,23118,2016年第3季,133208,-204358,133208,-204358,188361,-2637,1212343,1532870,320527,320527,132166,18290,4481,0.51,0.51,90758,133208,185724,1787,1528389
