date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,874,779,2387,874,0.21,0.21,,846,1458,2013年01月01日至2013年03月31日,19526,20400,18779,19653,17241,3131,102813,138784,35971,35971,18730,2291,,,14981,19526,20372,,,35,747,747
2013-08-05,2,2013,,-911,-271,1839,-911,0.31,0.31,,1885,1397,2013年04月01日至2013年06月30日,29660,28749,28336,27425,30012,1533,110703,159889,49186,49186,19174,2382,,,15395,29660,31545,,,35,1324,1324
2013-11-12,3,2013,,2072,-1695,3341,2072,0.32,0.32,,4177,1230,2013年07月01日至2013年09月30日,29423,31495,29148,31220,31989,1611,104516,154710,50194,50194,18205,2294,,,14681,29423,33600,,,35,275,275
2014-03-21,4,2013,,2030,-437,9503,2766,1.08,1.08,,11453,5477,2013年01月01日至2013年12月31日,101751,104517,96980,99705,104327,8877,425704,603295,177591,177591,73264,9199,,783.0,58588,101751,113204,,47.0,189,4771,4812
2014-05-10,1,2014,,-141,585,1794,-141,0.17,0.17,,3237,1369,2014年01月01日至2014年03月31日,16175,16034,14973,14832,17068,2344,102507,138853,36346,36346,19278,2472,,,15437,16175,19412,,,35,1202,1202
2014-07-30,2,2014,,-256,-1577,1733,-256,0.28,0.28,,6020,1634,2014年第2季,26458,26202,25109,24853,32357,121,120269,172470,52201,52201,19844,2529,,,15681,26458,32478,,,35,1349,1349
2014-11-12,3,2014,,-871,1000,4511,-871,0.42,0.42,,7848,1278,2014年第3季,40481,39610,37558,36687,42853,5476,115952,177499,61547,61547,18694,2376,,,15040,40481,48329,,,35,2923,2923
2015-03-18,4,2014,,90,1716,9705,1267,1.21,1.21,,23730,5518,2014年度,111631,112898,104126,105358,124080,11281,437424,637513,200089,200089,76009,9284,,1268.0,61207,111631,135361,,91.0,140,7505,7540
2015-05-07,1,2015,,-922,-838,2383,-922,0.3,0.3,-922.0,5192,1474,2015年01月01日至2015年03月31日,23923,23001,21616,20694,27605,1510,95851,142816,46965,46965,19360,2000,,,15886,23923,29115,,,35,2307,2307
2015-08-12,2,2015,,-1643,-829,2196,-1643,0.52,0.52,-1643.0,7845,1439,2015年第2季,40327,38684,37283,35640,46840,1332,109874,177146,67272,67272,20432,2129,,,16864,40327,48172,,,35,3044,3044
2015-11-06,3,2015,,-3081,3706,2432,-3081,0.47,0.47,-3081.0,6497,1620,2015年第3季,35979,32898,33879,30798,36373,6103,98600,156140,57540,57540,21167,2107,,,17440,35979,42476,,,35,2100,2100
2016-03-18,4,2015,-445.0,-7968,1295,9135,-8413,1.64,1.64,-7968.0,24836,12997,2015年度,128695,120282,117752,109373,143241,10290,398824,630162,231338,231338,88097,8204,-469.0,,66896,128695,153531,-24.0,,140,10943,10909
2016-05-11,1,2016,,-265,-1280,1472,-265,0.4,0.4,-265.0,6686,1482,2016年01月01日至2016年03月31日,31915,31650,28866,28601,38440,161,90584,149850,59266,59266,20826,2101,,,17243,31915,38601,,,31,3049,3049
2016-08-11,2,2016,,-9,281,1298,-9,0.46,0.46,-9.0,8023,1333,2016年第2季,36443,36434,32891,32882,42917,1549,99514,163002,63488,63488,20571,2163,,,17075,36443,44466,,,30,3552,3552
2016-11-11,3,2016,,-1309,-3359,2656,-1309,0.33,0.33,-1309.0,6087,1621,2016年第3季,26298,24989,23641,22332,33247,-862,89811,143847,54036,54036,20789,2226,,,16942,26298,32385,,,159,2657,2657
