date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,2221,-61,978,2221,-0.03,-0.03,,1229,1286,2013年01月01日至2013年03月31日,-2067,154,-1922,299,0.0,0.0,0.0,-1722,884,38995,44643,5648,5648,7370,,,6084,-2067,-838,33,38995,44643,44643,44643,-145,-145
2013-08-09,2,2013,-352,-92,1921,-352,0.09,0.09,,-208,1677,2013年04月01日至2013年06月30日,6577,6225,6684,6332,7196.0,18729.0,18729.0,4582,1787,63454,76356,12902,12902,8320,0.09,0.09,6643,6577,6369,42,56258,57627,57627,57627,-107,-107
2013-11-11,3,2013,1702,-479,5687,1702,-0.14,-0.14,,3015,1202,2013年07月01日至2013年09月30日,-11766,-10064,-11632,-9930,241.0,0.0,0.0,-13937,5186,60126,52961,-7165,-7165,6772,0.0,0.0,5570,-11766,-8751,22,59885,52961,52961,52961,-134,-134
2014-03-24,4,2013,7272,-138,10547,7272,0.24,0.24,,4179,7321,2013年01月01日至2013年12月31日,19306,26578,19586,26858,52679.0,106761.0,106761.0,13218,10267,249922,296319,46397,46397,33179,0.24,0.24,25858,19306,23485,142,197243,189558,189558,189558,-280,-280
2014-05-06,1,2014,-1559,24,1058,-1559,-0.05,-0.05,,-1372,2822,2014年01月01日至2014年03月31日,-4107,-5666,-4046,-5605,21146.0,37556.0,37556.0,-6525,1046,56023,60064,4041,4041,10566,-0.05,-0.05,7744,-4107,-5479,36,34877,22508,22508,22508,-61,-61
2014-08-08,2,2014,762,1778,2167,762,-0.21,-0.21,,-1409,1562,2014年第2季,-16982,-16220,-16963,-16201,0.0,0.0,0.0,-22217,3826,53450,39187,-14263,-14263,7954,0.0,0.0,6392,-16982,-18391,119,53450,39187,39187,39187,-19,-19
2014-11-10,3,2014,-414,1332,2437,-414,-0.13,-0.13,,3555,858,2014年第3季,-11612,-12026,-11440,-11854,11406.0,18235.0,18235.0,-11674,3617,81541,79374,-2167,-2167,9507,,,8649,-11612,-8057,152,70135,61139,61139,61139,-172,-172
2015-03-24,4,2014,-4816,7388,7122,-4816,-0.54,-0.54,,2349,6728,2014年度,-46871,-51687,-46643,-51459,32552.0,55791.0,55791.0,-58339,13817,253269,233413,-19856,-19856,38483,0.0,0.0,31755,-46871,-44522,693,220717,177622,177622,177622,-228,-228
2015-05-04,1,2015,959,504,1553,959,-0.19,-0.19,959.0,1234,916,2015年01月01日至2015年03月31日,-16678,-15719,-16879,-15920,0.0,0.0,0.0,-17297,1853,38531,30905,-7626,-7626,9671,,,8755,-16678,-15444,204,38531,30905,30905,30905,201,201
2015-08-10,2,2015,485,-860,1192,485,1.01,1.01,485.0,-464,14047,2015年第2季,88456,88941,88896,89381,131262.0,248600.0,248600.0,87751,241,154357,265605,111248,111248,23497,1.01,1.01,9450,88456,87992,91,23095,17005,17005,17005,-440,-440
2015-11-09,3,2015,-8794,-868,4281,-8794,-0.11,-0.11,-8794.0,-535,683,2015年第3季,-9162,-17956,-9320,-18114,0.0,0.0,0.0,-12985,3288,16376,10929,-5447,-5447,7538,0.0,0.0,6855,-9162,-9697,125,16376,10929,10929,10929,158,158
2016-03-24,4,2015,-6577,-2759,11657,-6577,0.62,0.62,-6577.0,140,16700,2015年度,54234,47657,54072,47495,131262.0,248600.0,248600.0,46094,8280,222421,317864,95443,95443,49349,0.61,0.61,32649,54234,54374,618,91159,69264,69264,69264,162,162
2016-05-05,1,2016,1219,11999,2685,1219,0.06,0.06,1219.0,306,632,2016年01月01日至2016年03月31日,5457,6676,5576,6795,,,,-8720,14483,12228,10635,-1593,-1593,7127,0.06,0.06,6495,5457,5763,201,12228,10635,10635,10635,-119,-119
2016-08-10,2,2016,1943,-870,4040,1943,-0.06,-0.06,1943.0,1217,1228,2016年第2季,-5564,-3621,-5419,-3476,0.0,0.0,0.0,-7309,2962,15646,15399,-247,-247,7062,0.0,0.0,5834,-5564,-4347,208,15646,15399,15399,15399,-145,-145
2016-11-10,3,2016,1743,-376,6228,1743,-0.01,-0.01,1743.0,327,586,2016年第3季,-732,1011,-834,909,0.0,0.0,0.0,-6608,6203,16354,16227,-127,-127,6481,0.0,0.0,5895,-732,-405,-351,16354,16227,16227,16227,102,102
