date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,3814,-247,9885,39331,35517,0.13,,2299,16825,2013年01月01日至2013年03月31日,12926,52257,11544,35181,8576,6649,473158,533258,60100,60100,51524,1902,,,0.13,32797,12926,0.13,15225,,,2989,1382,17076
2013-08-13,2,2013,,-1743,5699,14018,-1410,333,0.41,,6975,16152,2013年04月01日至2013年06月30日,45233,43823,35052,42797,35589,16619,600056,693088,93032,93032,57443,2139,,,0.41,39152,45233,0.41,52208,,,3098,10181,1026
2013-11-12,3,2013,,22272,-2490,14475,7443,-14829,0.32,,4491,17532,2013年07月01日至2013年09月30日,35735,43178,27507,40959,30759,9467,649893,743902,94009,94009,63250,2054,,,0.32,43664,35735,0.32,40226,,,2518,8228,2219
2014-03-19,4,2013,,18484,7246,52860,66116,45920,1.21,,16130,66884,2013年01月01日至2013年12月31日,142487,208603,104436,155878,108303,50314,2310679,2650723,340044,340044,231741,7807,,2063.0,1.21,157050,142487,1.21,158617,,351.0,9792,38051,52725
2014-05-13,1,2014,,-7250,8398,26280,-19201,-11951,0.35,,3014,14112,2014年01月01日至2014年03月31日,45721,26520,30640,26301,14949,33786,521726,588669,66943,66943,51994,2050,,,0.35,35832,45721,,48735,,,892,15081,219
2014-08-13,2,2014,,9714,-7731,13739,-3625,-13339,0.31,,3116,16671,2014年第2季,48236,44611,26950,22199,46586,4766,590272,700205,109933,109933,63347,1716,,,0.31,44960,48236,,51352,,,1242,21286,22412
2014-11-13,3,2014,,-2037,3377,13324,20452,22489,0.22,,4785,16628,2014年第3季,28198,48650,22344,38676,18079,14904,619031,695341,76310,76310,58231,1903,,,0.22,39700,28198,0.22,32983,,,1797,5854,9974
2015-03-13,4,2014,,139,19952,65253,19971,19450,1.05,,15793,63698,2014年度,156348,176319,108303,143087,91691,80450,2373338,2697559,324221,324221,232530,7459,,460.0,1.04,161373,156348,1.05,172141,,78.0,4755,48045,33232
2015-05-12,1,2015,,-7411,-5139,16913,-20926,-13515,0.2,-20926.0,2743,15595,2015年01月01日至2015年03月31日,31971,11045,20810,5297,23633,11081,448050,523707,75657,75657,52024,1877,,,0.2,34552,31971,0.2,34714,,,693,11161,5748
2015-08-12,2,2015,,-8322,-11572,13710,-65602,-57280,0.12,-65602.0,1365,15355,2015年第2季,20100,-45502,12783,-6930,19966,1499,558325,642209,83884,83884,63918,1951,,,0.12,46612,20100,0.12,21465,,,639,7317,-38572
2015-11-12,3,2015,,-8495,29294,9862,55954,64449,0.5,55954.0,9030,16405,2015年第3季,58680,114634,51397,84333,28870,38840,533211,625922,92711,92711,63841,1687,,,0.5,45749,58680,0.5,67710,,,316,7283,30301
2016-03-18,4,2015,-994.0,-17934,5755,52830,-48346,-29418,1.0,-47352.0,15781,59781,2015年度,134900,86554,103373,86746,94144,56537,1974621,2305028,330407,330407,236263,7177,-1198.0,,1.0,169305,134900,1.0,150681,-204.0,,2048,31527,-192
2016-05-12,1,2016,,-1829,-13921,9171,-13564,-11735,0.15,-13564.0,975,13307,2016年01月01日至2016年03月31日,25312,11748,15043,4220,31791,-5504,355992,439188,83196,83196,51405,2087,,,0.14,36011,25312,0.15,26287,,,754,10269,7528
2016-08-12,2,2016,,-2885,-3395,12701,-29800,-26915,0.12,-29800.0,393,13680,2016年第2季,22397,-7403,12063,-3268,14034,8756,423456,495087,71631,71631,57597,979,,,0.12,42938,22397,0.12,22790,,,550,10334,-4135
2016-11-11,3,2016,,-623,-18883,10283,-44611,-43988,0.07,-44611.0,-498,16227,2016年第3季,16864,-27747,7228,-19319,24946,-8580,445982,531702,85720,85720,60774,1504,,,0.07,43043,16864,0.07,16366,,,-20,9636,-8428
