date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,4036,3785,-7291,-7291,-0.32,-0.32,,-28,,4529,2013年01月01日至2013年03月31日,-24890,-32181,-16984,-21285,-26347,1429,64604,52998,-11606,-11606,14741,1532,,,8680,-24890,-24918,,,6392,-7906,-10896
2013-08-12,2,2013,,3698,3126,-3976,-3976,-0.3,-0.3,,0,,3858,2013年04月01日至2013年06月30日,-23178,-27154,-15675,-18036,-23230,52,73334,63069,-10265,-10265,12965,1314,,,7793,-23178,-23178,,,6772,-7503,-9118
2013-11-12,3,2013,,-14208,3792,-214,-214,-0.36,-0.36,,0,50.0,3583,2013年07月01日至2013年09月30日,-42904,-43118,-18923,-19017,-28293,-14611,74373,58273,-16100,-16100,12193,1192,,,7418,-42904,-42904,,,4245,-23981,-24101
2014-03-28,4,2013,,-46561,14890,-12722,-12772,-1.48,-1.48,,-70,46.0,15632,2013年01月01日至2013年12月31日,-155250,-167972,-77527,-84686,-103230,-52090,272314,221673,-50641,-50641,52589,5753,,60.0,31204,-155250,-155320,,10.0,20465,-77723,-83286
2014-05-13,1,2014,,2231,4517,146,146,-0.2,-0.2,,-80,29.0,4132,2014年01月01日至2014年03月31日,-19162,-19016,-10599,-10617,-23289,4047,55462,44383,-11079,-11079,12210,1155,,,6923,-19162,-19242,,,2730,-8563,-8399
2014-08-14,2,2014,,-4789,5074,1647,1647,-0.33,-0.33,,27,0.0,3822,2014年第2季,-24819,-23172,-17256,-16830,-22414,-2378,63401,53324,-10077,-10077,12337,1522,,,6993,-24819,-24792,,,2663,-7563,-6342
2014-11-12,3,2014,,4501,3909,-2490,-2490,-0.21,-0.21,,23,0.0,4043,2014年第3季,-19071,-21561,-10861,-11528,-24622,5574,69477,56441,-13036,-13036,11586,1186,,,6357,-19071,-19048,,,2836,-8210,-10033
2015-03-27,4,2014,,-6245,16480,-3666,-4107,-0.79,-0.79,,-67,29.0,17040,2014年度,-73242,-76908,-41366,-42060,-72295,-1014,244325,221131,-23194,-23194,49101,4843,,531.0,27218,-73242,-73309,,90.0,11278,-31876,-34848
2015-05-11,1,2015,,-7675,3356,1314,1314,-0.27,-0.27,1314.0,-198,0.0,4994,2015年01月01日至2015年03月31日,-21975,-20661,-14426,-14081,-15296,-6877,50694,48402,-2292,-2292,13004,1008,,,7002,-21975,-22173,,,2558,-7549,-6580
2015-08-10,2,2015,,-11248,3794,1457,1457,-0.29,-0.29,1457.0,57,0.0,3836,2015年第2季,-26626,-25169,-15012,-14624,-15648,-10921,62276,59506,-2770,-2770,12878,1088,,,7954,-26626,-26569,,,3467,-11614,-10545
2015-11-12,3,2015,,6362,3865,-5731,-5731,-0.16,-0.16,-5731.0,29,0.0,4084,2015年第3季,-8823,-14554,-8338,-9805,-15898,7104,63120,59124,-3996,-3996,11902,1134,,,6684,-8823,-8794,,,3123,-485,-4749
2016-03-17,4,2015,131.0,21519,13782,4041,3910,1.78,1.78,3910.0,-171,0.0,15557,2015年度,-38112,-34071,93583,94858,-60513,22230,235727,222553,-13174,-13174,47339,4608,158.0,,27174,-38112,-38283,27.0,,13071,-131695,-128929
2016-05-12,1,2016,,-8447,20269,1168,1168,-0.17,-0.17,1168.0,-7,,4127,2016年01月01日至2016年03月31日,-2465,-1297,-8744,-8410,-12918,10446,46990,46580,-410,-410,12508,1739,,,6642,-2465,-2472,,,1376,6279,7113
2016-08-12,2,2016,,-7245,711,7172,7172,-0.29,-0.29,7172.0,20,,3872,2016年第2季,-22593,-15421,-15043,-12966,-14723,-7850,59972,54598,-5374,-5374,9349,1289,,,4188,-22593,-22573,,,1316,-7550,-2455
2016-11-10,3,2016,,-9662,628,10062,10062,-0.4,-0.4,10062.0,-82,,4616,2016年第3季,-28853,-18791,-20871,-17975,-18704,-10231,46128,37348,-8780,-8780,9924,1158,,,4150,-28853,-28935,,,1197,-7982,-816
