date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,27041,10222,59866,59866,2.33,,64707,,258395,2013年01月01日至2013年03月31日,386318,446184,385858,446114,429430,21595,3402560,4297620,895060,895060,465630,,2.2,207235,386318,451025,,0.0,,15668,25617.0,4323237.0,4297620.0,460,70
2013-08-09,2,2013,,10378,7909,26142,26142,1.76,,68776,,264449,2013年04月01日至2013年06月30日,293150,319292,292935,318974,358832,3094,3301711,4122757,821046,821046,462214,,1.68,197765,293150,361926,,0.0,,15193,40934.0,4163691.0,4122757.0,215,318
2013-11-12,3,2013,,-19575,17543,-34974,-34974,2.19,,94297,,286728,2013年07月01日至2013年09月30日,367900,332926,367208,332429,479421,-17224,4172352,5167258,994906,994906,515485,,2.11,228757,367900,462197,,0.0,,15192,49812.0,5217070.0,5167258.0,692,497
2014-03-26,4,2013,,43176,41767,81714,81714,8.02,,304055,-866.0,1073568,2013年01月01日至2013年12月31日,1342254,1423968,1341006,1423008,1624290,22019,14343598,17910935,3567337,3567337,1943047,,7.66,869479,1342254,1646309,,0.0,,62058,191602.0,18102537.0,17910935.0,1248,960
2014-05-08,1,2014,,17363,3996,35529,35529,2.89,,106281,-5668.0,387016,2014年01月01日至2014年03月31日,488768,524297,489367,524658,596288,-1239,3953692,5213181,1259489,1259489,663201,,2.8,276185,488768,595049,,0.0,,16930,63097.0,5276278.0,5213181.0,-599,-361
2014-08-11,2,2014,,-36373,7428,-57492,-57492,2.06,,83804,-8692.0,270495,2014年第2季,351053,293561,351047,293817,487884,-53027,3377016,4354585,977569,977569,489685,,2.0,219190,351053,434857,,0.0,,15390,55990.0,4410575.0,4354585.0,6,-256
2014-11-10,3,2014,,-3037,18643,57006,57006,2.56,,119151,-3413.0,361151,2014年第3季,460143,517149,458658,515402,581530,-2236,4747104,5952094,1204990,1204990,623460,,2.5,262309,460143,579294,,0.0,,14429,70283.0,6022377.0,5952094.0,1485,1747
2015-03-25,4,2014,,11686,77941,154393,154393,9.62,,389420,-23580.0,1380488,2014年度,1705452,1859845,1705256,1858766,2087040,7832,16361727,20888798,4527071,4527071,2440031,,9.28,1059543,1705452,2094872,,0.0,,58215,,,,196,1079
2015-05-11,1,2015,0.0,9521,16387,-32406,-32406,3.35,-32406.0,140560,742.0,413274,2015年01月01日至2015年03月31日,642366,609960,640349,608166,769591,13335,4284711,5782028,1497317,1497317,727726,0.0,3.28,314452,642366,782926,0.0,,0.0,13315,,,,2017,1794
2015-08-11,2,2015,0.0,-36958,18513,-34883,-34883,2.18,-34883.0,107428,-6626.0,305314,2015年第2季,438840,403957,432629,397623,580986,-34718,3868292,4975268,1106976,1106976,525990,0.0,2.14,220676,438840,546268,0.0,,0.0,9647,,,,6211,6334
2015-11-10,3,2015,0.0,80295,21675,223882,223882,3.17,223882.0,148501,-9509.0,520152,2015年第3季,635692,859574,628476,850942,704645,79548,5378171,6986801,1608630,1608630,903985,0.0,3.11,383833,635692,784193,0.0,,0.0,12913,,,,7216,8632
2016-03-25,4,2015,2744.0,65009,72170,133170,130426,10.9,130426.0,514378,-45584.0,1642554,2015年度,2176954,2310124,2159025,2290558,2650179,41153,17846986,23358507,5511521,5511521,2861342,2744.0,10.66,1218788,2176954,2691332,0.0,,0.0,50442,,,,17929,19566
2016-05-11,1,2016,0.0,10756,8088,-98908,-98908,3.22,-98908.0,140703,-1640.0,375563,2016年01月01日至2016年03月31日,642665,543757,639679,541355,779418,3950,4851714,6309426,1457712,1457712,678294,0.0,3.15,302731,642665,783368,0.0,,0.0,13254,,,,2986,2402
2016-08-09,2,2016,,-9065,19372,-16015,-16015,1.4,-16015.0,73415,-6906.0,320021,2016年第2季,289315,273300,287485,271518,372154,-9424,3722243,4592080,869837,869837,497683,,1.38,177662,289315,362730,,,0.0,12825,,,,1830,1782
2016-11-08,3,2016,,-16469,15845,-113886,-113886,1.89,-113886.0,94265,-792.0,386986,2016年第3季,401348,287462,390561,277611,508795,-13182,4970069,6174112,1204043,1204043,695248,,1.86,308262,401348,495613,,,0.0,11766,,,,10787,9851
