date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入淨額,其他綜合損益（淨額）,勞務收入合計,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨收入淨額
2013-05-10,1,2013,,-56090,33251,23172,23172.0,10420,-191410,139604,0.28,,,3303,,-135320.0,-3844,,251575,2013年01月01日至2013年03月31日,405851,214441,405851,214441,430551,-21397,11322413,12107244,784831,784831,354280,,,102705,405851,409154,73976,11957220
2013-08-05,2,2013,,-67269,-3620,20666,,13380,-223407,293198,-0.23,,,863,,-156138.0,-3903,,196217,2013年04月01日至2013年06月30日,-335441,-558848,-335441,-558848,-276876,-57702,8316969,8355300,38331,38331,315207,,,118990,-335441,-334578,70845,8048722
2013-11-08,3,2013,,70874,-7763,37532,,10080,243615,129174,-0.17,,,-2411,390.0,172741.0,39443,,165397,2013年07月01日至2013年09月30日,-248993,-5378,-248993,-5378,-249538,-1866,9896363,9907758,11395,11395,260933,,,95536,-248993,-251404,71078,9768114
2014-03-07,4,2013,,-84502,126182,99931,,48796,-98955,713355,0.1,0.1,,628,390.0,-8327.0,28737,,745970,2013年01月01日至2013年12月31日,139357,40402,139357,40402,170176,-30191,37526651,38855230,1328579,1328579,1158403,,-6126.0,412433,139357,139985,285041,38092689
2014-05-07,1,2014,,-44420,-10037,19301,,17599,-186349,159076,0.11,,,205,,-141929.0,-2558,,178692,2014年01月01日至2014年03月31日,154587,-31762,154587,-31762,211947,-57155,9517262,9989941,472679,472679,260732,,,82040,154587,154792,63861,9813266
2014-08-11,2,2014,,10873,11032,19635,,48076,-46945,251772,0.01,,,-249,,-57818.0,-2611,,151667,2014年第2季,12790,-34155,12790,-34155,50261,-37720,9194387,9470973,276586,276586,226325,,,74658,12790,12541,65776,9171125
2014-11-07,3,2014,,47483,10996,42706,,36434,197280,199927,0.04,,,-294,689.0,149797.0,70266,,197457,2014年第3季,58842,256122,58842,256122,-1160,59708,9262321,9541107,278786,278786,279946,,,82489,58842,58548,64260,9304057
2015-03-24,4,2014,,23347,36514,106959,,114711,-68482,774338,0.15,,,1404,689.0,-17518.0,62020,,705777,2014年度,208397,139915,208397,139915,266066,-56265,35838297,37132669,1294372,1294372,1028306,,-74311.0,322529,208397,209801,261758,36242931
2015-05-06,1,2015,,-9837,4594,20977,,14480,-42269,138571,-0.98,,-42269.0,-1254,,,-2799,-32432.0,195322,2015年01月01日至2015年03月31日,-1402544,-1444813,-1402544,-1444813,-1360053,-43745,8823372,7734996,-1088376,-1088376,271677,,,76355,-1402544,-1403798,66517,7581945
2015-08-07,2,2015,,-43225,1121494,22949,,10616,-189171,187270,0.2,,-189171.0,-321,,,-2340,-145946.0,209892,2015年第2季,287038,97867,287038,97867,-788363,1075080,8134199,7633732,-500467,-500467,287896,,,78004,287038,286717,67023,7435846
2015-11-09,3,2015,,-186801,480474,53836,,11700,-775989,174789,0.35,,-775989.0,-263,1004.0,,104150,-589188.0,201993,2015年第3季,509172,-266817,509172,-266817,-65089,573998,7420345,7640814,220469,220469,285558,,,83565,509172,508909,64462,7453321
2016-03-22,4,2015,-59069.0,-282278,1608433,129103,,44842,-1244047,640687,-0.81,,-1184978.0,-1898,1004.0,,96408,-902700.0,816108,2015年度,-1162198,-2406245,-1162198,-2406245,-2733272,1569176,31596846,29992331,-1604515,-1604515,1128757,-59069.0,,312649,-1162198,-1164096,264768,29305798
2016-05-09,1,2016,,150121,-6422,20882,,11106,631202,186921,0.0,,631202.0,197,,,-2317,481081.0,234553,2016年01月01日至2016年03月31日,2709,633911,2709,633911,54662,-51756,7348441,7706937,358496,358496,303834,,,69281,2709,2906,63899,7508910
2016-08-05,2,2016,,-52385,-12488,20909,,11895,-214548,166174,0.51,,-214548.0,-148,,,-2394,-162163.0,222010,2016年第2季,735901,521353,735901,521353,784740,-48987,7138809,8232896,1094087,1094087,309347,,,87337,735901,735753,55014,8054827
2016-11-04,3,2016,,42302,-7385,37586,,12996,172032,132951,0.53,,172032.0,838,502.0,,51544,129730.0,215883,2016年第3季,765414,937446,765414,937446,735555,30697,7008359,8051965,1043606,1043606,308051,,,92168,765414,766252,51048,7905516
