date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,644785,183797,192489,2249192,1604407,1.73,1.73,,122743,,226858,2013年01月01日至2013年03月31日,2132024,4381216,2138394,4385694,1900674,354093,19280607,22461948,3181341,3181341,1280667,270974,,,1.72,1.72,782835,2132024,2254767,,,22193,-6370,-4478
2013-08-12,2,2013,,-461844,207323,76755,205912,667756,0.69,0.69,,890036,0.0,149277,2013年04月01日至2013年06月30日,883856,1089768,890699,1094415,1574176,199716,12826581,15275299,2448718,2448718,874542,262597,,,0.68,0.68,462668,883856,1773892,,,84362,-6843,-4647
2013-11-12,3,2013,,22022,66423,187267,-778669,-800691,0.83,0.83,,14144,0.0,179260,2013年07月01日至2013年09月30日,1081113,302444,1087552,310543,881221,214036,24550536,26668340,2117804,2117804,1236583,427263,,,0.83,0.83,630060,1081113,1095257,,,39654,-6439,-8099
2014-03-27,4,2013,,-455847,685600,681478,1849753,2306755,5.39,5.39,,1165661,-2646.0,831924,2013年01月01日至2013年12月31日,7011205,8860958,7027753,8872938,6974419,1202447,82550232,94598086,12047854,12047854,5073435,1257053,,-1392.0,5.34,5.34,2984458,7011205,8176866,,-237.0,161985,-16548,-11980
2014-05-14,1,2014,,30910,-297706,252934,673832,642922,0.26,0.26,,111463,-6080.0,135494,2014年01月01日至2014年03月31日,330459,1004291,335760,1010112,509440,-67518,9575847,11197965,1622118,1622118,1112678,229877,,,0.26,0.26,747307,330459,441922,,,16666,-5301,-5821
2014-11-13,3,2014,,-356628,205157,455390,1194795,1551423,1.9,1.9,,200941,-62357.0,234612,2014年第3季,2606661,3801456,2610208,3802233,2231286,576316,15897174,19976385,4079211,4079211,1847925,814639,,,1.89,1.89,798674,2606661,2807602,,,21874,-3547,-777
2015-03-27,4,2014,,817292,178557,1370492,4428146,3610542,6.84,6.84,,1585626,-200711.0,758114,2014年度,9382287,13810433,9402359,13827105,9709257,1258656,68630993,83895142,15264149,15264149,5554892,1666606,,376.0,6.79,6.79,3130172,9382287,10967913,,64.0,89682,-20072,-16672
2015-05-14,1,2015,,76888,34953,409851,-784824,-861712,2.16,2.16,-784824.0,368313,-48619.0,199168,2015年01月01日至2015年03月31日,2968635,2183811,2969584,2185788,2977372,359576,20083908,24426492,4342584,4342584,1365212,268716,,,2.14,2.14,897328,2968635,3336948,,,36609,-949,-1977
2015-08-12,2,2015,,536144,98984,349716,-579263,-1115407,2.08,2.08,-579263.0,1024844,-67675.0,187550,2015年第2季,2886698,2307435,2892315,2314375,3554297,357245,19833220,24442021,4608801,4608801,1054504,274025,,,2.07,2.07,592929,2886698,3911542,,,23780,-5617,-6940
2015-11-13,3,2015,,-2446711,149741,765413,1814925,4261636,2.09,2.09,1814925.0,992888,-54712.0,231845,2015年第3季,2914290,4729215,2914812,4726262,3106312,800866,21187759,25192194,4004435,4004435,898123,294158,,,2.08,2.08,372120,2914290,3907178,,,59576,-522,2953
2016-03-30,4,2015,64.0,-1537832,384587,1852586,-303125,1234643,8.76,8.76,-303189.0,2379347,300666.0,728801,2015年度,12182417,11879292,12198244,11896028,12165046,2396718,83106762,99425613,16318851,16318851,4153805,1290255,77.0,,8.68,8.68,2134749,12182417,14561764,13.0,,141121,-15827,-16736
2016-05-12,1,2016,,63359,-345415,344686,-1576240,-1639599,1.76,1.76,-1576240.0,547785,-24427.0,125377,2016年01月01日至2016年03月31日,2445511,869271,2454307,879190,3044401,-51105,13752691,17402823,3650132,3650132,605731,220818,,,1.75,1.75,259536,2445511,2993296,,,25949,-8796,-9919
2016-08-12,2,2016,,-126750,125318,337468,-1186635,-1059885,1.82,1.82,-1186635.0,1167969,-260483.0,180575,2016年第2季,2571613,1384978,2570462,1385664,3546834,192748,15193568,19235579,4042011,4042011,495177,123053,,,1.81,1.81,191549,2571613,3739582,,,9555,1151,-686
2016-11-10,3,2016,,6390345,-221788,539983,3725606,-2664739,2.36,2.36,3725606.0,560772,-3923.0,118975,2016年第3季,3332735,7058341,3333307,7060990,3590253,303254,17881566,22256237,4374671,4374671,784418,288112,,,2.35,2.35,377331,3332735,3893507,,,11018,-572,-2649
