date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-09,1,2013,,128962,54333,25967,193104,77280,2.02,2.02,,132327,,,245003,2013年01月01日至2013年03月31日,869645,1062749,869645,1062749,921672,80300,5747113,7051129,1304016,1304016,382344,42818,,,2.01,2.01,94523,869645,1001972,13138.0,,
2013-08-08,2,2013,,-149230,160801,34576,-106983,50900,2.33,2.33,,150534,,,266261,2013年04月01日至2013年06月30日,1003332,896349,1003332,896349,958489,195377,4589080,5967805,1378725,1378725,420236,43784,,,2.32,2.32,110191,1003332,1153866,8653.0,,
2013-11-07,3,2013,,-20904,17956,24414,-46436,-30762,1.44,1.44,,109879,,,261620,2013年07月01日至2013年09月30日,619740,573304,619740,573304,687249,42370,5309842,6389192,1079350,1079350,392101,35822,,,1.44,1.44,94659,619740,729619,-5230.0,,
2014-03-19,4,2013,,2085,292236,130645,130785,148571,7.43,7.43,,539187,,-30403.0,1020315,2013年01月01日至2013年12月31日,3198957,3329742,3198957,3329742,3351566,386578,21201143,26122390,4921247,4921247,1569681,157028,,5387.0,7.41,7.41,392338,3198957,3738144,25258.0,,5900.0
2014-05-07,1,2014,,35202,74539,42665,48427,15934,2.09,2.09,,121418,,-163.0,281855,2014年01月01日至2014年03月31日,900811,949238,900811,949238,907854,114375,5467852,6794611,1326759,1326759,418905,45938,,,2.09,2.09,91112,900811,1022229,2709.0,,2666.0
2014-08-07,2,2014,,2197,-73164,57918,-60474,-75508,1.95,1.95,,148404,,625.0,294961,2014年第2季,839975,779501,839975,779501,1007080,-18701,5209111,6656660,1447549,1447549,440469,42384,,,1.95,1.95,103124,839975,988379,-12837.0,,4080.0
2014-11-06,3,2014,,-66668,116952,44038,-18267,58315,2.24,2.24,,157252,,-1359.0,334735,2014年第3季,966262,947995,966262,947995,964759,158755,5339698,6791191,1451493,1451493,486734,45069,,,2.24,2.24,106930,966262,1123514,9914.0,,876.0
2015-03-12,4,2014,,-31783,460021,193524,45294,92968,8.67,8.67,,665749,,8330.0,1180034,2014年度,3735205,3780499,3735205,3780499,3747288,653666,21678630,27219495,5540865,5540865,1793577,174011,,-86.0,8.66,8.66,439532,3735205,4400954,15805.0,,8209.0
2015-04-29,1,2015,,-9015,-38264,51372,-65106,-67579,1.94,1.94,-65106.0,105553,,1773.0,280885,2015年01月01日至2015年03月31日,835851,770745,835851,770745,928339,13065,4827011,6131745,1304734,1304734,376395,33947,,,1.94,1.94,61563,835851,941404,,-11488.0,1816.0
2015-08-06,2,2015,,-30943,-140572,43234,-71091,-48371,1.14,1.14,-71091.0,75964,,-9137.0,305525,2015年第2季,490994,419903,490994,419903,674015,-107057,4925142,6024924,1099782,1099782,425767,30915,,,1.14,1.14,89327,490994,566958,,-8223.0,582.0
2015-11-05,3,2015,,-24869,595723,29712,119003,173339,2.52,2.52,119003.0,173693,,-2.0,297389,2015年第3季,1086170,1205173,1086170,1205173,634893,624970,5025598,6087629,1062031,1062031,427138,35753,,,2.52,2.52,93996,1086170,1259863,,29467.0,463.0
2016-03-10,4,2015,-2283.0,-48335,517669,162637,-78485,-33575,7.48,7.48,-76202.0,491326,,-15038.0,1096006,2015年度,3221902,3143417,3221902,3143417,3051596,661632,20211736,24913287,4701551,4701551,1649955,134062,-2283.0,,7.47,7.47,419887,3221902,3713228,,-5708.0,3636.0
2016-04-28,1,2016,-344.0,1002,-179233,36856,6487,7023,1.45,1.45,6831.0,62798,-344.0,-8048.0,293849,2016年01月01日至2016年03月31日,623398,629885,623398,629885,837899,-151703,4392614,5648007,1255393,1255393,417494,38773,,,1.45,1.45,84872,623398,686196,,1194.0,1278.0
2016-08-04,2,2016,0.0,5855,113739,35757,-14887,-24991,1.77,1.77,-14887.0,73008,0.0,-7585.0,315852,2016年第2季,763771,748884,763771,748884,695119,141660,4204560,5332177,1127617,1127617,432498,36523,,,1.77,1.77,80123,763771,836779,,-4249.0,251.0
2016-11-03,3,2016,0.0,958,-253365,30715,-53403,-65494,1.1,1.1,-53403.0,53252,0.0,-12792.0,281262,2016年第3季,474897,421494,474897,421494,764566,-236417,4269213,5424919,1155706,1155706,391140,36344,,,1.1,1.1,73534,474897,528149,,-11133.0,975.0
