date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,12105,3617,15854,19046,0.4,0.4,,7859,15667,2013年01月01日至2013年03月31日,31770,47624,31841,47426,24586,15043,286159,374490,88331,88331,63745,20143,,,0.4,0.4,27935,31770,39629,,3192.0,,679,-71,198
2013-08-12,2,2013,,2579,3067,8556,10295,0.67,0.67,,11053,15332,2013年04月01日至2013年06月30日,53799,62355,53328,61820,59662,5190,422051,552409,130358,130358,70696,21898,,,0.66,0.66,33466,53799,64852,,1739.0,,456,471,535
2013-11-12,3,2013,,4166,5520,-6983,-8381,0.88,0.88,,14914,17297,2013年07月01日至2013年09月30日,70427,63444,70652,63822,75984,9357,501010,659624,158614,158614,82630,27879,,,0.88,0.88,37454,70427,85341,,-1398.0,,329,-225,-378
2014-03-18,4,2013,,28789,17415,28051,32323,3.43,3.43,,57736,61552,2013年01月01日至2013年12月31日,274583,302634,274054,301840,287940,44379,1795342,2372768,577426,577426,289486,94861,,1419.0,3.4,3.4,133073,274583,332319,,5691.0,,1825,529,794
2014-05-13,1,2014,,3236,4201,-43,-100,0.52,0.52,,7152,11019,2014年01月01日至2014年03月31日,41642,41599,41849,41570,42326,6468,332846,435852,103006,103006,60680,21432,,,0.52,0.52,28229,41642,48794,,-57,,969,-207,29
2014-08-12,2,2014,,1665,4278,-10581,-12704,0.42,0.42,,17348,13450,2014年第2季,34202,23621,33911,23546,46262,5288,387805,496793,108988,108988,62726,21847,,,0.42,0.42,27429,34202,51550,,-2123.0,,655,291,75
2014-11-11,3,2014,,13719,8023,16216,19495,0.51,0.51,,8537,15012,2014年第3季,41315,57531,40865,56877,28710,21142,374919,475890,100971,100971,72261,24702,,,0.51,0.51,32547,41315,49852,,3279.0,,600,450,654
2015-03-17,4,2014,,41374,22009,22628,32126,2.26,2.26,,51321,54766,2014年度,182152,204780,181073,202993,173156,60317,1573201,2017130,443929,443929,270773,92398,,-5009,2.24,2.24,123609,182152,233473,,4489,,3066,1079,1787
2015-05-12,1,2015,,8194,4438,-7434,-8929,0.58,0.58,-7434,10527,13559,2015年01月01日至2015年03月31日,46222,38788,46343,39046,44643,12106,377425,487423,109998,109998,65355,24369,,,0.58,0.58,27427,46222,56749,,,-1495,526,-121,-258
2015-08-12,2,2015,,2427,2947,-9977,-11985,0.55,0.55,-9977.0,16895,14414,2015年第2季,43572,33595,43970,34162,55127,5340,411239,533911,122672,122672,67545,24765,,,0.54,0.54,28366,43572,60467,,,-2008.0,34,-398,-567
2015-11-11,3,2015,,1545,7341,36122,43350,0.85,0.85,36122.0,20515,17263,2015年第3季,69052,105174,67610,102903,80869,8698,500220,657635,157415,157415,76546,27308,,,0.84,0.84,31975,69052,89567,,,7228.0,188,1442,2271
2016-03-22,4,2015,1012.0,25750,18130,7214,7369,2.98,2.98,6202.0,62957,63822,2015年度,239257,246471,238197,244908,259181,43033,1844049,2403307,559258,559258,300077,107312,1219.0,,2.93,2.93,128943,239257,302214,207.0,,1167.0,847,1060,1563
2016-05-11,1,2016,,-912,3012,-15167,-18218,1.13,1.13,-15167.0,21782,15732,2016年01月01日至2016年03月31日,89926,74759,90047,75151,109836,1872,478927,666695,187768,187768,77932,27489,,,1.11,1.11,34711,89926,111708,,,-3051.0,228,-121,-392
2016-08-10,2,2016,,340,4709,-12956,-15617,1.35,1.35,-12956.0,32452,16117,2016年第2季,108121,95165,107994,95003,136214,4359,592546,812074,219528,219528,83314,29011,,,1.34,1.34,38186,108121,140573,,,-2661.0,690,127,162
2016-11-09,3,2016,,-18251,9015,-27359,-32870,1.49,1.49,-27359.0,25648,19225,2016年第3季,121386,94027,119553,92648,157511,-10477,705168,962103,256935,256935,99424,35719,,,1.48,1.48,44480,121386,147034,,,-5511.0,1241,1833,1379
