date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,499629,25866,23155,548445,48816,0.23,,18055,,2474,,2013年01月01日至2013年03月31日,362220,910665,379158,913144,350968,29307,958157,1469035,510878,510878,159910,,0.23,362220,380275,,0.0,22188,-16938,-2479
2013-08-12,2,2013,,10583,-21273,24029,45211,34628,0.57,,44822,,3673,,2013年04月01日至2013年06月30日,914843,960054,943246,979258,974389,-14724,2763844,4076921,1313077,1313077,338688,,,914843,959665,,0.0,21153,-28403,-19204
2013-11-06,3,2013,,103800,72285,69661,67190,-36610,0.15,,6980,,2301,,2013年07月01日至2013年09月30日,227187,294377,245445,324170,112988,121179,1015016,1447204,432188,432188,319200,,,227187,234167,,,23068,-18258,-29793
2014-03-14,4,2013,,1016860,141371,139511,1113320,96686,1.02,,83388,-226.0,11647,,2013年01月01日至2013年12月31日,1583962,2697282,1687746,2772489,1478284,189066,5550999,8141139,2590140,2590140,1111856,,,1583962,1667350,,,103463,-103784,-75207
2014-04-22,1,2014,,-238270,-379,14769,-265687,-54577,-0.05,,-6781,27160.0,6349,,2014年01月01日至2014年03月31日,-112959,-378646,-84702,-340374,-94944,-24796,862792,1051342,188550,188550,283494,,-0.05,-112959,-119740,,,45535,-28257,-38272
2014-08-12,2,2014,,124294,8158,108437,69459,-27830,0.21,,158081,-27005.0,3138,,2014年第2季,328128,397587,356946,444075,414788,71421,1345398,2044408,699010,699010,284222,,,328128,486209,,,48312,-28818,-46488
2014-11-11,3,2014,,456757,120782,103396,525859,68984,0.27,,37629,118.0,1312,,2014年第3季,445658,971517,450597,953514,318588,164699,1102339,1681642,579303,579303,260715,,,445658,483287,,,60791,-4939,18003
2015-03-18,4,2014,,-21084,106353,251446,55126,72111,1.78,,287028,4099.0,4785,,2014年度,2861429,2916555,2953316,2984941,2998301,150156,5570441,9892378,4321937,4321937,1323636,,,2861429,3148457,,,212428,-91887,-68386
2015-04-27,1,2015,,180989,-16379,12013,146935,-33347,0.91,146935.0,77073,,455,-707.0,2015年第1季,1477547,1624482,1510452,1668491,1610240,-55620,2066074,3911530,1845456,1845456,235216,,,1477547,1554620,,,51709,-32905,-44009
2015-08-11,2,2015,,154413,82333,28378,128223,-25081,0.2,128223.0,102107,,-4714,-1109.0,2015年第2季,304054,432277,334689,471550,347627,58534,1403521,2063400,659879,659879,312252,,,304054,406161,,,47463,-30635,-39273
2015-11-05,3,2015,,-590080,-5591,127679,-527212,68361,0.01,-527212.0,-1066,,-5047,-5493.0,2015年第3季,-24551,-551763,8968,-537521,-100221,74604,535866,697240,161374,161374,261595,,,-24551,-25617,,,42437,-33519,-14242
2016-03-17,4,2015,-13177.0,-178741,49201,183594,-258877,-61143,1.4,-245700.0,242230,,-8657,-5816.0,2015年度,2194124,1935247,2327053,2093222,2395435,40919,6367826,9848217,3480391,3480391,1084956,-15615.0,,2194124,2436354,-2438.0,,183219,-132929,-157975
2016-04-25,1,2016,,-441199,-11575,25921,-476403,-35922,0.16,-476403.0,9965,,-6209,718.0,2016年01月01日至2016年03月31日,229236,-247167,266520,-198002,277111,-37910,1630465,2160566,530101,530101,252990,,,229236,239201,,,46047,-37284,-49165
2016-08-11,2,2016,,-109508,-12051,38391,-176293,-68108,0.61,-176293.0,364112,,-3769,1323.0,2016年第2季,966771,790478,1005116,851306,1356680,-25797,3879130,5521231,1642101,1642101,285421,,,966771,1330883,,,48368,-38345,-60828
2016-11-09,3,2016,,25059,-4932,126942,-69373,-96329,0.47,-69373.0,75467,,-2755,1897.0,2016年第3季,603094,533721,653169,614940,618392,60169,2951199,3806407,855208,855208,236816,,,603094,678561,,,59086,-50075,-81219
