date,season,year,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,6455.0,-223284,16877,61413,54958.0,-0.21,,,7912,,39531,,,2013年01月01日至2013年03月31日,-292678,-231265,-304422,-242742,-34410,-250356,2304637,3232125,927488,927488,961898,,,,-292678,-284766,,,83480,11744,11477
2013-08-13,2,2013,,,-10103.0,438988,23428,21606,31709.0,0.13,,,28051,,71021,,,2013年04月01日至2013年06月30日,205277,226883,189421,211456,-198987,432315,2019884,2728288,708404,708404,907391,,,,205277,233328,,,101122,15856,15427
2013-11-11,3,2013,0.0,,20628.0,656565,76122,-9912,-30540.0,0.8,,,39655,,52777,,,2013年07月01日至2013年09月30日,537359,527447,555923,546034,-117666,694680,1973402,2799901,826499,826499,944165,,,,537359,577014,,,90784,-18564,-18587
2014-03-28,4,2013,,,49964.0,800572,145322,150997,,0.44,,,88423,87342.0,246951,,,2013年01月01日至2013年12月31日,301500,452497,306321,457318,-434525,824448,8333501,11718163,3384662,3384662,3819187,13691.0,0.44,,301500,389923,,,368397,-4821,-4821
2014-05-14,1,2014,,,6154.0,-505032,19514,37582,31428.0,-2.07,,,18486,,30616,,,2014年第1季,-1503780,-1466198,-1443570,-1405705,-940257,-545037,3137272,3128447,-8825,-8825,931432,,,,-1503780,-1485294,,,90135,-60210,-60493
2014-08-13,2,2014,,,-17975.0,-132305,20287,-44135,-26160.0,-1.72,-1.72,,9697,,69266,,,2014年第2季,-1225420,-1269555,-1197898,-1251406,-1069592,-146131,3360038,3283807,-76231,-76231,993361,,,,-1225420,-1215723,0.0,,103379,-27522,-18149
2014-11-13,3,2014,0.0,,-23218.0,65721,19718,4851,28069.0,-0.65,,,37255,,68033,,,2014年第3季,-469598,-464747,-450521,-444405,-484720,52377,2499793,2992839,493046,493046,977766,,,,-469598,-432343,0.0,,101095,-19077,-20342
2015-03-27,4,2014,,,-29531.0,-739918,76570,46275,,-5.16,,,114153,87391.0,225561,,,2014年度,-3708173,-3661898,-3589668,-3543179,-2743714,-850306,11784068,12813375,1029307,1029307,3773021,2975.0,0.0,,-3708173,-3594020,14560.0,,412519,-118505,-118719
2015-05-11,1,2015,,0.0,,188523,26148,-28702,-20757.0,-0.63,-0.63,-28702.0,74345,,44528,-7945.0,694664.0,2015年01月01日至2015年03月31日,-470263,-498965,-438195,-468522,-537450,141532,2551590,2948774,397184,397184,934634,,,239970.0,-470263,-395918,,,117667,-32068,-30443
2015-08-13,2,2015,,,,147222,26055,-25237,-18184.0,-0.12,,-25237.0,-5812,,67604,-7053.0,,2015年第2季,-116499,-141736,-80518,-106629,-246885,124574,1940388,2630410,690022,690022,936907,,,,-116499,-122311,,,116307,-35981,-35107
2015-11-12,3,2015,,,,88526,-209,37162,60632.0,-0.42,,37162.0,453,,63101,-23470.0,,2015年第3季,-358813,-321651,-290441,-250714,-392303,33943,2272054,2806900,534846,534846,927149,,,,-358813,-358360,,,117475,-68372,-70937
2016-05-12,1,2016,,0.0,,44004,7648,-32019,-33277.0,-0.39,-0.39,-32019.0,16223,,30330,1258.0,,2016年01月01日至2016年03月31日,-292272,-324291,-270895,-305160,-251530,-24519,2057623,2744076,686453,686453,937983,,,,-292272,-276049,,,106501,-21377,-19131
2016-08-12,2,2016,,,,345238,7949,-34361,-25698.0,0.48,,-34361.0,47707,,62556,-8663.0,,2016年第2季,301574,267213,337345,303862,35503,313778,1590890,2513592,922702,922702,887199,,,,301574,349281,,,101965,-35771,-36649
2016-11-11,3,2016,,,,21741,8453,-33001,-58262.0,0.6,,-33001.0,-27512,,63434,4290.0,,2016年第3季,355490,322489,420401,382646,388799,-60821,1616362,2883784,1267422,1267422,878623,,,,355490,327978,,-20971.0,154449,-64911,-60157
