date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,28884,3147,4041,12379,0.26,,20816,-17250.0,-1323,,107149,2013年01月01日至2013年03月31日,95533,107912,93470,105841,130655,-14306,444172,824920,380748,380748,250093,,,,142944,95533,116349,,-745.0,,20171,2063,2071
2013-08-08,2,2013,,107187,683,7321,107968,0.13,,27330,184.0,-3818,,106176,2013年04月01日至2013年06月30日,50508,158476,47067,155012,87865,-10027,408953,742904,333951,333951,246086,,,,139910,50508,77838,,-597.0,,14213,3441,3464
2013-11-05,3,2013,,117967,23224,69984,125069,0.38,,9398,11606.0,8133,,119122,2013年07月01日至2013年09月30日,141515,266584,139983,265047,57566,93347,442417,772937,330520,330520,272954,,,,153832,141515,150913,,4504.0,,7994,1532,1537
2014-03-28,4,2013,,292036,24943,93971,296459,0.97,,74201,4364.0,-1955,,492921,2013年01月01日至2013年12月31日,364322,660781,356106,652531,371546,66977,1780547,3214810,1434263,1434263,1062717,,6261.0,0.97,569796,364322,438523,,6202.0,,49982,8216,8250
2014-05-06,1,2014,,-80056,149,4579,-94018,0.32,,22799,-15797.0,-4670,,110215,2014年01月01日至2014年03月31日,120273,26255,116396,22386,149755,-6683,518300,894351,376051,376051,226296,,,0.32,116081,120273,143072,,-1835.0,,6741,3877,3869
2014-08-05,2,2014,,-120358,49,4654,-113642,0.17,,37162,7201.0,-2739,,109525,2014年第2季,63678,-49964,62608,-51005,105354,-4514,499246,835686,336440,336440,231086,,,,121561,63678,100840,,485.0,,6478,1070,1041
2014-10-30,3,2014,,248841,94,99123,275109,0.44,,11704,35608,10170,,117470,2014年第3季,161352,436461,163027,438127,70089,102967,530134,850494,320360,320360,250271,,,,132801,161352,173056,,9340,,6420,-1675,-1666
2015-03-10,4,2014,,-77709,-786,113975,-60380,1.12,,88665,21596.0,-634,,483090,2014年度,410339,349959,410085,349705,412569,86435,2080031,3479525,1399494,1399494,986925,,207.0,1.11,503835,410339,499004,,4474.0,,26120,254,254
2015-05-11,1,2015,,-2624,114,5065,-4072,0.33,-4072.0,26087,,-3419,-994.0,105125,2015年01月01日至2015年03月31日,119168,115096,121094,117022,149261,-4006,553678,930937,377259,377259,227998,,,0.33,122873,119168,145255,,,454.0,5766,-1926,-1926
2015-08-04,2,2015,,-158904,104,5908,-178079,0.19,-178079.0,30707,,-2525,-22768.0,103277,2015年第2季,69777,-108302,70023,-108056,102765,-2281,527047,868228,341181,341181,238416,,,0.19,135139,69777,100484,,,-3593.0,5768,-246,-246
2015-11-03,3,2015,,147670,205,106874,165726,0.43,165726.0,9712,,15505,23815.0,111520,2015年第3季,151364,317090,155970,321696,45007,116069,566662,865947,299285,299285,254278,,,,142758,151364,161076,,,5759.0,6515,-4606,-4606
2016-03-09,4,2015,-13955.0,93388,-4079,124619,92741,1.14,106696.0,81681,,15369,18975.0,508048,2015年度,408598,501339,416714,509455,378576,111703,2223719,3635117,1411398,1411398,1032822,-16813.0,,1.13,524774,408598,490279,-2858.0,,5667.0,24206,-8116,-8116
2016-05-04,1,2016,,-155070,5570,4789,-185119,0.33,-185119.0,27368,,-6742,-34921.0,110869,2016年01月01日至2016年03月31日,115341,-69778,120040,-65079,144174,-1465,581693,965640,383947,383947,239773,,,,128904,115341,142709,,,-4872.0,5082,-4699,-4699
2016-08-03,2,2016,,53442,855,5891,53026,0.14,53026.0,21725,,-903,1096.0,104503,2016年第2季,45343,98369,51977,105003,65925,1143,532854,847079,314225,314225,248300,,,,143797,45343,67068,,,1512.0,4700,-6634,-6634
2016-11-09,3,2016,,74396,26,106048,74447,0.44,74447.0,13278,,14670,3315.0,112139,2016年第3季,156190,230637,161473,235920,54422,115046,560971,877350,316379,316379,261957,,,,149818,156190,169468,,,3264.0,5698,-5283,-5283
