date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,-11394,25296,,139226,139226,1.31,1.31,,,111098,-6498,1532473,2013年01月01日至2013年03月31日,189391,328617,184857,322190,293181,7308,1573164,3584732,2011568,2011568,1718387,3854,,,182060,189391,300489,96.0,1573164.0,3584732.0,4534,6427
2013-08-13,2,2013,,,-28376,24306,,63212,63212,0.99,0.99,,,74234,-4540,1614225,2013年04月01日至2013年06月30日,146206,209418,139935,207233,229050,-8610,1566292,3592574,2026282,2026282,1797232,4659,,,178348,146206,220440,,,,6271,2185
2013-11-06,3,2013,,,-64847,89029,,-57539,-57539,1.12,1.12,,,81988,-6918,1755241,2013年07月01日至2013年09月30日,164037,106498,157618,101554,228761,17264,1798446,4004767,2206321,2206321,1977560,4159,,,218160,164037,246025,,,,6419,4944
2014-03-12,4,2013,,,-159179,157970,,221146,221146,4.07,4.07,,,319391,-16496,6637887,2013年01月01日至2013年12月31日,604348,825494,574032,799638,941444,-17705,6719096,15114334,8395238,8395238,7453794,17561,4.07,4.07,798346,604348,923739,,,,30316,25856
2014-05-14,1,2014,,,-23520,37231,,-8081,-8081,1.3,1.3,,,112778,1400,1893323,2014年01月01日至2014年03月31日,185761,177680,182826,172249,283428,15111,1807100,4218788,2411688,2411688,2128260,7141,,,227796,185761,298539,0.0,,,2935,5431
2014-08-06,2,2014,,,-31894,31453,,-90179,-90179,0.06,0.06,,,64476,-9614,2002111,2014年第2季,12991,-77188,8597,-81197,87522,-10055,1790720,4123428,2332708,2332708,2245186,12015,,,231060,12991,77467,,,,4394,4009
2014-11-05,3,2014,,,-8804,71714,,117886,117886,0.88,0.88,,,78868,-10432,2173747,2014年第3季,131744,249630,124363,244049,158134,52478,2158222,4736857,2578635,2578635,2420501,4819,,,241935,131744,210612,,,,7381,5581
2015-03-11,4,2014,,,-90602,177311,169001.0,177980,177980,3.74,3.74,8310.0,,369115,-21622,8265903,2014年度,543786,721766,527509,705756,847814,65087,7836415,17921236,10084821,10084821,9237007,35868,,,935236,543786,912901,,,,16277,16010
2015-05-06,1,2015,-63724.0,-63724.0,-69430,17776,,-53109,10615,1.34,1.34,,10615.0,72067,3670,2162080,2015年01月01日至2015年03月31日,192135,139026,189291,138708,313997,-49795,2045118,4775696,2730578,2730578,2416581,10321,,,244180,192135,264202,1811.0,,,2844,318
2015-08-11,2,2015,-96697.0,-96697.0,-121069,61425,,-79077,17620,1.32,1.32,,17620.0,102071,724,2146408,2015年第2季,193919,114842,185635,107014,354464,-58474,1999174,4743880,2744706,2744706,2390242,9378,,,234456,193919,295990,-446.0,,,8284,7828
2015-11-10,3,2015,289585.0,289585.0,-62876,81664,,264718,-24867,2.93,2.93,,-24867.0,123532,1855,2282589,2015年第3季,420856,685574,413814,677604,524546,19842,2402083,5485843,3083760,3083760,2559214,8066,2.93,2.93,268559,420856,544388,801.0,,,7042,7970
2016-03-11,4,2015,-139707.0,-139707.0,-318812,203103,203103.0,-61540,78167,8.07,8.07,0.0,78167.0,403851,11653,8893598,2015年度,1166043,1104503,1139182,1079592,1680347,-110453,8868154,20457364,11589210,11589210,9908863,36033,8.07,8.07,979232,1166043,1569894,6397.0,,,26861,24911
2016-05-10,1,2016,-41272.0,-41272.0,-29807,40319,,-36274,4998,2.62,2.62,,4998.0,127837,8146,2303860,2016年01月01日至2016年03月31日,379297,343023,369303,332903,493359,13775,2398424,5468800,3070376,3070376,2577017,8969,2.62,2.62,264188,379297,507134,4883.0,,,9994,10120
2016-08-09,2,2016,-205553.0,-205553.0,-72763,69775,,-137587,67966,2.64,2.64,,67966.0,152880,1561,2392072,2016年第2季,380459,242872,372994,236156,539482,-6143,2255735,5430464,3174729,3174729,2635247,7635,2.64,2.64,235540,380459,533339,4716.0,,,7465,6716
2016-11-09,3,2016,-251716.0,-251716.0,-69512,88715,,-195222,56494,3.34,3.34,,56494.0,166511,3277,2411312,2016年第3季,499569,304347,495192,301098,646559,19521,2305885,5630047,3324162,3324162,2677603,7174,,,259117,499569,666080,2959.0,,,4377,3249
