date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,508,19594,6427,26425,31156,0.51,,20192,44,,45101,2013年01月01日至2013年03月31日,69658,96083,70995,97083,69118,20732,483072,640445,157373,157373,88255,9995,,,0.48,33159,69658,89850,,5239.0,,5333,-1337,-1000
2013-08-01,2,2013,,-658,-8574,7136,12973,16503,0.34,,42684,-637,,50651,2013年04月01日至2013年06月30日,41808,54781,48001,61369,91847,-7355,539588,729250,189662,189662,97815,11318,,,0.33,35846,41808,84492,,2872.0,,5280,-6193,-6588
2013-11-08,3,2013,,-107,13262,6842,-14969,-17903,0.67,,26314,-2391,,51994,2013年07月01日至2013年09月30日,92997,78028,92990,78034,107161,12150,499616,703473,203857,203857,96696,9105,,,0.62,35597,92997,119311,,-3041.0,,5563,7,-6
2014-03-19,4,2013,,-792,43989,28608,44764,43757,2.24,,118122,-4062,,199293,2013年01月01日至2013年12月31日,305195,349959,312246,356628,376220,47097,2025536,2782808,757272,757272,381052,42173,,7632.0,2.06,139586,305195,423317,,5833.0,,21438,-7051,-6669
2014-05-08,1,2014,,525,19932,9014,-1284,-2215,0.75,,27707,-350,,51047,2014年01月01日至2014年03月31日,109108,107824,108294,106840,112057,24758,517000,729222,212222,212222,100165,10469,,,0.7,38649,109108,136815,,-406.0,,3838,814,984
2014-08-12,2,2014,,-150,-12572,6856,-13309,-15824,0.62,,43100,19,,53171,2014年第2季,95006,81697,94456,81294,146846,-8740,614660,865646,250986,250986,104140,12145,,,0.6,38824,95006,138106,,-2665.0,,3043,550,403
2014-11-03,3,2014,,-616,7905,9054,17095,21342,0.61,,24924,1925,,53999,2014年第3季,94101,111196,93263,110371,103011,16014,514738,729568,214830,214830,111819,19340,,,0.59,38480,94101,119025,,3631.0,,2870,838,825
2015-03-23,4,2014,,-496,47995,35707,25534,33112,2.59,,146177,3788,,215078,2014年度,391658,417192,388320,413564,462816,75019,2157364,3057172,899808,899808,436992,69495,,-1810.0,2.51,152419,391658,537835,,5272.0,,12471,3338,3628
2015-04-28,1,2015,,-28,-13058,8116,-9439,-11100,0.56,-9439.0,6519,1253,-230.0,55337,2015年01月01日至2015年03月31日,85562,76123,85144,75747,98466,-6385,492489,702495,210006,210006,111540,19214,,,0.55,36989,85562,92081,,,-1919.0,2696,418,376
2015-08-06,2,2015,,-467,-14171,10775,-13331,-15038,0.54,-13331.0,48988,549,-391.0,59944,2015年第2季,83179,69848,82422,69431,137511,-5344,553546,804976,251430,251430,113919,15593,,,0.53,38382,83179,132167,,,-2565.0,2497,757,417
2015-11-03,3,2015,,-281,49815,11537,37776,44698,0.88,37776.0,39618,1122,1167.0,58233,2015年第3季,137307,175083,137238,175078,117956,58969,487799,725169,237370,237370,119414,20084,,,0.88,41097,137307,176925,,,7808.0,3505,69,5
2016-03-21,4,2015,-32423.0,-787,19244,39327,-52006,-20810,2.45,-19583.0,135516,3714,-1754.0,238189,2015年度,379503,327497,377795,326190,464222,50797,2022892,2959078,936186,936186,471964,73574,-39064.0,,2.42,160201,379503,515019,-6641.0,,-3768.0,11488,1708,1307
2016-04-28,1,2016,,-101,-8053,6862,-6276,-7448,0.51,-6276.0,23361,0,0.0,63712,2016年01月01日至2016年03月31日,80817,74541,80043,73729,107468,-3290,442352,676032,233680,233680,126212,20738,,,0.51,41762,80817,104178,,,-1273.0,2099,774,812
2016-08-01,2,2016,,242,-10274,7153,-19063,-23262,0.6,-19063.0,48922,0,0.0,69754,2016年第2季,94130,75067,93193,74112,147967,-4915,499183,776834,277651,277651,129684,19175,,,0.6,40755,94130,143052,,,-3957.0,1794,937,955
2016-11-07,3,2016,,416,-34205,9840,-29127,-35532,0.52,-29127.0,32270,0,0.0,62819,2016年第3季,81024,51897,80186,51362,140141,-26847,485284,749386,264102,264102,123961,19542,,,0.51,41600,81024,113294,,,-5989.0,2482,838,535
