date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額
2013-05-10,1,2013,,-5258,4668,-555,-555,-0.07,,,297,,-1774,,5981,2013年01月01日至2013年03月31日,-6159,-6714,-6159,-6714,-1535,-4327,181012,204613,23601,23601,25136,3955,,,-0.07,,15200,-6159,-5862,1963
2013-08-09,2,2013,,-4622,4598,-421,-421,0.05,,,724,,-1210,,5245,2013年04月01日至2013年06月30日,4391,3970,4391,3970,8311,-3196,200902,232961,32059,32059,23748,3760,,,0.05,,14743,4391,5115,1962
2013-11-06,3,2013,,2272,7741,-37,-37,0.1,,,-87,,-1977,,6046,2013年07月01日至2013年09月30日,9677,9640,9677,9640,3694,5896,181410,208549,27139,27139,23445,3780,,,0.1,,13619,9677,9590,2140
2014-03-18,4,2013,,-24629,25198,-197,-273,-0.29,,,841,,-7164,,23147,2013年01月01日至2013年12月31日,-27227,-27424,-27227,-27424,-11645,-14741,738700,823454,84754,84754,96399,15504,,76,-0.29,,57748,-27227,-26386,8146
2014-05-09,1,2014,,13737,8600,293,293,0.22,,,575,,-834,,5273,2014年01月01日至2014年03月31日,20402,20695,20402,20695,1509,19468,171859,197491,25632,25632,24123,3806,,,0.21,,15044,20402,20977,2035
2014-08-07,2,2014,,-4700,8435,-670,-45,0.16,,,-325,-625.0,-1072,,5678,2014年第2季,15163,14493,15163,14493,13886,952,210906,250847,39941,39941,26055,3935,,,0.16,,16442,15163,14838,1711
2014-11-06,3,2014,,-10302,9053,-113,-589,-0.1,,,509,476.0,-986,,5242,2014年第3季,-9391,-9504,-9391,-9504,-6225,-2657,207831,224862,17031,17031,23256,4212,,,-0.1,,13802,-9391,-8882,422
2015-03-20,4,2014,,-7951,36462,-1263,-347,0.18,,,1254,,-3820,,21127,2014年度,16602,15339,16602,15339,-2287,20143,787066,881528,94462,94462,96749,16376,,-916.0,0.18,,59246,16602,17856,4548
2015-05-13,1,2015,,-598,11482,-407,-407,-0.09,,-407.0,0,,-1731,,4953,2015年01月01日至2015年03月31日,-8079,-8486,-8079,-8486,-16895,8816,186279,191448,5169,5169,22064,3677,,,-0.09,,13434,-8079,-8079,337
2015-08-06,2,2015,,-6345,11215,-531,-315,0.09,,-531.0,398,,-2867,-216.0,5015,2015年第2季,8555,8024,8555,8024,7271,1682,190965,221532,30567,30567,23296,3776,,,0.09,,14505,8555,8953,321
2015-11-12,3,2015,,14843,9471,1659,864,0.26,,1659.0,69,,-1856,795.0,5211,2015年第3季,24397,26056,24397,26056,2066,22400,211616,239864,28248,28248,26182,3628,,,0.26,,17343,24397,24466,58
2016-03-22,4,2015,-1459.0,5255,42143,-1577,280,-0.16,-0.16,-118.0,-55,,-9336,-398.0,20247,2015年度,-14716,-16293,-14716,-16293,-52087,37316,729102,779272,50170,50170,102257,14498,-1459.0,,-0.16,-0.16,67512,-14716,-14771,746
2016-05-06,1,2016,,-7296,7777,647,647,0.05,0.05,647.0,0,,-2405,,11864,2016年01月01日至2016年03月31日,12238,12885,12238,12885,14043,-1805,602598,671320,68722,68722,54679,10703,,,0.05,0.05,32112,12238,12238,-119
2016-08-08,2,2016,,48,12341,483,483,0.08,0.08,483.0,6898,,-3314,,14889,2016年第2季,24467,24950,24467,24950,23043,8322,668257,744591,76334,76334,53291,9989,,,0.08,0.08,28413,24467,31365,753
2016-11-07,3,2016,,-11925,9398,-64,-64,-0.07,-0.07,-64,3,,-1558,,14813,2016年第3季,-17884,-17948,-17884,-17948,-12919,-4962,645936,698105,52169,52169,65088,23249,,,-0.07,-0.07,27026,-17884,-17881,877
