date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,63314,11637,62781,62781,0.66,,27905,,12650,42090,2013年01月01日至2013年03月31日,,113903,176684,113037,171727,58760,83048,1374495,1595986,221491,221491,162731,42301,,0.66,78340,113903,141808,,0.0,,4553,,866,4957
2013-08-09,2,2013,,14099,22121,-36830,-36830,0.52,,53580,,20340,47313,2013年04月01日至2013年06月30日,,86333,49503,88413,54115,85899,54014,1408060,1666602,258542,258542,172643,44618,,0.52,80712,86333,139913,,0.0,,2546,,-2080,-4612
2013-11-07,3,2013,,27809,12523,-109071,-129457,0.76,,69179,,21409,46170,2013年07月01日至2013年09月30日,,134236,25165,131306,31131,143664,59751,1212901,1519569,306668,306668,163004,42952,,0.75,73882,134236,203415,,-20386.0,,1990,,2930,-5966
2014-03-28,4,2013,,78591,60346,-105203,-120148,3.0,,200087,,85953,180734,2013年01月01日至2013年12月31日,,527319,422116,516107,439917,513504,213902,5402168,6576544,1174376,1174376,660872,181836,,2.96,298302,527319,727406,,-14945.0,,10988,,11212,-17801
2014-05-08,1,2014,,-21452,17496,75292,88618,0.76,,75499,,24850,51693,2014年01月01日至2014年03月31日,,142182,217474,132572,202993,198515,19166,1297548,1664470,366922,366922,168407,42157,,0.76,74557,142182,217681,,13326.0,,1728,1664470.0,9610,14481
2014-08-08,2,2014,,-82979,9786,-23290,-27532,0.74,,11638,,57810,55742,2014年第2季,,136714,113424,128813,106282,165281,-16929,1386428,1717079,330651,330651,165370,39463,,0.74,70165,136714,148352,,-4242.0,,1546,1717079.0,7901,7142
2014-11-07,3,2014,,33979,7278,3627,4190,1.34,,63146,,74694,53549,2014年第3季,,244428,248055,233598,237750,193143,114431,1492650,1863096,370446,370446,177303,39580,,1.34,84174,244428,307574,,563.0,,1520,1863096.0,10830,10305
2015-03-23,4,2014,,10872,59650,25310,29754,4.16,,226653,,193462,222526,2014年度,,776092,801402,725130,751250,744773,257972,5738041,7192950,1454909,1454909,710136,177771,,4.15,309839,776092,1002745,,4444.0,,6012,7192950.0,50962,50152
2015-05-11,1,2015,,19874,17599,-184334,-216667,1.25,-184334.0,94387,,57112,54857,2015年01月01日至2015年03月31日,,232721,48387,217364,48652,233918,93190,1338993,1764460,425467,425467,191549,49907,,1.24,86785,232721,327108,,,-32333.0,1395,,15357,-265
2015-08-10,2,2015,,21341,13917,-106245,-122721,0.55,-106245.0,83155,,35297,53282,2015年第2季,,103229,-3016,95172,14412,117170,69214,1565222,1854682,289460,289460,172290,50610,,0.55,68398,103229,186384,,,-16476.0,1341,,8057,-17428
2015-11-09,3,2015,,205402,12501,-192283,-228717,1.7,-192283.0,162727,,79332,53174,2015年第3季,,314831,122548,295807,121010,181571,295987,1791749,2165336,373587,373587,192016,46529,,1.69,92313,314831,477558,,,-36434.0,1248,,19024,1538
2016-03-21,4,2015,-4909.0,218321,58675,-445391,-517816,4.33,-440482.0,396376,-114.0,200529,217862,2015年度,396376.0,801743,356352,755083,363710,725749,472370,6687241,8164884,1477643,1477643,751894,200565,-4795.0,4.3,333467,801743,1198119,0.0,,-77334.0,5155,,46660,-7358
2016-05-06,1,2016,,-123018,13856,189082,223484,0.12,189082.0,-14260,,11546,51401,2016年01月01日至2016年03月31日,,20079,209161,21485,193623,104522,-98703,1878305,2164044,285739,285739,181217,45814,,0.12,84002,20079,5819,,,34402.0,1087,,-1406,15538
2016-08-08,2,2016,,50790,8563,-88546,-104580,0.35,-88546.0,13695,,19480,48163,2016年第2季,,61229,-27317,60646,-21080,-2911,77835,1665476,1834934,169458,169458,172369,52630,,0.35,71576,61229,74924,,,-16034.0,998,,583,-6237
2016-11-11,3,2016,,5492,14112,-167482,-197222,0.33,-167482.0,22054,,4236,51911,2016年第3季,,62667,-104815,57696,-97538,63051,21670,1925594,2160156,234562,234562,171511,49993,,0.33,69607,62667,84721,,,-29740.0,2170,,4971,-7277
