date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,40104,12835,61327,73962,1.29,,,39732,61529,2013年01月01日至2013年03月31日,144067,205394,143743,205423,132003,51796,938292,1232136,293844,293844,161841,6415,,,1.26,,93897,144067,183799,,12635.0,,1143,324,-29
2013-08-13,2,2013,,12730,4345,38262,46093,1.22,,,47001,65133,2013年04月01日至2013年06月30日,134911,173173,135555,173792,166257,15655,1051817,1388694,336877,336877,170620,14955,,,1.19,,90532,134911,181912,,7831.0,,1420,-644,-619
2013-11-08,3,2013,,-15871,22193,-24820,-30123,0.96,,,32771,65490,2013年07月01日至2013年09月30日,107525,82705,107686,81800,135447,4849,1070693,1381338,310645,310645,175198,12562,,,0.93,,97146,107525,140296,,-5303.0,,1473,-161,905
2014-03-27,4,2013,,45645,69698,118770,139545,4.25,,,140177,266947,2013年01月01日至2013年12月31日,475793,594563,476620,595704,505869,110101,4069428,5277177,1207749,1207749,701880,48933,,3616.0,4.14,,386000,475793,615970,,24391.0,,5242,-827,-1141
2014-05-12,1,2014,,40310,19676,-6402,-7683,0.79,0.79,,19790,54704,2014年01月01日至2014年03月31日,88018,81616,89502,83250,48324,59484,921477,1145007,223530,223530,175206,14435,,,0.77,0.77,106067,88018,107808,,-1281.0,,502,-1484,-1634
2014-08-12,2,2014,,-30789,14285,-43499,-52639,0.73,0.73,,42258,61086,2014年第2季,81683,38184,82538,37911,141294,-17353,984056,1298636,314580,314580,173286,13326,,0.0,0.71,0.71,98874,81683,123941,,-9140.0,,849,-855,273
2014-11-11,3,2014,,17406,3878,83774,100682,1.11,1.11,,30806,65809,2014年第3季,123916,207690,125890,208440,133678,21044,1082834,1401279,318445,318445,184767,11369,,0.0,1.08,1.08,107589,123916,154722,,16908.0,,240,-1974,-750
2015-03-20,4,2014,,89057,55143,116518,139805,4.03,4.03,,140902,231279,2014年度,454790,571308,459345,573612,453826,141866,4172092,5357889,1185797,1185797,731971,97312,,117.0,3.95,3.95,403380,454790,595692,,23404.0,,2334,-4555,-2304
2015-05-12,1,2015,,-10043,16481,-25977,-31439,1.19,1.19,-25977.0,23621,60574,2015年01月01日至2015年03月31日,137616,111639,137611,110946,155540,5697,896481,1220718,324237,324237,168697,9338,,,1.17,1.17,98785,137616,161237,,,-5462.0,741,5,693
2015-08-10,2,2015,,91760,5801,-42740,-51427,1.45,1.45,-42740.0,81376,48207,2015年第2季,167510,124770,167828,125412,152133,96753,983846,1324391,340545,340545,188412,25715,,,1.42,1.42,114490,167510,248886,,,-8687.0,808,-318,-642
2015-11-11,3,2015,,96968,9453,128557,155057,2.31,2.31,128557.0,74825,75293,2015年第3季,262128,390685,267066,396448,231490,105463,1131205,1574483,443278,443278,211788,14549,,,2.28,2.28,121946,262128,336953,,,26500.0,958,-4938,-5763
2016-03-22,4,2015,-2700.0,185578,131445,-3553,-1178,6.32,6.32,-853.0,223837,364669,2015年度,729120,725567,734588,730301,639099,313858,3996712,5421302,1424590,1424590,785491,49832,-3253.0,,6.24,6.24,370990,729120,952957,-553.0,,-325.0,3165,-5468,-4734
2016-05-10,1,2016,,-31054,10453,-53602,-64207,1.51,1.51,-53602.0,38858,99444,2016年01月01日至2016年03月31日,178476,124874,178492,126714,238239,-20905,831220,1238687,407467,407467,169228,13970,,,1.5,1.5,55814,178476,217334,,,-10605.0,304,-16,-1840
2016-08-10,2,2016,,24952,16881,-65086,-78421,1.18,1.18,-65086.0,58431,68578,2016年第2季,140111,75025,139742,74638,157101,41441,875468,1222487,347019,347019,189918,27746,,,1.18,1.18,93594,140111,198542,,,-13335.0,392,369,387
2016-11-10,3,2016,,-60713,5907,-94181,-113663,1.4,1.4,-94181.0,44353,85886,2016年第3季,165819,71638,165560,70441,265641,-55469,856854,1292574,435720,435720,170079,8535,,,1.4,1.4,75658,165819,210172,,,-19482.0,663,259,1197
