date,season,year,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,遞延所得稅費用（利益）,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,11365,222,1113,2287,222.0,,2287,0.06,,101,0.0,16088,2013年01月01日至2013年03月31日,6419,8706,6428,8715,-1334,7854,306152,345002,38850,38850,41297,6369,0.06,18840,6419,6520,,,3733,,,-9,-9
2013-08-02,2,2013,-23448,2051,2117,1407,2051.0,,1407,-0.36,,2,0.0,19576,2013年04月01日至2013年06月30日,-41294,-39887,-38830,-37423,-14967,-26325,303174,334115,30941,30941,48025,10422,-0.36,18027,-41294,-41292,0.0,,4928,,,-2464,-2464
2013-11-07,3,2013,-5000,236,2108,-657,236.0,,-657,-0.93,,17337,0.0,16065,2013年07月01日至2013年09月30日,-109238,-109895,-101346,-102003,-83455,-8446,285165,243072,-42093,-42093,43470,9935,-0.93,17470,-109238,-91901,0.0,,3682,,,-7892,-7892
2014-03-14,4,2013,-47382,1943,5789,3775,,14584.0,3775,-2.59,,28265,0.0,63699,2013年01月01日至2013年12月31日,-302305,-298530,-283428,-279653,-214017,-60023,1146318,1092677,-53641,-53641,166165,36404,-2.59,66062,-302305,-274040,0.0,,14584,,1092677.0,-18877,-18877
2014-05-09,1,2014,6019,207,663,632,,2677.0,632,-0.52,,0,,13509,2014年01月01日至2014年03月31日,-59485,-58853,-57374,-56742,-63034,3549,175722,151137,-24585,-24585,39112,10710,-0.52,14893,-59485,-59485,0.0,,2677,,151137.0,-2111,-2111
2014-08-08,2,2014,-5718,934,710,-885,,,-885,-0.44,,10000,,9523,2014年第2季,-48629,-49514,-47779,-48664,-31467,-7162,201310,199629,-1681,-1681,30496,6669,-0.44,14304,-48629,-38629,0.0,,2378,,199629.0,-850,-850
2014-11-11,3,2014,7949,199,1140,781,,,781,-0.06,,0,,16082,2014年第3季,-6798,-6017,-6513,-5732,-12552,5754,247935,270853,22918,22918,36610,4859,-0.06,15669,-6798,-6798,0.0,,2394,,270853.0,-285,-285
2015-03-30,4,2014,-157387,1798,3238,2523,,,2523,-3.54,,78686,,52500,2014年度,-392169,-389646,-387055,-384532,-148326,-165157,871611,862624,-8987,-8987,142577,26771,-3.54,63306,-392169,-313483,0.0,,9568,,862624.0,-5114,-5114
2015-05-13,1,2015,-3656,204,837,-653,,,-653,-0.12,-653.0,0,,11538,2015年01月01日至2015年03月31日,-12697,-13350,-12648,-13301,-7094,-5603,195230,220600,25370,25370,33301,3804,-0.12,17959,-12697,-12697,,0.0,2151,,220600.0,-49,-49
2015-08-10,2,2015,437,1103,924,-379,,,-379,-0.19,-379.0,0,,9957,2015年第2季,-21034,-21413,-21007,-21386,-20453,-581,141510,152280,10770,10770,32147,3940,-0.19,18250,-21034,-21034,,,2121,,152280.0,-27,-27
2015-11-10,3,2015,20152,268,551,655,,,655,-0.1,655.0,0,,12112,2015年第3季,-11436,-10781,-11422,-10767,-29496,18060,169398,172012,2614,2614,32661,3329,-0.1,17220,-11436,-11436,,,2360,,172012.0,-14,-14
2016-03-23,4,2015,22544,1957,2995,-2918,,,-2918,-0.59,-2918.0,0,,43793,2015年度,-65106,-68024,-64957,-67875,-80205,15099,660913,703047,42134,42134,125334,14249,-0.59,67292,-65106,-65106,,,9402,0.0,703047.0,-149,-149
2016-05-09,1,2016,-843,192,464,0,,,0,-0.23,0.0,0,,6533,2016年01月01日至2016年03月31日,-24925,-24925,-24906,-24906,-21303,-3622,119488,118336,-1152,-1152,20615,2535,-0.23,11547,-24925,-24925,,,2971,,118336.0,-19,-19
2016-08-02,2,2016,176,226,538,0,,,0,-0.2,0.0,0,,7384,2016年第2季,-22246,-22246,-22230,-22230,-20588,-1658,131986,133140,1154,1154,22280,3519,-0.2,11377,-22246,-22246,,,2060,,133140.0,-16,-16
2016-11-10,3,2016,-9448,201,372,0,,,0,-0.37,0.0,0,,9089,2016年第3季,-34455,-34455,-34613,-34613,-23282,-11173,135578,136351,773,773,24427,2757,-0.37,12581,-34455,-34455,,,1926,,136351.0,158,158
