date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銀行存款利息,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,200.0,19125,2865,16394,6664.0,41593,100964,6484.0,4053.0,98601,-0.07,3246.0,700.0,0.0,,-21,,58436,2013年01月01日至2013年03月31日,,-8864,92100,-8864,92100,-24091,15206,701820,896568,194748,194748,218839,,67429,,,0.0,92974,-8864,-8885,,,16762.0,,4053,2365.0,0.0,6484.0,,854975,,
2013-08-08,2,2013,,138.0,-28476,-1196,23268,14046.0,75786,9621,9222.0,3922.0,45900,0.37,0.0,0.0,5917.0,,22875,,70134,2013年04月01日至2013年06月30日,,45011,54632,45011,54632,49736,18150,726267,1030913,304646,304646,254910,,78608,,,0.33,106168,45011,67886,,,7803.0,,3922,4859.0,0.0,,,955127,,
2013-11-08,3,2013,,3541.0,94939,-13539,25046,13638.0,63168,62972,7547.0,7206.0,-38514,0.49,,,10479.0,,13137,,57862,2013年07月01日至2013年09月30日,,60544,123516,60544,123516,69380,4301,732229,1009255,277026,277026,207646,,56176,,,0.49,93608,60544,73681,3861.0,,-6547.0,,7206,481.0,,,,946087,,
2014-03-21,4,2013,,,110111,-7126,86346,,291284,241734,,,159348,1.56,,,,,58549,,261038,2013年01月01日至2013年12月31日,,192354,434088,192354,434088,190801,60102,2851807,3988188,1136381,1136381,945580,,318176,,-636.0,1.54,366366,192354,250903,,,27089.0,,19118,,,,,3696904,,
2014-05-13,1,2014,,,30871,20182,23645,,64770,30966,,,114,0.51,,,,,17253,,63659,2014年01月01日至2014年03月31日,,62272,93238,62272,93238,39842,39683,650336,911333,260997,260997,221155,,67863,,,0.5,89633,62272,79525,,,19.0,,4144,,,,,846563,,
2014-11-12,3,2014,,,-27574,31060,22925,,74748,41472,,,83188,1.23,,,,,56398,,59609,2014年第3季,,151072,192544,151072,192544,156063,51407,758118,1144028,385910,385910,229847,56398.0,65192,,,1.22,105046,151072,207470,,,14142.0,,2578,,,,,1069280,,
2015-03-27,4,2014,,,-101409,184402,92342,,258470,8768,,,136645,3.65,,,,,116200,,257542,2014年度,,448395,457163,448395,457163,300306,264289,2887624,4133375,1245751,1245751,945445,116200.0,270056,,-3238.0,3.6,417847,448395,564595,,,23230.0,,12455,,,,2887624.0,3874905,,
2015-05-14,1,2015,,,-7231,6342,19113,,44067,-36180,,,-34879,0.22,,,,-36180,9688,2012,53862,2015年01月01日至2015年03月31日,9688,26744,-9436,26744,-9436,11381,25051,611001,833883,222882,222882,211501,,60765,,,0.21,96874,26744,36432,,,,-5930,2416,,,,611001,789816,,
2015-08-04,2,2015,,,0,-3477,18624,,49428,-41484,,,-49980,-0.14,,,,-41484.0,-4462,-1962.0,62233,2015年第2季,-4462.0,-16730,-58214,-16730,-58214,-31564,10372,640429,829067,188638,188638,220202,,64674,,,0.0,93295,-16730,-21192,,,,-8496.0,2813,,,,,779639,,
2015-11-04,3,2015,,,-756,35650,20928,,42280,125890,,,152585,0.76,,,,125890,19084,10759,62384,2015年第3季,,92412,218302,92412,218302,45945,65551,726335,996260,269925,269925,223980,,62821,,,0.75,98775,92412,111496,,,,25939,1786,,,,,953980,,
2016-03-25,4,2015,-2699.0,,-10008,25794,134562,,178731,-48244,,,-42692,1.22,,,,-45545.0,50530,-11127.0,261516,2015年度,,150291,102047,149029,100301,64072,136749,2969363,3967901,998538,998538,934466,,259475,-2699.0,,1.2,413475,150291,200821,,0.0,,-7155.0,12480,,,,,3789170,1262.0,1746.0
2016-05-12,1,2016,,,0,-3857,15364,,29092,-21174,,,-25511,0.03,,,,-21174.0,5013,6404.0,68784,2016年01月01日至2016年03月31日,,3514,-17660,3314,-16732,-3186,11713,916770,1165793,249023,249023,252209,,68487,,,0.03,114938,3514,8527,,,,-4337.0,6198,,,,,1136701,200.0,-928.0
2016-08-11,2,2016,,,0,14842,13692,,37310,-65782,,,-79126,0.12,,,,-65782.0,18937,7991.0,86311,2016年第2季,,17958,-47824,15403,-50324,6045,30850,947087,1226690,279603,279603,273558,,70278,,,0.12,116969,17958,36895,,,,-13344.0,5675,,,,,1189380,2555.0,2500.0
2016-11-10,3,2016,,,-431,-7579,11733,,40160,-96790,,,-116094,0.62,,,,-96790.0,23416,5241.0,81388,2016年第3季,,77772,-19018,75800,-19553,95447,5741,1043981,1416054,372073,372073,276626,,70252,,,0.62,124986,77772,101188,,,,-19735.0,3654,,,,,1375894,1972.0,535.0
