date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,4299,655,-7452,-7452,0.5,,11688,,69209,2013年01月01日至2013年03月31日,44398,36946,41413,41569,51995,4091,299218,491346,192128,192128,140133,16723,,,0.49,54201,44398,56086,,,,863,,,2985,-4623
2013-08-08,2,2013,,4466,739,12537,12537,0.45,,28248,,70995,2013年04月01日至2013年06月30日,40460,52997,37108,46991,64006,4702,281754,510292,228538,228538,164532,18884,,,0.44,74653,40460,68708,,,,503,281754.0,510292.0,3352,6006
2013-11-08,3,2013,,2721,820,18714,18714,0.15,,11333,,69263,2013年07月01日至2013年09月30日,15086,33800,12735,22563,23381,3038,295524,494330,198806,198806,175425,19728,,,0.15,86434,15086,26419,,,,503,295524,494330,2351,11237
2014-03-25,4,2013,,20224,3639,55670,50318,1.6,,57328,,304597,2013年01月01日至2013年12月31日,146229,201899,133466,178365,182365,21192,1165974,2016971,850997,850997,668632,79883,,5943.0,1.59,284152,146229,203557,,591.0,,2671,1165974.0,2016971.0,12763,23534
2014-05-06,1,2014,,11278,835,21887,21887,0.68,,19607,,60778,2014年01月01日至2014年03月31日,60610,82497,56734,72469,68878,11339,316883,581195,264312,264312,195434,16267,,,0.68,118389,60610,80217,,,,774,,,3876,10028
2014-08-01,2,2014,,-2859,1230,-6941,-6941,0.63,,24523,,60431,2014年第2季,56250,49309,52545,45198,83209,-2436,318540,584602,266062,266062,182853,26556,,,0.63,95866,56250,80773,,,,807,,,3705,4111
2014-11-06,3,2014,,2090,1122,-12532,-12532,0.57,,16757,,103577,2014年第3季,51340,38808,47642,41131,65654,2443,286551,554834,268283,268283,202629,23915,,,0.57,75137,51340,68097,,,,769,,,3698,-2323
2015-03-24,4,2014,,25569,4513,9589,11763,2.14,,53867,,258697,2014年度,198106,207695,178414,188415,224795,27178,1216822,2263357,1046535,1046535,821740,88557,,-2620.0,2.13,474486,198106,251973,,-446.0,,2904,1216822.0,2263357.0,19692,19280
2015-04-27,1,2015,,750,997,-53697,-53697,0.69,-53697,10603,,57715,2015年01月01日至2015年03月31日,63147,9450,57470,18176,72511,1239,281619,516963,235344,235344,162833,21035,,,0.69,84083,63147,73750,,,0,508,281619,516963,5677,-8726
2015-08-14,2,2015,,1627,1433,27047,27047,0.58,27047.0,28435,,63118,2015年第2季,49747,76794,48763,65093,75701,2481,310509,550937,240428,240428,164727,22189,,,0.58,79420,49747,78182,,,,579,,,984,11701
2015-11-13,3,2015,,5285,1116,-3737,-3737,0.20,-3737,1823,,57562,2015年第3季,14049,10312,16379,3336,10543,5329,232617,418107,185490,185490,174947,24864,,,0.20,92521,14049,15872,,,,1072,,,-2330,6976
2016-03-25,4,2015,-1887.0,13987,4614,-10735,-8848,2.02,-8848.0,50699,,246861,2015年度,173933,163198,168745,148357,209753,14879,1114729,2015894,901165,901165,691412,94504,-2273.0,,2.01,350047,173933,224632,-386.0,,,3722,1114729.0,2015894.0,5188,14841
2016-04-29,1,2016,,4530,764,-38474,-38474,0.56,-38474.0,12929,922.0,60703,2016年01月01日至2016年03月31日,47033,8559,47098,8038,55507,4455,280693,508572,227879,227879,172372,22428,,,0.56,89241,47033,59962,,,0.0,1761,280693.0,508572.0,-65,521
2016-08-10,2,2016,,4311,652,-48481,-48481,0.4,-48481.0,19260,-409.0,67939,2016年第2季,33766,-14715,33223,-15258,50257,2769,285659,526243,240584,240584,190327,25476,,,0.4,96912,33766,53026,,,,1785,,,543,543
2016-11-07,3,2016,,3243,554,-54904,-54904,0.32,-54904.0,2622,1881.0,65481,2016年第3季,26264,-28640,26355,-28536,24898,3988,237518,429703,192185,192185,167287,25990,,,0.32,75816,26264,28886,,,,1690,,,-91,-104
