date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,2562,1188,3179,3830,0.04,0.04,,4406,,,29506,2013年01月01日至2013年03月31日,4090,7269,4847,8026,8340,156,301332,368644,67312,67312,58972,,0.04,0.04,29466,4090,8496,651.0,,3594,-757,-757
2013-08-13,2,2013,,1516,2208,1712,2063,0.73,0.73,,22814,,,23346,2013年04月01日至2013年06月30日,86600,88312,88055,89767,107368,2046,236089,399373,163284,163284,55916,,0.72,0.72,32570,86600,109414,351.0,,1678,-1455,-1455
2013-11-12,3,2013,,5562,1016,-1429,-1722,1.0,1.0,,33597,,,26660,2013年07月01日至2013年09月30日,118940,117511,120797,119368,152667,-130,434149,650355,216206,216206,63539,,0.93,0.93,36879,118940,152537,-293.0,,6708,-1857,-1857
2014-03-27,4,2013,11587.0,-7326,8042,17516,7143,2.42,2.42,,85815,,,111162,2013年01月01日至2013年12月31日,291671,309187,296862,314378,396324,-18838,1424042,2062991,638949,638949,242625,0.0,2.38,2.38,131463,291671,377486,1214.0,,19554,-5191,-5191
2014-05-06,1,2014,1035.0,-6011,5562,740,-356,0.28,0.28,,9769,,,21010,2014年01月01日至2014年03月31日,35903,36643,36326,37066,55509,-9837,312880,422474,109594,109594,54085,,0.28,0.28,33075,35903,45672,-61.0,,9388,-423,-423
2014-08-12,2,2014,100384.0,14328,647,97861,-3039,0.66,0.66,,11216,,,21910,2014年第2季,84725,182586,85383,183244,90794,5147,372764,522179,149415,149415,58621,,0.61,0.61,36711,84725,95941,-516.0,,9828,-658,-658
2014-11-11,3,2014,-53547.0,-11763,191,-55163,6649,0.28,0.28,,7896,,,31576,2014年第3季,36415,-18748,36852,-18311,66833,-22522,276339,410647,134308,134308,67475,,0.28,0.28,35899,36415,44311,8265.0,,10950,-437,-437
2015-03-23,4,2014,-32049.0,-15830,7689,-19222,12496,2.04,2.04,,60615,,,95402,2014年度,263793,244571,265766,246544,373446,-49038,1484277,2091026,606749,606749,233303,,2.03,2.03,137901,263793,324408,-331.0,,40897,-1973,-1973
2015-05-12,1,2015,-75949.0,5308,3341,-69805,-3578,-0.31,-0.31,-69805.0,-6068,,,19208,2015年01月01日至2015年03月31日,-56221,-126026,-40250,-110055,-56071,-6218,227908,305597,77689,77689,133760,,-0.31,-0.31,114552,-56221,-62289,,-9722.0,14867,-15971,-15971
2015-08-04,2,2015,-2301.0,-14960,1686,-5300,-3947,0.78,0.78,-5300.0,20450,,,31644,2015年第2季,105205,99905,101072,95772,156898,-31243,485002,723542,238540,238540,81642,,0.77,0.77,49998,105205,125655,,-948.0,17969,4133,4133
2015-11-10,3,2015,21537,-20596,1568,29182,12324,0.52,0.52,29182,22691,,,31025,2015年第3季,71516,100698,67548,96730,129517,-35310,400141,598054,197913,197913,68396,,0.52,0.52,37371,71516,94207,,4679,16282,3968,3968
2016-03-24,4,2015,-97800.0,-28185,7656,-87625,-1883,1.73,1.73,-87625.0,60181,,,136711,2015年度,222687,135062,226518,138893,369914,-87046,1635602,2395331,759729,759729,389815,,1.54,1.54,253104,222687,282868,,-12058.0,66517,-3831,-3831
2016-05-10,1,2016,-29821.0,-2186,2040,-30531,-5294,0.03,0.03,-30531.0,8261,-586.0,106.0,32934,2016年01月01日至2016年03月31日,9128,-21403,4522,-26009,34395,-17006,251860,360596,108736,108736,74341,,0.03,0.03,41407,9128,17389,,-4478.0,16274,4606,4606
2016-08-09,2,2016,-30485.0,-2075,1535,-32951,-7377,0.11,0.11,-32951.0,23355,-139.0,-2.0,34539,2016年第2季,12326,-20625,14723,-18228,53723,-18042,510026,639261,129235,129235,75512,,0.11,0.11,40973,12326,35681,,-4913.0,17363,-2397,-2397
2016-11-08,3,2016,-41418.0,-6762,1256,-44293,-9460,0.11,0.11,-44293.0,9412,-1455.0,8.0,30427,2016年第3季,14775,-29518,15137,-29156,48134,-23947,273549,397110,123561,123561,75427,,0.11,0.11,45000,14775,24187,,-6577.0,16986,-362,-362
