date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,33668,17812,4651,5159,0.94,0.94,,43225,49150,2013年01月01日至2013年03月31日,207480,212131,204216,206695,201557,49148,1124515,1412555,288040,288040,86483,5865,,,0.94,0.94,31468,207480,250705,,508.0,,2332,3264,5436
2013-08-07,2,2013,,10817,13206,-6048,-6686,1.11,1.11,,42525,55063,2013年04月01日至2013年06月30日,249686,243638,243882,240767,270725,21486,1260001,1628542,368541,368541,97816,5710,,,1.11,1.11,37043,249686,292211,,-638.0,,2537,5804,2871
2013-11-07,3,2013,,4025,3607,-10852,-12059,1.04,1.04,,48974,58364,2013年07月01日至2013年09月30日,252552,241700,243263,237370,296549,4977,1345129,1743868,398739,398739,102190,6848,,,1.04,1.04,36978,252552,301526,,-1207.0,,2655,9289,4330
2014-03-20,4,2013,,59325,46920,-10689,-12092,3.95,3.95,,182404,223459,2013年01月01日至2013年12月31日,939347,928658,916978,911380,1025723,96028,5025190,6450941,1425751,1425751,400028,27252,,257.0,3.94,3.94,149317,939347,1121751,,-1146.0,,10217,22369,17278
2014-05-07,1,2014,,16603,4890,5440,6034,1.23,1.23,,57808,60032,2014年01月01日至2014年03月31日,289137,294577,286629,289529,328221,18724,1332748,1770702,437954,437954,109733,6933,,,1.23,1.23,42768,289137,346945,,594,,2769,2508,5048
2014-08-13,2,2014,,-2638,5794,-468,-519,1.01,1.01,,55847,60860,2014年第2季,277230,276762,270630,270380,331977,1100,1374468,1815864,441396,441396,109419,8042,,,1.01,1.01,40517,277230,333077,,-51.0,,2056,6600,6382
2014-10-29,3,2014,,-2016,5897,-441,-489,0.93,0.93,,50302,61694,2014年第3季,252138,251697,249805,249570,300068,2372,1404804,1815990,411186,411186,111118,7157,,,0.93,0.93,42267,252138,302440,,-48.0,,1509,2333,2127
2015-02-25,4,2014,,9347,26929,-435,-2309,3.88,3.88,,214961,246465,2014年度,1051897,1051462,1040310,1040847,1238072,28786,5420338,7103036,1682698,1682698,444626,28848,,1984.0,3.88,3.88,169313,1051897,1266858,,110.0,,7490,11587,10615
2015-04-21,1,2015,,-2243,10348,-17007,-18864,0.84,0.84,-17007.0,46446,68805,2015年01月01日至2015年03月31日,233231,216224,225238,216172,271967,7710,1442013,1833974,391961,391961,119994,7304,,,0.84,0.84,43885,233231,279677,,,-1857.0,395,7993,52
2015-07-28,2,2015,,13626,13624,-7708,-8549,0.76,0.76,-7708.0,41526,60601,2015年第2季,214485,206777,204808,200700,228980,27031,1359749,1703622,343873,343873,114893,6595,,,0.76,0.76,47697,214485,256011,,,-841.0,219,9677,6077
2015-10-28,3,2015,,39810,14046,-24485,-27159,0.78,0.78,-24485.0,45249,65502,2015年第3季,245604,221119,230924,217872,238703,52150,1260975,1619926,358951,358951,120248,6551,,,0.78,0.78,48195,245604,290853,,,-2674.0,1706,14680,3247
2016-02-25,4,2015,-14309.0,48046,44766,-55862,-46089,3.03,3.03,-41553.0,192310,253516,2015年度,928221,872359,895100,858613,1032327,88204,5198760,6697038,1498278,1498278,465951,27723,-14194.0,,3.03,3.03,184712,928221,1120531,115.0,,-4536.0,4608,33121,13746
2016-05-05,1,2016,,-6132,4899,18586,20615,0.87,0.87,18586.0,54868,53431,2016年01月01日至2016年03月31日,261360,279946,258001,267908,319433,-3205,1260711,1699797,439086,439086,119653,7364,,,0.87,0.87,58858,261360,316228,,,2029.0,1972,3359,12038
2016-08-04,2,2016,,7517,4799,-7858,-8716,0.99,0.99,-7858.0,84347,59988,2016年第2季,301009,293151,291838,287650,374730,10626,1307624,1794810,487186,487186,112456,7912,,,0.99,0.99,44556,301009,385356,,,-858.0,1690,9171,5501
2016-11-03,3,2016,,3259,8102,-16927,-18775,0.95,0.95,-16927.0,58177,56388,2016年第3季,288872,271945,278565,269542,337355,9694,1262131,1706205,444074,444074,106719,7369,,,0.95,0.95,42962,288872,347049,,,-1848.0,1667,10307,2403
