date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-08-12,2,2013,,,9663,3341,37213,45702,0.86,,15029,25392,2013年01月01日至2013年06月30日,52282,89495,52282,89495,61131,6180,1136237,1274304,138067,138067,76936,6655,,,,44889,52282,67311,8489,,6824,0,0
2013-11-08,3,2013,,,289,683,-8778,-10575,0.42,,8974,14150,2013年07月01日至2013年09月30日,25716,16938,25716,16938,37145,-2455,550724,629989,79265,79265,42120,4199,,,,23771,25716,34690,-1797,,3427,0,0
2014-03-19,4,2013,,,10458,7345,44269,52290,1.83,,34214,50735,2013年01月01日至2013年12月31日,111281,155550,111281,155550,141304,4191,2200579,2506600,306021,306021,164717,15163,,1588,1.82,98819,111281,145495,9609,,13612,0,0
2014-05-07,1,2014,,,4063,2262,-3315,-3994,0.66,,13414,14868,2014年01月01日至2014年03月31日,42398,39083,42398,39083,52835,2977,505028,614731,109703,109703,56868,5364,,,0.66,36636,42398,55812,-679,,3348,,
2014-07-30,2,2014,,,941,1202,-15377,-18527,0.85,,20058,13508,2014年第2季,57177,41800,57177,41800,77761,-526,566835,693481,126646,126646,48885,5115,,,0.85,30262,57177,77235,-3150,,2669,,
2014-11-03,3,2014,,,7021,2041,21413,25799,0.77,,16961,16997,2014年第3季,52297,73710,52297,73710,64073,5185,487998,603550,115552,115552,51479,5220,,,0.76,29262,52297,69258,4386,,3877,,
2015-04-27,1,2015,,,-2334,4204,-8757,-10551,0.58,-8757,10992,12772,2015年01月01日至2015年03月31日,39177,30420,39177,30420,53550,-3381,458306,559259,100953,100953,47403,4539,,,0.51,30092,39177,50169,,-1794,5251,,
2015-08-04,2,2015,,0,-7775,4621,-9008,-10853,0.50,-9008,12842,13765,2015年第2季,34185,25177,34185,25177,55300,-8273,482107,587976,105869,105869,50569,6415,,,0.38,30389,34185,47027,,-1845,5119,,
2015-11-03,3,2015,,0,29314,4174,35247,42467,0.94,35247,16990,15269,2015年第3季,70202,105449,70202,105449,58697,28495,504020,614883,110863,110863,52166,4893,,,0.80,32004,70202,87192,,7220,4993,,
2016-03-22,4,2015,380,,19450,17281,-14349,-17745,2.25,-14729,41638,57216,2015年度,168534,154185,168534,154185,193530,16642,1867865,2262919,395054,395054,201524,20884,380,,1.98,123424,168534,210172,,-3016,20089,,
2016-05-09,1,2016,,,-2083,9196,-4462,-5376,0.39,-4462,6312,12584,2016年01月01日至2016年03月31日,29488,25026,29488,25026,33409,2391,452570,542523,89953,89953,56544,14856,,,0.36,29104,29488,35800,,-914,4722,,
2016-08-12,2,2016,,,-2076,1498,-23445,-28247,0.33,-23445,9230,13197,2016年第2季,24478,1033,24478,1033,38641,-4933,437600,538492,100892,100892,62251,19095,,,0.30,29959,24478,33708,,-4802,4355,,
2016-11-11,3,2016,,,-9411,8787,-28747,-34635,0.53,-28747,9652,12742,2016年第3季,39514,10767,39514,10767,54450,-5284,451843,561815,109972,109972,55522,12036,,,0.46,30744,39514,49166,,-5888,4660,,
